
[00:00:00.000 --> 00:00:14.000]  在今天復活節的早晨,我想世界上每一個教會都在慶祝主耶穌基督的復活。
[00:00:14.000 --> 00:00:27.000]  主耶穌基督的復活的確帶來給我們盼望,但是我們有沒有想過這個盼望是不是只是將來的盼望呢?
[00:00:27.000 --> 00:00:31.000]  還是我們今天生活的力量?
[00:00:31.000 --> 00:00:45.000]  我們的教會在教會的年曆裡面,是以耶穌的復活節或者受難節和聖誕節做兩個重要的支柱。
[00:00:45.000 --> 00:00:57.000]  但是很多時候我們只有在聖誕節的時候才會思想在牧羊人在野對裡牧羊,有東方的博士來找耶穌。
[00:00:57.000 --> 00:01:02.000]  到平日的日子我們很少想到牧羊人,也很少想到那些博士。
[00:01:02.000 --> 00:01:12.000]  到復活節的時候我們同樣都是這樣,好像街上的一些餐廳給一些復活節大減價的餐,
[00:01:12.000 --> 00:01:19.000]  賣一些復活節蛋,我們才知道我們慶祝復活節。
[00:01:19.000 --> 00:01:27.000]  但實際上我們每一個基督徒,不單在復活節的時候慶祝耶穌基督為我們復活,
[00:01:27.000 --> 00:01:33.000]  在我們的生命裡面我們能夠支撐下去,我們仍然能夠活到今天,
[00:01:33.000 --> 00:01:36.000]  是我們經歷了主耶穌基督復活的能力。
[00:01:36.000 --> 00:01:47.000]  好像剛才那位弟兄所做的見證,經歷生死,經歷恐懼,經歷人生的憂骨,經歷很多不肯定,
[00:01:47.000 --> 00:01:55.000]  但是讓他能夠支撐到現在,又可以做見證的,不單是那些藥物的幫助,
[00:01:55.000 --> 00:02:02.000]  不單是弟兄姐妹所給他的那些MSM,不單是教會裡面很多弟兄姐妹為他祈禱,
[00:02:02.000 --> 00:02:08.000]  不單是他坐在教會裡面默想十字架,感覺到十字架給他的能力,
[00:02:08.000 --> 00:02:13.000]  當他看到十字架的時候應該感覺到主耶穌基督已經復活了,
[00:02:13.000 --> 00:02:21.000]  那復活的能力讓我們可以經歷到,體會到上帝永遠與我們同在。
[00:02:21.000 --> 00:02:30.000]  既然教會裡面慶祝復活節,又慶祝聖誕節,有很多人回來教會是翻過兩次的,
[00:02:30.000 --> 00:02:35.000]  我不知道中間有沒有今天是回來教會,今年裡面的第一次,
[00:02:35.000 --> 00:02:39.000]  或者你還要等到第二次回來教會裡面的聖誕節,
[00:02:39.000 --> 00:02:46.000]  或者有些弟兄姐妹覺得上帝離他很遠,或者在他自己個人的困惑之中,
[00:02:46.000 --> 00:02:56.000]  有些人可能家裡不愉快,跟丈夫的感情不好,跟兒女的感情不好,考試考得不是很好,
[00:02:56.000 --> 00:03:01.000]  或者正在感情的糾紛之中,或者有些人正在經濟的掙扎裡面,
[00:03:01.000 --> 00:03:08.000]  可能很多人帶著不同的心情來到教會裡面,來慶祝耶穌基督的復活。
[00:03:08.000 --> 00:03:14.000]  無論你站在哪個位置,經歷生命裡面怎樣的重擔,
[00:03:14.000 --> 00:03:18.000]  我預料今天早上我們大家來到十字架下,
[00:03:19.000 --> 00:03:28.000]  去思想主耶穌基督為我們復活,帶來給我們的盼望和能力,讓我們仍然有能力的走下去。
[00:03:28.000 --> 00:03:35.000]  今天的講道或者今天的聽道是要求你做多一點點的,
[00:03:35.000 --> 00:03:41.000]  你今天聽道不要單單只是為你身邊的人這邊道,騙他聽,
[00:03:41.000 --> 00:03:45.000]  或者你爸媽沒來,真的騙我爸媽聽,
[00:03:46.000 --> 00:03:51.000]  今天你要為你自己聽道,你自己要想一想,
[00:03:51.000 --> 00:03:55.000]  好像我們剛剛所讀的哥倫多前書第十五章那裡說,
[00:03:55.000 --> 00:04:01.000]  保羅在那裡說了一句非常嚴肅、很勝利、很得勝的話,
[00:04:01.000 --> 00:04:11.000]  他說,死呀,你得勝的權勢在哪裡,死呀,你的毒鉤在哪裡。
[00:04:12.000 --> 00:04:18.000]  這首這樣的歌或者這樣的兩句話,是每一個基督徒都可以講到的,
[00:04:18.000 --> 00:04:28.000]  但是面對著我們的困境,面對著我們的難處,面對著我們的疾病,甚至不可治的疾病,
[00:04:28.000 --> 00:04:35.000]  我們能夠有保羅這種這樣的心境,可以向死亡說,
[00:04:35.000 --> 00:04:42.000]  你很厲害嗎?你很厲害嗎?你的毒鉤在哪裡?
[00:04:42.000 --> 00:04:47.000]  你想困住我嗎?你想砌低我嗎?
[00:04:47.000 --> 00:04:51.000]  我們能不能向死亡說,No way!
[00:04:51.000 --> 00:05:00.000]  實際上每一個人都可以,因為耶穌基督已經復活了,
