
[00:00:00.000 --> 00:00:07.080]  天父我們感謝你 使我們有機會再次研讀你的話語
[00:00:07.080 --> 00:00:11.240]  求主你繼續用你的話語來兼顧我們
[00:00:11.240 --> 00:00:14.520]  特別是在我們在動盪的世代
[00:00:14.520 --> 00:00:18.480]  在很多不安的情況 很多憂慮的時候
[00:00:18.480 --> 00:00:23.360]  讓我們回到你的話語那裡來成為我們的力量
[00:00:23.360 --> 00:00:25.680]  求聖靈在我們當中來工作
[00:00:25.680 --> 00:00:28.720]  今晚我們要查一位很特別的人物
[00:00:28.720 --> 00:00:33.200]  求主你透過施洗約翰來向我們每一個人說話
[00:00:33.200 --> 00:00:35.600]  我們將以下的時間恭敬在你手中
[00:00:35.600 --> 00:00:40.240]  求主你帶領 祈禱奉祝耶穌基督的名求 阿們
[00:00:40.240 --> 00:00:44.640]  請請問我們今晚是約翰福音的第三講
[00:00:44.640 --> 00:00:49.440]  之前兩堂我們都是查
[00:00:49.440 --> 00:00:52.680]  約翰告訴我們耶穌是誰
[00:00:52.680 --> 00:00:55.920]  這個是他寫約翰福音的目的
[00:00:55.920 --> 00:00:58.640]  你記得每一次我都提醒大家
[00:00:58.640 --> 00:01:02.120]  就是約翰福音的20章31節那裡
[00:01:02.120 --> 00:01:05.480]  約翰這樣寫 他說:但記者些事
[00:01:05.480 --> 00:01:08.920]  要叫你們信耶穌是基督
[00:01:08.920 --> 00:01:13.080]  基督的意思就是受高者 即是尼塞亞
[00:01:13.080 --> 00:01:17.880]  是神的兒子 即是說神的兒子就是神
[00:01:17.880 --> 00:01:21.600]  他和神是有同樣的本質的
[00:01:21.600 --> 00:01:27.440]  並且叫你們信了祂 就可以因祂的名得生命
[00:01:27.440 --> 00:01:33.240]  因祂的名得生命 名是代表主耶穌的本質
[00:01:33.240 --> 00:01:37.360]  在第一章一開始約翰已經告訴我們
[00:01:37.360 --> 00:01:42.560]  耶穌是自幼榮幼的 也是一位三為一體的真神
[00:01:42.560 --> 00:01:48.520]  第三節就告訴我們祂是創造主 萬物都是祂做的
[00:01:48.520 --> 00:01:54.120]  第四節就告訴我們祂是在黑暗世界當中的真光
[00:01:54.120 --> 00:01:57.240]  祂也是生命的源頭
[00:01:57.240 --> 00:02:03.960]  第五節和第十一節就說世界是不接受這個真光
[00:02:03.960 --> 00:02:07.840]  第十節告訴我們 他們不認識祂
[00:02:07.840 --> 00:02:10.080]  十一節說他們不接待祂
[00:02:10.080 --> 00:02:14.400]  雖然耶穌的身份是說出來了
[00:02:14.400 --> 00:02:19.160]  但是約翰也告訴我們 世界是不接受祂的
[00:02:19.160 --> 00:02:23.640]  第十四節說祂成為肉身 即是成為人
[00:02:23.640 --> 00:02:28.240]  是充滿了恩典和真理
[00:02:28.240 --> 00:02:33.360]  第十八節說耶穌讓我們看到負
[00:02:33.360 --> 00:02:37.280]  祂說人看見我就是看見了負
[00:02:37.280 --> 00:02:41.040]  祂說我在負的裡面 負在我的裡面
[00:02:41.040 --> 00:02:45.160]  這是約翰福音14章在最後晚餐的時候
[00:02:45.160 --> 00:02:47.720]  耶穌是這樣說的
[00:02:47.720 --> 00:02:50.960]  上兩次我們所查的就是
[00:02:50.960 --> 00:02:54.960]  你可以說是屬於神學的議題
[00:02:54.960 --> 00:02:57.480]  但是今天我們會不同的
[00:02:57.480 --> 00:03:01.880]  今天我們一起來一個好像character study那樣
[00:03:01.880 --> 00:03:05.880]  我們來查一個人物 施洗約翰
[00:03:05.880 --> 00:03:10.120]  我們在接下來這個鐘頭裡面就要看到他的一生
[00:03:10.120 --> 00:03:12.360]  除了認識他之外
[00:03:12.360 --> 00:03:16.560]  更加重要的是我們要在他身上學習一些功課
[00:03:16.560 --> 00:03:19.600]  所以我們一會兒會分開四個方面
[00:03:19.600 --> 00:03:23.360]  首先我們會來認識他這個人
