
[00:00:00.000 --> 00:00:04.800]  好多謝房牧師的介紹
[00:00:04.800 --> 00:00:09.200]  房牧師其實就是看著我女兒長大的
[00:00:09.200 --> 00:00:13.600]  就是其中一個我女兒非常欣賞的牧者
[00:00:13.600 --> 00:00:17.600]  她有需要的時候就會去找房牧師
[00:00:17.600 --> 00:00:20.000]  她不找我 她找房牧師
[00:00:20.000 --> 00:00:23.200]  我們講到這裡 我們一起低頭祈禱
[00:00:23.200 --> 00:00:25.200]  賜給天父我們感恩
[00:00:25.200 --> 00:00:28.400]  你的話語何等的寶貴
[00:00:28.400 --> 00:00:31.600]  主我們今早來到看
[00:00:31.600 --> 00:00:36.400]  Shema就是你在教育裏面一段很重要的經文的時候
[00:00:36.400 --> 00:00:40.000]  求你自己的靈在我們當中運行
[00:00:40.000 --> 00:00:42.400]  提醒教導
[00:00:42.400 --> 00:00:44.800]  主真的讓我們紮根聖葉
[00:00:44.800 --> 00:00:48.400]  在你自己的話語裏面生根建造
[00:00:48.400 --> 00:00:51.600]  藉著你自己的話語對我們講說話
[00:00:51.600 --> 00:00:54.400]  我們這樣祈禱奉耶穌基督得勝的名球
[00:00:54.400 --> 00:00:56.400]  想問大家一個問題
[00:00:56.400 --> 00:01:02.400]  大家有沒有試過拼命盡力去做一件事
[00:01:02.400 --> 00:01:04.400]  有沒有試過
[00:01:04.400 --> 00:01:07.400]  舉手 有很多人都試過
[00:01:07.400 --> 00:01:11.400]  不過盡力做一件事有兩個很嚴重的問題
[00:01:11.400 --> 00:01:14.400]  第一就是如果你要跑馬拉松
[00:01:14.400 --> 00:01:16.400]  你盡力跑
[00:01:16.400 --> 00:01:19.400]  你跑完一百米之後你就不能夠繼續跑下去
[00:01:19.400 --> 00:01:23.400]  怎麼能夠持續地盡力呢
[00:01:23.400 --> 00:01:26.400]  我說考試 考會考 我衝刺
[00:01:26.400 --> 00:01:28.400]  衝完我就停
[00:01:28.400 --> 00:01:30.400]  但是聖經裏面不是這樣說的
[00:01:30.400 --> 00:01:33.400]  第二個嚴重的問題就是
[00:01:33.400 --> 00:01:36.400]  有人試過盡力做一件事
[00:01:36.400 --> 00:01:39.400]  結果失敗告終 不用舉手
[00:01:39.400 --> 00:01:44.400]  我們每年都立志讀聖經 記不記得
[00:01:44.400 --> 00:01:46.400]  結果怎樣
[00:01:46.400 --> 00:01:48.400]  失敗告終
[00:01:48.400 --> 00:01:50.400]  如果你失敗告終
[00:01:50.400 --> 00:01:55.400]  你下一次再繼續盡力做
[00:01:55.400 --> 00:01:59.400]  那個心智會強一點還是弱一點
[00:01:59.400 --> 00:02:01.400]  當然弱一點
