
[00:00:00.000 --> 00:00:06.520]  各位聽眾早安,多謝Pasargini的介紹
[00:00:06.520 --> 00:00:09.720]  多一段時間沒有跟大家分享神的話語
[00:00:09.720 --> 00:00:13.320]  今天感謝主再有機會跟大家思想
[00:00:13.320 --> 00:00:16.600]  我們今天讀的聖經是羅馬書
[00:00:16.600 --> 00:00:20.920]  我們再讀多一次,神的話語對我們相當寶貴
[00:00:20.920 --> 00:00:24.200]  亦是我們今天講道的中心內容
[00:00:24.200 --> 00:00:28.600]  我們請我們翻開聖經羅馬書第一章
[00:00:28.600 --> 00:00:34.120]  我們再一次讀第一章的第一至第五節
[00:00:34.120 --> 00:00:37.920]  大家還認識《潔聖經》嗎?
[00:00:37.920 --> 00:00:40.600]  (笑)
[00:00:40.600 --> 00:00:44.120]  有些認識,有些已經不認識
[00:00:44.120 --> 00:00:48.400]  不要緊,我們找到的時候大家一起讀
[00:00:48.400 --> 00:00:51.600]  羅馬書第一章第一至第五節,請讀
[00:00:51.600 --> 00:00:56.320]  耶穌基督的僕人保羅奉召為使徒
[00:00:56.320 --> 00:00:58.600]  特派傳神的福音
[00:00:58.600 --> 00:01:04.920]  這福音是神傳承先知在聖經上所應許的
[00:01:04.920 --> 00:01:08.320]  論道他兒子我主耶穌基督
[00:01:08.320 --> 00:01:12.320]  按肉體說是從大胃後裔生的
[00:01:12.320 --> 00:01:16.320]  按聖善的靈說因從死裡復活
[00:01:16.320 --> 00:01:19.520]  以大能顯明是神的兒子
[00:01:19.520 --> 00:01:23.920]  我們從他受了恩惠並使徒的積分
[00:01:23.920 --> 00:01:29.320]  在萬國之中叫人為他的名信服真道
[00:01:29.320 --> 00:01:31.920]  這段聖經裡說了很多東西
[00:01:31.920 --> 00:01:34.920]  今天我們只能集中在幾個部分
[00:01:34.920 --> 00:01:39.320]  特別是看到第三節和第四節
[00:01:39.320 --> 00:01:42.720]  說到耶穌基督是聖經裡的應許
[00:01:42.720 --> 00:01:45.920]  論道他兒子我主耶穌基督
[00:01:45.920 --> 00:01:50.920]  按肉體說是從大胃後裔生的
[00:01:50.920 --> 00:01:54.920]  按聖善的靈說因從死裡復活
[00:01:54.920 --> 00:01:56.920]  以大能顯明是神的兒子
[00:01:56.920 --> 00:02:05.920]  這裡說出了一件耶穌基督成為人生兩個很重要的事實
[00:02:05.920 --> 00:02:06.920]  第一個事實
[00:02:06.920 --> 00:02:09.920]  他是成為人生的上帝
[00:02:09.920 --> 00:02:12.920]  按肉體說是從大胃後裔生的
[00:02:12.920 --> 00:02:15.920]  按聖善的靈說從死裡復活
[00:02:15.920 --> 00:02:17.920]  以大能顯明是神的兒子
[00:02:17.920 --> 00:02:20.920]  這兩件事是不能分割的
[00:02:20.920 --> 00:02:27.920]  但有很多時候我們說了很多關於耶穌基督為我們聚死而復活
[00:02:27.920 --> 00:02:31.920]  我們不是忽略不是忘記
[00:02:31.920 --> 00:02:38.920]  不過少說了耶穌基督按肉體說是從大胃後裔生的
[00:02:38.920 --> 00:02:40.920]  這個很重要的事實
[00:02:40.920 --> 00:02:43.920]  最近在網上有一個信息
[00:02:43.920 --> 00:02:45.920]  不知道大家有沒有讀過
[00:02:45.920 --> 00:02:47.920]  在Facebook收到的
[00:02:47.920 --> 00:02:51.920]  題目是姐姐請你不要再來作義教了
[00:02:51.920 --> 00:02:54.920]  義教就是義務教學
