
[00:00:00.000 --> 00:00:02.000]  新年快乐!
[00:00:02.000 --> 00:00:04.000]  今天我们会思想一个题目
[00:00:04.000 --> 00:00:06.000]  就是全图书第十章一至十一节
[00:00:06.000 --> 00:00:08.000]  庸人本相
[00:00:08.000 --> 00:00:10.000]  什么叫庸人呢?
[00:00:10.000 --> 00:00:12.000]  就是蠢材
[00:00:12.000 --> 00:00:14.000]  本相呢?
[00:00:14.000 --> 00:00:16.000]  就是你的样子
[00:00:16.000 --> 00:00:18.000]  意思就是蠢材
[00:00:18.000 --> 00:00:20.000]  看看你的样子
[00:00:20.000 --> 00:00:22.000]  所以今天我们照镜
[00:00:22.000 --> 00:00:24.000]  我就是其中一个蠢材
[00:00:24.000 --> 00:00:26.000]  在上帝面前
[00:00:26.000 --> 00:00:28.000]  我们应不应该做个蠢材呢?
[00:00:28.000 --> 00:00:30.000]  我们来看看这段圣经
[00:00:30.000 --> 00:00:32.000]  这段圣经很有趣
[00:00:32.000 --> 00:00:34.000]  看下去既居左又居右
[00:00:34.000 --> 00:00:36.000]  一会又骑马又骑马
[00:00:36.000 --> 00:00:38.000]  看起来很奇怪
[00:00:38.000 --> 00:00:40.000]  不知道他在说什么
[00:00:40.000 --> 00:00:42.000]  但其实我说圣经里面
[00:00:42.000 --> 00:00:44.000]  不知道他在说什么
[00:00:44.000 --> 00:00:46.000]  通常都很精彩
[00:00:46.000 --> 00:00:48.000]  请我们再一次同心
[00:00:48.000 --> 00:00:50.000]  我们一同祈祷
[00:00:50.000 --> 00:00:52.000]  天父我们再一次感谢你
[00:00:52.000 --> 00:00:54.000]  因为圣经就好像一面镜子
[00:00:54.000 --> 00:00:56.000]  照到我们的本相
[00:00:56.000 --> 00:00:58.000]  祈祷奉耶稣基督命寿
[00:00:58.000 --> 00:01:02.000]  庸人本相
[00:01:02.000 --> 00:01:06.000]  首先我和大家说两个故事
[00:01:06.000 --> 00:01:08.000]  第一个故事是
[00:01:08.000 --> 00:01:10.000]  美国印第安人的故事
[00:01:10.000 --> 00:01:12.000]  有一次有个小孩
[00:01:12.000 --> 00:01:14.000]  出去玩
[00:01:14.000 --> 00:01:16.000]  被他发现了一个巨蛋
[00:01:16.000 --> 00:01:18.000]  比鸡蛋大几倍
[00:01:18.000 --> 00:01:22.000]  究竟这只是什么蛋呢?
[00:01:22.000 --> 00:01:24.000]  他爸爸说这只就是麻鹰蛋
[00:01:24.000 --> 00:01:26.000]  这只是麻鹰蛋
[00:01:26.000 --> 00:01:28.000]  哇! 鹰蛋啊!
[00:01:28.000 --> 00:01:30.000]  这么厉害
[00:01:30.000 --> 00:01:32.000]  怎么办呢?
[00:01:32.000 --> 00:01:34.000]  吃了就浪费了
[00:01:34.000 --> 00:01:36.000]  他想到一个方法
[00:01:36.000 --> 00:01:38.000]  不如静静地
[00:01:38.000 --> 00:01:42.000]  把麻鹰蛋放在鸡蛋中间
[00:01:42.000 --> 00:01:46.000]  让母鸡去孵
[00:01:46.000 --> 00:01:50.000]  静静地把巨蛋放在鸡蛋中
[00:01:50.000 --> 00:01:58.000]  母鸡就不分大小地坐着孵蛋
[00:01:58.000 --> 00:02:02.000]  结果这只鹰就生了
[00:02:02.000 --> 00:02:08.000]  胖烟巨物比其他鸡蛋大很多倍
[00:02:08.000 --> 00:02:10.000]  但又没有镜子
[00:02:10.000 --> 00:02:12.000]  照不到自己的样子
[00:02:12.000 --> 00:02:14.000]  看见其他鸡蛋都是小鸡
[00:02:14.000 --> 00:02:16.000]  以为自己是其中一个
[00:02:16.000 --> 00:02:18.000]  都是小鸡
[00:02:18.000 --> 00:02:20.000]  这只鸡在挖泥
[00:02:20.000 --> 00:02:22.000]  吃虫
[00:02:22.000 --> 00:02:24.000]  这只鸡就在挖泥
[00:02:24.000 --> 00:02:26.000]  吃虫
[00:02:26.000 --> 00:02:28.000]  这只鸡就在挖泥
[00:02:28.000 --> 00:02:30.000]  吃虫
[00:02:30.000 --> 00:02:32.000]  这只鸡就在挖泥
[00:02:32.000 --> 00:02:34.000]  吃虫
[00:02:34.000 --> 00:02:36.000]  这只鸡就在挖泥
[00:02:36.000 --> 00:02:38.000]  吃虫
[00:02:38.000 --> 00:02:40.000]  这只鸡就在挖泥
[00:02:40.000 --> 00:02:42.000]  吃虫
[00:02:42.000 --> 00:02:44.000]  这只鸡就在挖泥
[00:02:44.000 --> 00:02:46.000]  吃虫
[00:02:46.000 --> 00:02:48.000]  这只鸡就在挖泥
[00:02:48.000 --> 00:02:50.000]  吃虫
[00:02:50.000 --> 00:02:52.000]  这只鸡就在挖泥
[00:02:52.000 --> 00:02:54.000]  吃虫
[00:02:54.000 --> 00:02:56.000]  这只鸡就在挖泥
[00:02:56.000 --> 00:02:58.000]  吃虫
[00:02:58.000 --> 00:03:00.000]  这只鸡就在挖泥
[00:03:00.000 --> 00:03:02.000]  吃虫
[00:03:02.000 --> 00:03:04.000]  这只鸡就在挖泥
[00:03:04.000 --> 00:03:06.000]  吃虫
[00:03:06.000 --> 00:03:08.000]  这只鸡就在挖泥
[00:03:08.000 --> 00:03:10.000]  吃虫
[00:03:10.000 --> 00:03:12.000]  这只鸡就在挖泥
[00:03:12.000 --> 00:03:14.000]  吃虫
[00:03:14.000 --> 00:03:16.000]  这只鸡就在挖泥
[00:03:16.000 --> 00:03:18.000]  吃虫
[00:03:18.000 --> 00:03:20.000]  这只鸡就在挖泥
[00:03:20.000 --> 00:03:22.000]  吃虫
[00:03:22.000 --> 00:03:24.000]  这只鸡就在挖泥
[00:03:24.000 --> 00:03:26.000]  吃虫
