
[00:00:00.000 --> 00:00:09.440]  我從事新聞傳播工作到去年整整五十年半世紀
[00:00:09.440 --> 00:00:13.440]  今日我仍是一個退而不休的老報人
[00:00:13.440 --> 00:00:28.000]  我自問對世局、國情、人心會比一般人多一點掌握、了解和關注
[00:00:28.000 --> 00:00:36.000]  但面對今日世代很多問題我無言以對
[00:00:36.000 --> 00:00:46.000]  無從解策、不懂得分析、更加難以預測、地緣政治的緊張
[00:00:46.000 --> 00:01:06.000]  可能在戰火、有生之年可能見到打仗 環境生態的破壞 全世界都是 經濟秩序的扭曲 無得預測、無得分析 錢擺邊度呢
[00:01:06.000 --> 00:01:12.000]  AI時代的困惑 都唔知發生什麼事
[00:01:12.000 --> 00:01:17.000]  可能你只是心裏在博解我 你三人不要說得那麼偉大
[00:01:17.000 --> 00:01:23.000]  我這個大埔區的小市民 一個小小的香港人 找兩餐廳不要說得那麼複雜
[00:01:23.000 --> 00:01:45.000]  榮豐縣事件 哪個叫安全 哪個叫不關你事 每一時每一刻 我都面對那些無法預測的變化 亂世危情 你心安何處呢
[00:01:45.000 --> 00:01:57.000]  這是個問題 問題就找答案吧 現在找答案很厲害的年輕人 好像我講到那些年輕人一邊拿著iPad一邊博解我
[00:01:57.000 --> 00:02:06.000]  我問問AI吧 你試試找AI吧 你給個題目AI 一大堆資料給你 你不知道說什麼的
[00:02:06.000 --> 00:02:22.000]  我要問一些很有智慧的人 我喜歡問人 我就問一下古人 古人很重要的 宋朝的大詩人蘇東坡很有智慧
[00:02:22.000 --> 00:02:36.000]  東坡說 人生如逆鋁 我亦是行人 人生我們面對一站一站過去 每個人都是一樣的 你沒有例外的
[00:02:36.000 --> 00:02:52.000]  人的好或負物貧 我都經歷過人生種種的波折 當他被貶失意的時候 他就寫一句很有自我安慰的話 就算我被貶到南方那如何呢
[00:02:52.000 --> 00:03:00.000]  此心安處是不鄉 我去到哪裡 我心能夠安 那就是我的家鄉
[00:03:00.000 --> 00:03:08.000]  這位唐朝詩人叫白居易 他更加懂得在哪裡住 長安居不易 所以叫白居易
[00:03:08.000 --> 00:03:18.000]  他講過 我生本無鄉 我其實哪有家鄉 心安是歸處
[00:03:18.000 --> 00:03:32.000]  很有古人的智慧 特別東坡公人生的各種變幻起跌 他寫得很好 很有智慧
[00:03:32.000 --> 00:03:40.000]  人生如逆鋁 我亦是行人 我們一站一站過去 我就想起去機場
[00:03:40.000 --> 00:03:50.000]  大家住在大埔 上次出門搭甚麼的 大埔已經有巴士去機場 我住港島 我喜歡搭機鐵
[00:03:50.000 --> 00:03:58.000]  一上機鐵 心情就會很輕快 機鐵第一站是香港站 第一站是九龍站
[00:03:58.000 --> 00:04:06.000]  第三站是青衣 你住大埔都不坐機鐵 第四站就是赤鱲角機場
[00:04:06.000 --> 00:04:14.000]  香港國際機場 下車了 於是我是領隊 帶著銘恩堂的頂姐妹去旅行
[00:04:14.000 --> 00:04:20.000]  我們搭機鐵 好不好 下機鐵 到站了 就下車了 下車是怎樣
[00:04:20.000 --> 00:04:27.000]  下車就是到站 終點站 你不下車幹甚麼 那又怎樣 我怎樣你怎樣
[00:04:27.000 --> 00:04:45.000]  很多時候我們會這樣看 有時有些人去到某個終點站 但我知道就算有一天合上雙眼不再醒來
[00:04:45.000 --> 00:04:51.000]  那個不是我們的終點站 我們還有一個終點站 有另一站
[00:04:51.000 --> 00:04:59.000]  問完古人就問一下聖經 今天的詩都背得很好
[00:04:59.000 --> 00:05:05.000]  證明崇拜部有看我的講題 有看經文的才會選詩 有些教會不是的
[00:05:05.000 --> 00:05:10.000]  我講A 他隨便唱甚麼唱甚麼 完全有時相反的
[00:05:10.000 --> 00:05:14.000]  不緊要的 你相反我扭一扭 即是我們的執生力很強
[00:05:14.000 --> 00:05:22.000]  我扭回來 今天的領詩真的好 完全是同一面 教我們看這個講題
[00:05:22.000 --> 00:05:32.000]  盧偉鏗寫《彭爵信》列了六個聖經人物 但那個信心我必須要看希伯來書
[00:05:32.000 --> 00:05:38.000]  希伯來書的作者是不詳的 其實沒有人知道是誰的作者
[00:05:38.000 --> 00:05:50.000]  但他寫作的年代很清楚 寫給初期教會那些憂患、恐懼、沒有信心的人看信
[00:05:50.000 --> 00:05:57.000]  他寫法很特別 他不像保羅、彼得那些寫很多激勵說話
[00:05:57.000 --> 00:06:02.000]  他用歷史根源說起 為甚麼叫希伯來書呢
[00:06:02.000 --> 00:06:13.000]  希伯來是民族名 猶太是國族名 希伯來就是我們老祖宗就叫希伯來人
[00:06:13.000 --> 00:06:25.000]  我們是甚麼人 我們是中國人 但是我們是華人 華人就是民族名
[00:06:25.000 --> 00:06:32.000]  所以就算你旅居外地 你有不同的國籍 但你要凝視一個華人
[00:06:32.000 --> 00:06:40.000]  我在一個舞會 耕耘了普通話時工超過十年 很難做的時工
[00:06:40.000 --> 00:06:46.000]  今年我們有一個突破 我們改名 我們不再叫普通話時工
[00:06:46.000 --> 00:06:52.000]  不再叫普通話崇拜 我叫華語時工 華語崇拜
[00:06:52.000 --> 00:06:57.000]  第一次會不明白 普通話就是普通話 為甚麼叫華語
[00:06:57.000 --> 00:07:03.000]  我就問他 你有沒有看過普通話電影 他呆了
[00:07:03.000 --> 00:07:09.000]  有沒有聽過華語歌曲 有沒有聽過普通話歌曲
[00:07:09.000 --> 00:07:15.000]  於是華語是全世界的 普通話是很地區性的
[00:07:15.000 --> 00:07:24.000]  華語時工面向全世界的華人 香港兩文三語
[00:07:24.000 --> 00:07:29.000]  香港始終是一個全世界華人流動的社會
[00:07:29.000 --> 00:07:37.000]  這個我們看見聖靈帶領 我們重新去定名 找回最根本的地方
[00:07:37.000 --> 00:07:44.000]  希伯來之作者從民族的根源說起 你說的激勵說話有時都是激勵
[00:07:44.000 --> 00:07:50.000]  我從歷史說起 從老宗之說 我們是怎樣走過來的
[00:07:50.000 --> 00:07:56.000]  我們是怎樣在神的帶領底下 去帶領民族的前進
[00:07:56.000 --> 00:08:05.000]  數了十個人物 十個人物如果你上了教多久
[00:08:05.000 --> 00:08:10.000]  你很用心去聽教導 又有上主學 又上查經班
[00:08:10.000 --> 00:08:16.000]  你應該熟悉 如果是誰的頂姊妹 我考考你
[00:08:16.000 --> 00:08:23.000]  你隨時可以說出一個故事 你應該是相當熟悉聖經的基督徒
[00:08:23.000 --> 00:08:27.000]  相反這十個名字你聽就聽過 完全不了解
[00:08:27.000 --> 00:08:32.000]  你今天聽一堂道有少少是甩漏的 你不了解他們
[00:08:32.000 --> 00:08:38.000]  我都明白這個情況 你十個講完可以講十頭主一學
[00:08:38.000 --> 00:08:42.000]  有也未必講完 我抽兩三個
[00:08:42.000 --> 00:08:45.000]  先講講這班人有什麼特別的地方
[00:08:45.000 --> 00:08:49.000]  他們超了現代去仰望新的家鄉 很抽象的
[00:08:49.000 --> 00:08:58.000]  希伯來書十一章叫信心篇 相比臨前十三章愛心篇難很多
[00:08:58.000 --> 00:09:09.000]  因為愛心很感性 很溫馨 甚至很多人會將臨前十三章的金句牌
[00:09:09.000 --> 00:09:16.000]  藏在床前在家裏 愛是恆久忍耐 又有興致 是不是很暢快
[00:09:16.000 --> 00:09:23.000]  一讀希伯來書十一章 第一和學本的翻譯有些掉漆
[00:09:23.000 --> 00:09:29.000]  有人問我李生你喜歡看哪個版本的聖經
[00:09:29.000 --> 00:09:38.000]  其實真的要看不同的經卷 如果你是讀新約較多
[00:09:38.000 --> 00:09:43.000]  用新譯本比較現代的語言你比較掌握多一點
[00:09:43.000 --> 00:09:49.000]  但讀舊約特別是智慧文學 你讀詩篇讀傳道書
[00:09:49.000 --> 00:09:59.000]  你讀新譯本你讀那些和學本的 因為和學本的文學根底很多
[00:09:59.000 --> 00:10:05.000]  古文根底很多 所以古文根底希伯來的文學又貼實很多
[00:10:05.000 --> 00:10:13.000]  和學本有些掉漆 但都明白的 主要是可以講出一樣東西
[00:10:13.000 --> 00:10:20.000]  希伯來書作者主要是用一個實體和影義去比較新約和舊約
[00:10:20.000 --> 00:10:25.000]  在舊約所看到的是影 在新約我們看到實體
[00:10:25.000 --> 00:10:31.000]  這就是新約的差距 今時今日我們現代信徒是有新舊約傳書
[00:10:31.000 --> 00:10:35.000]  我們明白聖父 聖子 聖靈三一體的神是甚麼
[00:10:35.000 --> 00:10:43.000]  在舊約時代這班老希伯來人 好像是不知道的
[00:10:43.000 --> 00:10:49.000]  你不知道 你都信 就信這個神
[00:10:49.000 --> 00:10:52.000]  未看到 我都信 因為我信這個神
[00:10:52.000 --> 00:11:00.000]  在有生之年都看不到的 我都信 你有生之年有多厲害
[00:11:00.000 --> 00:11:06.000]  為甚麼用你有生之年作界限呢 記得在香港最激情的時代
[00:11:06.000 --> 00:11:10.000]  很多祈禱會 很多大令祈禱的人都說
[00:11:10.000 --> 00:11:14.000]  上帝求你讓我有生之年 我看到甚麼甚麼甚麼
[00:11:14.000 --> 00:11:20.000]  你的有生之年為甚麼是上帝時間表呢
[00:11:20.000 --> 00:11:27.000]  為甚麼用你有生之年作準則呢 這是我們經常自我為中心的一種看法
[00:11:27.000 --> 00:11:33.000]  但這班希伯來人 這班老祖宗 很多事是看不到的
[00:11:33.000 --> 00:11:40.000]  你都不明白的 就是信 但信不是我信啊我等啊
[00:11:40.000 --> 00:11:45.000]  而是為此而付出極大的代價
[00:11:45.000 --> 00:11:51.000]  一個一個數出來 每個人不是坐著等的
[00:11:51.000 --> 00:12:00.000]  亞伯拉罕擁有族長 擁有他的家產 很穩定
[00:12:00.000 --> 00:12:04.000]  神他連根拔就連根拔 要他走就走
[00:12:04.000 --> 00:12:10.000]  摩西更加 埃及王子為甚麼帶領以色人出埃及
[00:12:10.000 --> 00:12:20.000]  就是賠償了生命的代價 講摩西特別會提摩西的母親和她的姐姐
[00:12:20.000 --> 00:12:25.000]  其實有摩西的出現 母親和姐姐都很重要
[00:12:25.000 --> 00:12:34.000]  當時法老下了殺子令 放有他人的男嬰全部殺
[00:12:34.000 --> 00:12:43.000]  摩西的出世很可愛 很不捨得 病了三個月
[00:12:43.000 --> 00:12:50.000]  但會哭 會吵 發生甚麼事 全部都死
[00:12:50.000 --> 00:12:58.000]  於是他姐姐很聰明 找到機會知道埃及公主何時去到河裏
[00:12:58.000 --> 00:13:06.000]  不知是游水還是洗澡 將摩西包好放在蘆葦草裏
[00:13:06.000 --> 00:13:13.000]  埃及公主看見 太可愛了這個小朋友 這個BB 姐姐就出來演戲
[00:13:13.000 --> 00:13:18.000]  哭泣 很可愛 但他要奶媽 介紹奶媽給你
[00:13:18.000 --> 00:13:23.000]  於是故事就發展了 看故事好像很有趣
[00:13:23.000 --> 00:13:33.000]  但背後其實每個人憑信心走上神的路 都要存在極大的風險
