
[00:00:00.000 --> 00:00:06.920]  各位舊人孫的家長,你好,我是余德淳博士
[00:00:06.920 --> 00:00:14.340]  今天和你分享一個題目,就是如何可以輕鬆、有效培育正能量子女
[00:00:14.340 --> 00:00:19.800]  好像很多技術的字眼,不過大家最有興趣看的就是正能量
[00:00:19.800 --> 00:00:24.760]  正能量是什麼呢?其實是一種情緒,是一種推動力
[00:00:24.760 --> 00:00:31.680]  另一個人很想達到目的,但不是帶一些很恐懼的感覺
[00:00:31.680 --> 00:00:35.680]  而是輕鬆、開心的感覺才容易出現正能量
[00:00:35.680 --> 00:00:42.360]  例如你看到你的子女很有興趣看一本書,樣子是微微的在笑
[00:00:42.360 --> 00:00:45.900]  你知道這本書的內容一定是很吸引
[00:00:45.900 --> 00:00:50.760]  但可能不是,是他本身很想知道這本書的內容
[00:00:50.760 --> 00:00:55.400]  因為他的興趣很濃厚,所以他笑,可能這本書是沒有笑話的
[00:00:55.400 --> 00:01:01.200]  但看完之後,他告訴你,一會兒我再看,還差一點沒看完
[00:01:01.200 --> 00:01:10.540]  奇怪,他平時很早睡,這次這本書令他這麼晚都還要看完
[00:01:10.540 --> 00:01:14.480]  這種是正能量,那什麼時候人有正能量呢?
[00:01:14.480 --> 00:01:20.560]  其實是和家裡的氣氛有關係的,我特別指中小學生
[00:01:20.560 --> 00:01:24.280]  家裡有四種類型,嚴格來說有四種傾向
[00:01:24.280 --> 00:01:30.400]  最容易高正能量的那種,是那些衝力很強的家庭
[00:01:30.400 --> 00:01:35.800]  什麼叫衝力很強呢?就是他們經常要達到一些要完成的目的
[00:01:35.800 --> 00:01:41.640]  如果不是不放手的,例如一家人快要過年
[00:01:41.640 --> 00:01:44.940]  他們要把房子整理得很整齊、很整齊
[00:01:44.940 --> 00:01:51.440]  整家人晚上還要開工,還要工作到2點、3點
[00:01:51.440 --> 00:01:53.620]  他們覺得做他們的事是最快樂的
[00:01:53.620 --> 00:01:56.360]  這種就是衝力很強的家庭
[00:01:56.360 --> 00:02:00.200]  如果不是他們不滿足的,他們不喜歡慢慢來的
