
[00:00:00.000 --> 00:00:07.000]  多謝教會今次的講道是分開五堂創出利民生
[00:00:07.000 --> 00:00:12.000]  這本《不記大綱》總共是39頁
[00:00:12.000 --> 00:00:15.000]  字數是11085個字
[00:00:15.000 --> 00:00:19.000]  希望大家回去不要擺在枕頭底
[00:00:19.000 --> 00:00:22.000]  好好地回去再看
[00:00:22.000 --> 00:00:24.000]  我們做個祈禱
[00:00:24.000 --> 00:00:26.000]  天父我們求你帶領以下
[00:00:26.000 --> 00:00:28.000]  我們要聽你話語的時間
[00:00:28.000 --> 00:00:30.000]  能夠聆聽能夠明白
[00:00:30.000 --> 00:00:32.000]  奉耶穌的名祈禱
[00:00:32.000 --> 00:00:33.000]  阿們
[00:00:33.000 --> 00:00:34.000]  這堂是第三堂
[00:00:34.000 --> 00:00:35.000]  第一堂是提到
[00:00:35.000 --> 00:00:38.000]  恆在神的心意中要遵神而行
[00:00:38.000 --> 00:00:42.000]  第二堂是恆在神的使命中要避神所用
[00:00:42.000 --> 00:00:44.000]  今天這一堂是說到
[00:00:44.000 --> 00:00:47.000]  恆在神的聖潔中要蒙神所愛
[00:00:47.000 --> 00:00:50.000]  這一堂的時候我發現原來
[00:00:50.000 --> 00:00:53.000]  施奉神不是做得東西就太曬的
[00:00:53.000 --> 00:00:58.000]  原來關係有時比表現更加重要
[00:00:58.000 --> 00:01:02.000]  關係是在服事之先
[00:01:02.000 --> 00:01:05.000]  服事是關係的表現
[00:01:05.000 --> 00:01:07.000]  但是關係不好
[00:01:07.000 --> 00:01:09.000]  服事很難被接受
[00:01:09.000 --> 00:01:14.000]  有一次我和女兒去湖邊踩單車
[00:01:14.000 --> 00:01:16.000]  但我不是很小心
[00:01:16.000 --> 00:01:17.000]  我女兒才幾歲
[00:01:17.000 --> 00:01:20.000]  我踩著大的車
[00:01:20.000 --> 00:01:22.000]  拖著小的車
[00:01:22.000 --> 00:01:23.000]  拖得太快
[00:01:23.000 --> 00:01:24.000]  車翻了
[00:01:24.000 --> 00:01:25.000]  跌倒
[00:01:25.000 --> 00:01:27.000]  跌倒起來我又繼續拖
[00:01:27.000 --> 00:01:29.000]  她又再翻多次
[00:01:29.000 --> 00:01:31.000]  都是老爸的錯
[00:01:31.000 --> 00:01:33.000]  我女兒那次很生氣
[00:01:33.000 --> 00:01:34.000]  她很少生氣
[00:01:34.000 --> 00:01:36.000]  當她那次生氣的時候
[00:01:36.000 --> 00:01:37.000]  我非常難過
[00:01:37.000 --> 00:01:40.000]  後來結束之後我帶她去吃東西
[00:01:40.000 --> 00:01:41.000]  我夾劑送給她
[00:01:41.000 --> 00:01:42.000]  她都不吃
[00:01:42.000 --> 00:01:44.000]  她說No
[00:01:44.000 --> 00:01:46.000]  一直在生氣
[00:01:46.000 --> 00:01:48.000]  我一路哄她一路哄她都不聽
[00:01:48.000 --> 00:01:50.000]  後來終於爹地和她認錯
[00:01:50.000 --> 00:01:52.000]  是我走得太快
[00:01:52.000 --> 00:01:53.000]  一大堆說完之後
[00:01:53.000 --> 00:01:55.000]  她才說OK
[00:01:55.000 --> 00:01:57.000]  才去吃那東西
[00:01:57.000 --> 00:01:59.000]  我發現關係的修補
[00:01:59.000 --> 00:02:02.000]  和關係真的在於服侍之先
[00:02:02.000 --> 00:02:04.000]  兩夫妻之間一樣
[00:02:04.000 --> 00:02:05.000]  你買再漂亮的花
[00:02:05.000 --> 00:02:07.000]  你買再好的禮物
[00:02:07.000 --> 00:02:09.000]  但你平時對太太不湊不彩
[00:02:09.000 --> 00:02:10.000]  不關心
[00:02:10.000 --> 00:02:11.000]  不問候
[00:02:11.000 --> 00:02:12.000]  再好的禮物
[00:02:12.000 --> 00:02:14.000]  她都覺得沒意思
[00:02:14.000 --> 00:02:15.000]  所以關係很重要
[00:02:15.000 --> 00:02:16.000]  第三堂提到的就是
[00:02:16.000 --> 00:02:19.000]  我們必須要與神之間有好的關係
[00:02:19.000 --> 00:02:21.000]  要行在神的聖潔當中
[00:02:21.000 --> 00:02:22.000]  五重祭
[00:02:22.000 --> 00:02:24.000]  七個節期
[00:02:24.000 --> 00:02:25.000]  每一個的獻祭
[00:02:25.000 --> 00:02:27.000]  每一個節期提醒人
[00:02:27.000 --> 00:02:29.000]  我們要以利罪成性
[00:02:29.000 --> 00:02:30.000]  每一個祭
[00:02:30.000 --> 00:02:31.000]  每一個節期後面
[00:02:31.000 --> 00:02:32.000]  你回去讀《理美記》的時候
[00:02:32.000 --> 00:02:34.000]  你會明白裡面有它的意思
[00:02:34.000 --> 00:02:35.000]  有它的背景
[00:02:35.000 --> 00:02:36.000]  有它的故事
[00:02:36.000 --> 00:02:38.000]  有它的規矩
