
[00:00:00.000 --> 00:00:07.000]  在生活中有些事情你視為理所當然
[00:00:07.000 --> 00:00:13.000]  一旦失去你就會分外珍惜
[00:00:13.000 --> 00:00:18.000]  我很珍惜今天能夠暫時脫下口罩
[00:00:18.000 --> 00:00:27.000]  透過螢光幕或者電子屏幕和大家一起分享神的話語
[00:00:27.000 --> 00:00:33.000]  在過去幾個月我沒有停止過渡假會的講道
[00:00:33.000 --> 00:00:42.000]  並且我每次講道都差不多用準備報道會的心力去準備不同的信息
[00:00:42.000 --> 00:00:47.000]  為什麼呢?因為過去幾個月來的經驗就是
[00:00:47.000 --> 00:00:55.000]  我都會呼籲弟兄姊妹可不可以難得一家人很少星期日一起在家裡
[00:00:55.000 --> 00:01:06.000]  將你最愛的人帶來一點點的螢光幕前一起去聽一聽道好不好呢?
[00:01:06.000 --> 00:01:12.000]  特別今天可能很多活動都停了
[00:01:12.000 --> 00:01:15.000]  你本來訂了位喝茶根本都不想去了
[00:01:15.000 --> 00:01:24.000]  難得全家一起用四十多分鐘時間去聆聽神的話語
[00:01:24.000 --> 00:01:27.000]  可能有人說我從來都不聽耶穌的
[00:01:27.000 --> 00:01:35.000]  但是人去到這一步你發覺你不能不仰望上天
[00:01:35.000 --> 00:01:38.000]  或者你可能是拜不同的神
[00:01:38.000 --> 00:01:49.000]  你是仰望上天唯有一個真正的力量才可以扭轉現在香港或者全世界面對的情況
[00:01:49.000 --> 00:01:57.000]  看回人類歷史有很多場是和瘟疫抗戰的戰爭
[00:01:57.000 --> 00:02:00.000]  每次都傷亡慘重
[00:02:00.000 --> 00:02:09.000]  不過歷史將會清楚記載2019年這場新典型肺炎
[00:02:09.000 --> 00:02:14.000]  對全世界造成的傷害造成的影響
[00:02:14.000 --> 00:02:21.000]  可能也是比過去歷史更加慘重
[00:02:21.000 --> 00:02:26.000]  成經最早記載瘟疫是初一級的
[00:02:26.000 --> 00:02:33.000]  當時是神用瘟疫來擊打去教導以色列人
[00:02:33.000 --> 00:02:35.000]  在歷代史上下
[00:02:35.000 --> 00:02:42.000]  《千語書》的爾利米·以西傑都有關於瘟疫的記載
[00:02:42.000 --> 00:02:53.000]  在詩篇詩人都用瘟疫在文學的不足去描寫一種邪惡死亡的力量
[00:02:53.000 --> 00:02:57.000]  瘟疫是人都害怕
[00:02:57.000 --> 00:03:00.000]  但瘟疫同時是一個好的文學題材
[00:03:00.000 --> 00:03:03.000]  聖經的詩人都寫下瘟疫
[00:03:03.000 --> 00:03:09.000]  兩位諾貝爾文學獎的得主卡茂·馬夫斯
[00:03:09.000 --> 00:03:13.000]  都曾經寫過與瘟疫相關的文學著作
[00:03:13.000 --> 00:03:21.000]  當然比較更多人認識的就是馬夫斯這位哥倫比亞籍的作家
[00:03:21.000 --> 00:03:28.000]  一本歷作《外在瘟疫蔓延時》
[00:03:28.000 --> 00:03:31.000]  描寫國家的百年戰爭
[00:03:31.000 --> 00:03:34.000]  一個很特別的愛情故事
[00:03:34.000 --> 00:03:37.000]  當時的瘟疫是什麼呢?是霍亂
[00:03:37.000 --> 00:03:40.000]  大家記得香港當年都曾經有霍亂
[00:03:40.000 --> 00:03:43.000]  我小學時在學校打了霍亂針
[00:03:43.000 --> 00:03:46.000]  痛幾天就會發燒的 很害怕的
[00:03:46.000 --> 00:03:48.000]  又不想上街
[00:03:48.000 --> 00:03:53.000]  這就是人類瘟疫的記載
