
[00:00:00.000 --> 00:00:11.000]  第一個問題是 一個領袖和一個目者會不會被挑戰呢?
[00:00:11.000 --> 00:00:15.000]  這麼少人點頭 肯定會被挑戰
[00:00:15.000 --> 00:00:21.000]  無論在社會、在機構、在教會裏面都必定會發生的事
[00:00:21.000 --> 00:00:25.000]  被挑戰之後會有什麼結果呢?
[00:00:25.000 --> 00:00:33.000]  在教會裏面 我不是說犯罪的個案 是說被攻擊的個案
[00:00:33.000 --> 00:00:39.000]  我不知道大家有沒有經歷過或見過 我見過很多 在教會裏面
[00:00:39.000 --> 00:00:44.000]  那時執事長老、目者我都見過了
[00:00:44.000 --> 00:00:49.000]  我見到結果都是一致的 Step down
[00:00:49.000 --> 00:00:55.000]  被攻擊的無論是執事長老 結果都是 Step down 了的 目者就離職
[00:00:55.000 --> 00:00:59.000]  那時我就去想問題在哪裏呢?
[00:00:59.000 --> 00:01:08.000]  那些挑戰或者 Criticism 其實不是完全無中生有的
[00:01:08.000 --> 00:01:10.000]  有少少道理的
[00:01:10.000 --> 00:01:15.000]  那時如果完全無中生有 那些就叫做惡意攻擊
[00:01:15.000 --> 00:01:21.000]  他有些真實的位置在那裏 但我又發現了另外一樣東西
[00:01:21.000 --> 00:01:25.000]  很多時候頂姐妹是沒有能力去分辨
[00:01:25.000 --> 00:01:35.000]  表面上的指控是一樣東西 但實質上背後的動機是什麼呢?
[00:01:35.000 --> 00:01:38.000]  很多時候不懂得分辨 我們聽了表面
[00:01:38.000 --> 00:01:45.000]  然後就有大票數支持 很多時候結果就是這樣
[00:01:45.000 --> 00:01:47.000]  我講個故事給大家聽
[00:01:47.000 --> 00:01:54.000]  我以前在加拿大美國的時候見過個案 會有大會
[00:01:54.000 --> 00:02:00.000]  那時有個執事出來指控長老 以前教會有執事有長老
[00:02:00.000 --> 00:02:05.000]  那個執事就是under那個長老 那時就很強力指控
[00:02:05.000 --> 00:02:10.000]  就說他等於我們今天的躺平 他的罪狀就是躺平
[00:02:10.000 --> 00:02:17.000]  他什麼都沒有做過 結果那個長老就step down
[00:02:17.000 --> 00:02:20.000]  那個長老其實那些全部我都認識的
[00:02:20.000 --> 00:02:24.000]  那個長老後來神很幽默 神就呼召了他
[00:02:24.000 --> 00:02:28.000]  他就去了做宣教士 我就在宣教工場見到他
[00:02:28.000 --> 00:02:35.000]  其實那個長老很好 今天又若干年我又回到這個舞會
[00:02:35.000 --> 00:02:42.000]  跟著同台一起侍奉 昔日被指控的那個做了宣教士
[00:02:42.000 --> 00:02:48.000]  他就講完了 我覺得很美好的圖畫 其實都和好了
[00:02:48.000 --> 00:02:51.000]  沒有以前那些東西放下
