
[00:00:00.000 --> 00:00:03.880]  好 鄧小妹讓我們聽神的話 以先同心地禱告
[00:00:03.880 --> 00:00:08.180]  為什麼要我們在這神話裡之前先同心禱告?
[00:00:08.180 --> 00:00:10.240]  各位親愛的父親 多謝你
[00:00:10.240 --> 00:00:14.980]  讓我們能夠在今天這麼美麗的星期天的早上
[00:00:14.980 --> 00:00:17.080]  再次來到你的面前
[00:00:17.080 --> 00:00:19.740]  我們一同的鄧小妹 給予你一同的守望
[00:00:19.740 --> 00:00:23.020]  一同的學習 一同的去敬拜你
[00:00:23.020 --> 00:00:25.760]  讓我們能夠真是將新心靈
[00:00:25.760 --> 00:00:29.240]  再次去靠近主你的心
[00:00:29.240 --> 00:00:32.600]  好使我們能夠知道怎樣學習
[00:00:32.600 --> 00:00:34.840]  伴隨走主你的道路
[00:00:34.840 --> 00:00:37.920]  求你願我同在 預備我的心
[00:00:37.920 --> 00:00:40.060]  能夠聆聽你的話語
[00:00:40.060 --> 00:00:43.040]  成為我們腳前的燈 路上的光
[00:00:43.040 --> 00:00:44.500]  各位親愛的親父 感謝你
[00:00:44.500 --> 00:00:47.960]  讓我們今天能夠再次來到你的面前
[00:00:47.960 --> 00:00:53.520]  在這個風光明媚的一個週日的早上
[00:00:53.520 --> 00:00:56.920]  一同來來敬拜 我們再次先聲感謝
[00:00:56.920 --> 00:01:00.560]  讓我們也能夠在這個長週末的時間
[00:01:00.560 --> 00:01:02.800]  讓我們能夠悠揚上士
[00:01:02.800 --> 00:01:05.920]  使我們能夠再次活在主你的當中
[00:01:05.920 --> 00:01:09.160]  我們也同時再次先聲感謝
[00:01:09.160 --> 00:01:12.160]  但願今天我們再次聆聽你的話語
[00:01:12.160 --> 00:01:13.920]  使我們能夠學習
[00:01:13.920 --> 00:01:17.280]  知道怎樣隨主你走我們人生的道路
[00:01:17.280 --> 00:01:21.720]  也同時怎樣預備走永恆的生命的道路
[00:01:21.720 --> 00:01:22.960]  與你同活
[00:01:22.960 --> 00:01:25.840]  我們再次把這段時間恭敬交下
[00:01:25.840 --> 00:01:28.640]  求你的心靈 諸間集中
[00:01:28.640 --> 00:01:32.120]  幫助我們向主耶穌的話語
[00:01:32.120 --> 00:01:36.400]  以在與以色列民音所說的話語當中
[00:01:36.400 --> 00:01:38.560]  怎樣做成你的工作
[00:01:38.560 --> 00:01:44.520]  使我們重新審視我們今天我們生命生活
[00:01:44.520 --> 00:01:46.800]  我們大家恭祝耶穌的名作
[00:01:46.800 --> 00:01:48.080]  Amen
[00:01:48.080 --> 00:01:53.880]  在聖經裏面
[00:01:53.880 --> 00:01:55.560]  在聖經裏面
[00:01:55.560 --> 00:02:00.120]  特別在馬太福音第五章33節
[00:02:00.120 --> 00:02:02.720]  就是馬太福音第五章33節
[00:02:02.720 --> 00:02:06.480]  耶穌曾經很清楚地跟我們說
[00:02:06.480 --> 00:02:09.040]  耶穌曾經很清楚地告訴我們
[00:02:09.040 --> 00:02:12.720]  我們一切的事都不可取
[00:02:12.720 --> 00:02:15.680]  我們一切的事都不可取
[00:02:15.680 --> 00:02:17.640]  耶穌為甚麼要這樣說呢?
[00:02:17.640 --> 00:02:19.000]  耶穌為甚麼要這樣說呢?
[00:02:19.000 --> 00:02:22.000]  這句經文也誘發了今天很多的基督徒
[00:02:22.000 --> 00:02:26.160]  對於起誓的矛盾和猶豫
[00:02:26.160 --> 00:02:29.440]  這句經文也引起了今天很多基督徒
[00:02:29.440 --> 00:02:31.440]  起誓的猶豫和矛盾
[00:02:31.440 --> 00:02:34.000]  究竟今天基督徒還應不應該去
[00:02:34.000 --> 00:02:38.280]  在一些環節上 譬如法庭
[00:02:38.280 --> 00:02:41.800]  或者是我們做一些文件宣誓的時候
[00:02:41.800 --> 00:02:43.200]  我們發誓呢?
[00:02:43.200 --> 00:02:45.240]  特別在一些環節
[00:02:45.240 --> 00:02:49.880]  譬如法庭或者是文件上要不要發誓呢?
[00:02:51.160 --> 00:02:53.160]  因為我們讀過一句這樣的經文
[00:02:53.160 --> 00:02:55.160]  因為我們讀了這麼一句經文
[00:02:55.160 --> 00:02:58.360]  於是很多基督徒就對著
[00:02:58.360 --> 00:03:00.880]  很多人就覺得應不應該去做呢?
[00:03:00.880 --> 00:03:03.720]  當有些基督徒對著很多人的時候
[00:03:03.720 --> 00:03:04.880]  該不該起誓呢?
[00:03:04.880 --> 00:03:06.920]  其實這種矛盾是出自於
[00:03:06.920 --> 00:03:10.000]  我們對耶穌基督的講話的不了解
[00:03:10.000 --> 00:03:14.160]  這個矛盾是出自於我們對耶穌的講話的不了解
[00:03:14.160 --> 00:03:16.440]  在《馬太福音》的五章第三十三字
[00:03:16.440 --> 00:03:18.440]  這一段落的經文裏面
[00:03:18.440 --> 00:03:20.560]  在《馬太福音》第五章三十三節
[00:03:20.560 --> 00:03:21.600]  這段經文裏面
[00:03:21.600 --> 00:03:23.600]  主要耶穌要談及的就是
