
[00:00:00.000 --> 00:00:08.000]  我們今天繼續看詩篇139篇
[00:00:08.000 --> 00:00:10.920]  可能都是一首很熟悉的詩
[00:00:10.920 --> 00:00:12.360]  對某些弟兄姐妹
[00:00:12.360 --> 00:00:15.040]  不過我覺得在這個時代
[00:00:15.040 --> 00:00:19.160]  這首詩其實都是很有意思的一首詩
[00:00:19.160 --> 00:00:22.680]  不過我們首先讀一次
[00:00:22.680 --> 00:00:26.760]  這首詩總共有24節比較長
[00:00:26.760 --> 00:00:29.760]  所以我們就用啟認的方法
[00:00:29.760 --> 00:00:31.760]  我們把這首詩讀完
[00:00:31.760 --> 00:00:33.400]  我讀單數啟
[00:00:33.400 --> 00:00:34.880]  大家讀雙數
[00:00:34.880 --> 00:00:35.760]  這個認
[00:00:35.760 --> 00:00:37.760]  我們讀完東西四節
[00:00:38.080 --> 00:00:42.080]  耶和華,你已經監察我,認識我
[00:00:42.080 --> 00:00:52.400]  我行路,我躺臥,你都細察
[00:00:52.400 --> 00:00:56.080]  你也心知我一切所行的
[00:01:02.160 --> 00:01:07.880]  你在我前後環繞我,按手在我身上
[00:01:07.880 --> 00:01:17.360]  我往哪裡去躲避你的靈
[00:01:17.360 --> 00:01:20.360]  我往哪裡逃躲避你的面
[00:01:28.360 --> 00:01:33.360]  我若展開清晨的翅膀,飛到海極居住
[00:01:33.360 --> 00:01:43.760]  我若說黑暗必定遮蔽我
[00:01:43.760 --> 00:01:47.960]  我周圍的亮光必成為黑暗黑夜
[00:01:48.560 --> 00:01:50.560]  黑暗黑夜,請你監視我
[00:01:50.560 --> 00:01:52.560]  請你監視我
[00:01:52.560 --> 00:01:54.560]  黑暗黑夜,請你監視我
[00:01:54.560 --> 00:01:56.560]  黑暗黑夜,請你監視我
[00:01:56.560 --> 00:01:58.560]  在你眼中顯示我
[00:01:58.560 --> 00:02:01.960]  我的肺腑是你所造的
[00:02:01.960 --> 00:02:05.360]  我在母腹中,你已覆蔽我
[00:02:05.360 --> 00:02:08.560]  我要見你的,在我腦海中
[00:02:08.560 --> 00:02:11.560]  請你可愛,請你可愛
[00:02:11.560 --> 00:02:14.560]  請你知我心心意所在
[00:02:14.560 --> 00:02:19.560]  我在暗中受造,在地的深處被聯絡
[00:02:19.560 --> 00:02:23.560]  那時我的形體並不向你隱藏
[00:02:23.560 --> 00:02:28.560]  從你正面前看,你眼睛已看見我
[00:02:28.560 --> 00:02:31.560]  你拿起你的人質,我向你抱怨
[00:02:31.560 --> 00:02:34.560]  你拿起你的客人,我向你抱怨
[00:02:34.560 --> 00:02:38.560]  神啊,你的意念向我何等寶貴
[00:02:38.560 --> 00:02:41.560]  其數何等眾多
[00:02:41.560 --> 00:02:44.560]  我若數盡,你我彈狂
[00:02:44.560 --> 00:02:48.560]  我對你的念頭,叫我離不開
[00:02:48.560 --> 00:02:52.560]  神啊,你必要殺目惡人
[00:02:52.560 --> 00:02:56.560]  所以,你們好流人血的,離開我去吧
[00:02:56.560 --> 00:02:59.560]  因為你不願意要我的心臟
[00:02:59.560 --> 00:03:02.560]  請你保持他我好心的意念
[00:03:02.560 --> 00:03:07.560]  耶和華啊,恨惡你的,我豈不恨惡他們嗎
[00:03:07.560 --> 00:03:11.560]  攻擊你的,我豈不恨厭他們嗎
[00:03:11.560 --> 00:03:16.560]  我只知你恨厭他們,不恨他們是你恨的
[00:03:16.560 --> 00:03:20.560]  神啊,求你監察我,知道我的心思
[00:03:20.560 --> 00:03:23.560]  思念我,知道我的意念
[00:03:23.560 --> 00:03:26.560]  看我在裡面有什麼惡行活有
[00:03:26.560 --> 00:03:29.560]  引導我走永生的道路
[00:03:29.560 --> 00:03:31.560]  我們低頭再做一個禱告吧
[00:03:31.560 --> 00:03:35.560]  上主啊,求祢真的監察我們的心
[00:03:35.560 --> 00:03:41.560]  讓我們在祢面前是可以踢路闖開的
[00:03:41.560 --> 00:03:44.560]  讓我們將我們一切的心思意念
[00:03:44.560 --> 00:03:46.560]  都放在祢的面前
[00:03:46.560 --> 00:03:49.560]  被祢去潔淨,被祢去接納
[00:03:49.560 --> 00:03:53.560]  讓我們知道我們的生命在祢的手中
[00:03:53.560 --> 00:03:55.560]  每一天都是寶貴的
[00:03:55.560 --> 00:03:59.560]  今天一段聽到的時間,求祢祝福
[00:03:59.560 --> 00:04:01.560]  禱告奉耶穌基督名
[00:04:02.560 --> 00:04:05.560]  這首詩篇139篇
[00:04:05.560 --> 00:04:11.560]  提到詩人和神的關係
[00:04:11.560 --> 00:04:14.560]  這首詩很工整的
[00:04:14.560 --> 00:04:15.560]  「夜四節」
[00:04:15.560 --> 00:04:17.560]  「夜四除四」
[00:04:17.560 --> 00:04:20.560]  每段都是六節
[00:04:20.560 --> 00:04:25.560]  首先講到神認識他
[00:04:25.560 --> 00:04:27.560]  然後有些對比
[00:04:27.560 --> 00:04:29.560]  無論是什麼情況都認識他
[00:04:29.560 --> 00:04:32.560]  然後講日子,最後講惡人
[00:04:32.560 --> 00:04:34.560]  明顯四段
[00:04:34.560 --> 00:04:38.560]  而且這四段都很工整的地方
[00:04:38.560 --> 00:04:39.560]  如果四段去講
[00:04:39.560 --> 00:04:43.560]  第一、第三段可以說是開心一點
[00:04:43.560 --> 00:04:47.560]  第二、第四段就比較有些幽暗點、陰影
[00:04:47.560 --> 00:04:53.560]  反映詩人無論在光明、幽暗裡面
[00:04:53.560 --> 00:04:56.560]  他都體會神,認識他,與他同在
[00:04:56.560 --> 00:05:01.560]  我們藉著這四個部分
[00:05:01.560 --> 00:05:06.560]  去思想這首詩篇帶給我們的訊息
[00:05:06.560 --> 00:05:09.560]  第一節已經講了整個詩的主題
[00:05:09.560 --> 00:05:12.560]  又說你已經監察我、認識我
[00:05:12.560 --> 00:05:15.560]  整首詩其實是一個默想
