
[00:00:00.000 --> 00:00:08.380]  八小時多一點 而講中華三教簡直是妄想
[00:00:08.380 --> 00:00:10.380]  甚至加個「狂」字上去
[00:00:10.380 --> 00:00:12.380]  不過呢 沒辦法也要想辦法
[00:00:12.380 --> 00:00:16.180]  大家有興趣 最重要是自己有興趣去留意
[00:00:16.180 --> 00:00:18.180]  兒童知道的兒 知道童
[00:00:18.180 --> 00:00:23.140]  好 接著三 只要心裡專注為聖
[00:00:23.140 --> 00:00:25.140]  大家一起讀 等一下
[00:00:25.140 --> 00:00:29.060]  有人問你心中盼望的緣由
[00:00:29.060 --> 00:00:35.860]  就要常作準備 以溫柔敬畏的心回答各人
[00:00:35.860 --> 00:00:38.540]  然而主的僕人不可憎敬
[00:00:38.540 --> 00:00:40.860]  只要溫溫和和的待眾人
[00:00:40.860 --> 00:00:43.900]  善於教導 全心忍耐
[00:00:43.900 --> 00:00:47.060]  用溫柔勸戒了抵擋的人
[00:00:47.060 --> 00:00:51.940]  或者神給他們悔改的心 可以明白真道
[00:00:51.940 --> 00:00:54.660]  好 正如上次提過
[00:00:54.660 --> 00:00:58.300]  大家那張大表都隨身的
[00:00:58.300 --> 00:01:03.100]  大家不要以為那張大表是你的臂本
[00:01:03.100 --> 00:01:06.300]  是我的眼睛突壞 所以要放置
[00:01:06.300 --> 00:01:08.780]  所以如果一張A4的照片就行了
[00:01:08.780 --> 00:01:11.380]  就證明你很青春 起碼眼睛好
[00:01:11.380 --> 00:01:17.380]  好 我們看道家和道教那兩個難題
[00:01:17.380 --> 00:01:20.780]  在最後 為什麼不說佛呢?
[00:01:20.780 --> 00:01:22.780]  佛法無邊 要說的實在多
[00:01:22.780 --> 00:01:24.780]  它名相很複雜
[00:01:24.780 --> 00:01:26.780]  我的能力更加淺薄
[00:01:26.780 --> 00:01:29.780]  大家共同了解一些東西
[00:01:29.780 --> 00:01:31.780]  一些皮毛 作進一步的
