
[00:00:00.000 --> 00:00:05.600]  各位電影專門的各位朋友 你們好
[00:00:05.600 --> 00:00:07.760]  歡迎大家參觀我們三藩市報道會
[00:00:07.760 --> 00:00:09.760]  網上的五堂崇拜
[00:00:09.760 --> 00:00:12.800]  我們今天繼續思想希伯來書的信息
[00:00:12.800 --> 00:00:15.300]  我們去到希伯來書第十二章
[00:00:15.300 --> 00:00:18.000]  十四節至十七節
[00:00:18.000 --> 00:00:21.000]  題目叫做「你們要聖潔」
[00:00:21.000 --> 00:00:23.200]  未開始思想這段聖經之前
[00:00:23.200 --> 00:00:25.880]  請勿再一次同心低頭或同禱告
[00:00:25.880 --> 00:00:28.500]  慈悲人的天賦我們滿心感謝你
[00:00:28.500 --> 00:00:30.500]  因為你是聖潔的神
[00:00:30.500 --> 00:00:32.500]  你也吩咐我們要聖潔
[00:00:32.500 --> 00:00:34.500]  但我們在你面前
[00:00:34.500 --> 00:00:37.500]  真是懇求你寬恕我們
[00:00:37.500 --> 00:00:42.500]  很多時候我們心底裏面有很多邪惡
[00:00:42.500 --> 00:00:47.000]  我們在日常生活裏面很多時候得罪你
[00:00:47.000 --> 00:00:50.500]  求你憐憫 教導我們
[00:00:50.500 --> 00:00:53.500]  怎樣過一個聖潔的生活
[00:00:53.500 --> 00:00:56.500]  求你真是幫助與我們同在
[00:00:56.500 --> 00:00:58.500]  藉著你的話語提醒
[00:00:58.500 --> 00:01:03.000]  怨勉 教導 安慰 督責 改變我們
[00:01:03.000 --> 00:01:04.500]  我們這樣禱告
[00:01:04.500 --> 00:01:07.500]  那是奉耶穌基督的命求 阿們
[00:01:07.500 --> 00:01:10.500]  很多年前
[00:01:10.500 --> 00:01:13.000]  我要去芝加哥開會
[00:01:13.000 --> 00:01:15.500]  在那裏到宿一晚
[00:01:15.500 --> 00:01:18.500]  然後再飛去多倫多開另一個會
[00:01:18.500 --> 00:01:20.500]  開完會之後
[00:01:20.500 --> 00:01:22.000]  吃完晚飯
[00:01:22.000 --> 00:01:24.000]  自己人就回到旅館
[00:01:24.000 --> 00:01:26.500]  那時看了一會兒 已經九點多了
[00:01:26.500 --> 00:01:29.000]  經過一天來的周車勞頓
[00:01:29.000 --> 00:01:30.500]  洗個正涼
[00:01:30.500 --> 00:01:32.500]  打算可以休息休息
[00:01:32.500 --> 00:01:35.000]  看了一會兒 已經九點多了
[00:01:35.000 --> 00:01:40.000]  事實上三飯吃時間只是七點半
[00:01:40.000 --> 00:01:42.000]  睡覺太早
[00:01:42.000 --> 00:01:44.000]  房裏又沒有人
[00:01:44.000 --> 00:01:46.500]  只有鋪床 有電視
