
[00:00:00.000 --> 00:00:05.000]  早晨,各位感恩節快樂
[00:00:05.000 --> 00:00:08.000]  請我們再一次同心,我們一同祈禱
[00:00:08.000 --> 00:00:13.000]  天父我們感謝你,讓我們有機會一同敬拜你
[00:00:13.000 --> 00:00:17.000]  近在感恩節的時候,數算你自己的恩典
[00:00:17.000 --> 00:00:20.000]  求主幫助我們上傳感謝的心
[00:00:20.000 --> 00:00:23.000]  奉耶穌基督名求,阿們
[00:00:23.000 --> 00:00:33.000]  今天很感謝神,我們有師班,這麼漂亮的師班制服
[00:00:33.000 --> 00:00:38.000]  不知道是不是制服,答案不是,他們不是侍應
[00:00:38.000 --> 00:00:44.000]  和我們一同去感謝神,唱詩,真的很感謝神
[00:00:44.000 --> 00:00:48.000]  說回音樂,在十九世紀的時候
[00:00:48.000 --> 00:00:54.000]  意大利有一個很出名的小提琴演奏家,叫Niccolo Paganini
[00:00:54.000 --> 00:00:59.000]  有一次他開音樂大會,人山人海
[00:00:59.000 --> 00:01:06.000]  他在劇院裡演奏名曲,整個樂隊後面伴奏
[00:01:06.000 --> 00:01:10.000]  當他醉精換神,表現出神入化的時候
[00:01:10.000 --> 00:01:15.000]  突然間,小提琴裡的一種弦線斷了
[00:01:15.000 --> 00:01:20.000]  看到Paganini滿頭大汗,眉頭皺一皺
[00:01:20.000 --> 00:01:24.000]  但他仍然繼續演奏下去,絲毫不信息
[00:01:24.000 --> 00:01:31.000]  皺著的時候,突然間第二條弦線又斷了
[00:01:31.000 --> 00:01:37.000]  沒多久,第三條弦線又斷了,只剩下一條
[00:01:37.000 --> 00:01:40.000]  觀眾緊張起來
[00:01:40.000 --> 00:01:45.000]  但Paganini面不改容,完成了歌手的樂曲
[00:01:45.000 --> 00:01:49.000]  精彩絕倫,當時全場站起來歡呼
[00:01:49.000 --> 00:01:52.000]  Bravo,Bravo,很厲害
[00:01:52.000 --> 00:01:56.000]  Paganini拿著只有一條弦線的小提琴
[00:01:56.000 --> 00:02:02.000]  然後大聲的說,Paganini一弦琴
[00:02:02.000 --> 00:02:05.000]  你想不想有Encore?
[00:02:05.000 --> 00:02:09.000]  然後,每個觀眾說,Paganini一弦琴,Paganini一弦琴
[00:02:09.000 --> 00:02:12.000]  然後他繼續用一條弦的小提琴
[00:02:12.000 --> 00:02:18.000]  繼續演奏,出神入化,引起全場的歡呼
[00:02:18.000 --> 00:02:23.000]  在音樂史裡,這個就是Paganini一弦琴
[00:02:23.000 --> 00:02:26.000]  如果我想對我們很多人
[00:02:26.000 --> 00:02:29.000]  斷了一條,玩完了,散當
[00:02:29.000 --> 00:02:34.000]  但Paganini不會,第二條,第三條,只剩下一條
[00:02:34.000 --> 00:02:36.000]  他仍然堅守下去
[00:02:36.000 --> 00:02:39.000]  我喝到另外一個人,Victor Franco
[00:02:39.000 --> 00:02:42.000]  他是一個猶太裔的醫生,一個精神科的醫生
[00:02:42.000 --> 00:02:44.000]  在第二次世界大戰的時候
[00:02:44.000 --> 00:02:48.000]  被抓去德國的集中營,納粹的集中營
[00:02:48.000 --> 00:02:51.000]  所受的苦,慘不忍睹
[00:02:51.000 --> 00:02:54.000]  德軍破壞了他的家園,奪去了他的自由
[00:02:54.000 --> 00:02:57.000]  殺了他的家人,剝奪了他所有
[00:02:57.000 --> 00:03:00.000]  甚至連他的衣服,結婚戒指都要剝走
[00:03:00.000 --> 00:03:02.000]  頭髮都要剃光
[00:03:02.000 --> 00:03:04.000]  尊嚴,沒有了
[00:03:04.000 --> 00:03:06.000]  保障,沒有了
[00:03:06.000 --> 00:03:07.000]  家人,沒有了
[00:03:07.000 --> 00:03:09.000]  太太,沒有了,父母,沒有了
[00:03:09.000 --> 00:03:13.000]  在他直至憤怒痛苦的時候
[00:03:13.000 --> 00:03:15.000]  他突然間有個意味
[00:03:15.000 --> 00:03:17.000]  這個意念是什麼呢
[00:03:17.000 --> 00:03:19.000]  德國人可以拿走我一切
[00:03:19.000 --> 00:03:21.000]  剝奪我一切
[00:03:21.000 --> 00:03:25.000]  但有一樣最寶貴的東西,他永遠拿不到的
[00:03:25.000 --> 00:03:28.000]  他拿不到我的什麼?
[00:03:28.000 --> 00:03:30.000]  他拿不到我的心
[00:03:32.000 --> 00:03:34.000]  他們沒有辦法可以拿走
[00:03:34.000 --> 00:03:37.000]  他拿不到我一個選擇的權利
[00:03:37.000 --> 00:03:45.000]  我可以選擇憤怒,苦澀,憎恨,自卑,自憐
[00:03:45.000 --> 00:03:50.000]  但我也可以選擇寬恕,盼望,忍耐
[00:03:50.000 --> 00:03:55.000]  就是因為他這個想法,改變了他的一生
[00:03:55.000 --> 00:03:59.000]  就好像Nicolo Baccalini一樣
[00:03:59.000 --> 00:04:01.000]  他沒有選擇放棄
[00:04:01.000 --> 00:04:03.000]  他沒有選擇憤怒
[00:04:03.000 --> 00:04:05.000]  他沒有選擇埋怨
[00:04:05.000 --> 00:04:08.000]  他繼續生存下去
[00:04:08.000 --> 00:04:16.000]  當他完結第二次世界大戰結束的時候
[00:04:16.000 --> 00:04:19.000]  他有機會離開集中營
[00:04:19.000 --> 00:04:22.000]  成為一個很有名的精神科醫生
[00:04:22.000 --> 00:04:25.000]  他建立了一個Logotherapy
[00:04:25.000 --> 00:04:28.000]  因為每一樣東西都有它的意義
[00:04:28.000 --> 00:04:30.000]  永遠不會放棄
[00:04:30.000 --> 00:04:34.000]  是幫助了千千萬萬的人
[00:04:34.000 --> 00:04:36.000]  我可以這樣說
[00:04:36.000 --> 00:04:39.000]  一個人快樂不快樂
[00:04:39.000 --> 00:04:41.000]  一個人開心不開心
[00:04:41.000 --> 00:04:44.000]  不是在乎你擁有什麼
[00:04:44.000 --> 00:04:47.000]  不是在乎你吃什麼
[00:04:47.000 --> 00:04:50.000]  不是在乎你賺什麼
[00:04:50.000 --> 00:04:52.000]  而是在乎你的心態
[00:04:52.000 --> 00:04:57.000]  我喜歡講故事給我孫子聽
[00:04:57.000 --> 00:05:00.000]  你們不是我的孫子
[00:05:00.000 --> 00:05:02.000]  但我相信這個故事
[00:05:02.000 --> 00:05:05.000]  大人細蚊仔都值得去想
[00:05:05.000 --> 00:05:09.000]  那時候中國有一個有錢人
[00:05:09.000 --> 00:05:11.000]  他很喜歡吃鴨
[00:05:11.000 --> 00:05:13.000]  什麼鴨都適合
