
[00:00:00.000 --> 00:00:04.520]  好 我多謝大家
[00:00:04.520 --> 00:00:06.980]  我想今天你們來都有個期望的
[00:00:06.980 --> 00:00:11.100]  就是我們香港人很想可以再坐在一起
[00:00:11.100 --> 00:00:17.180]  每個人都覺得自己在家裡好像自閉症那樣
[00:00:17.180 --> 00:00:22.480]  昨天都 我最近經常去醫院和護士
[00:00:22.480 --> 00:00:24.800]  最近去過保險公司
[00:00:24.800 --> 00:00:29.360]  最近回雞街那個 都算是福音聚會
[00:00:29.360 --> 00:00:34.320]  因為有Zoom 我都聽說有800多人看
[00:00:34.320 --> 00:00:37.920]  但是全部都是給微信的人看的
[00:00:37.920 --> 00:00:40.320]  那也有800多人在回雞街
[00:00:40.320 --> 00:00:42.760]  我猜很多人都開始在留意
[00:00:42.760 --> 00:00:45.840]  究竟現在的時代還有什麼希望呢?
[00:00:45.840 --> 00:00:50.160]  昨天晚上如果你聽一個電台節目
[00:00:50.160 --> 00:00:52.480]  比較晚的那個節目很多人聽
[00:00:52.480 --> 00:00:55.980]  他突然間講到索多瑪、荷摩拉
[00:00:55.980 --> 00:00:58.920]  這個從天降下來的懲罰
[00:00:58.920 --> 00:01:01.320]  但是講那個很出名的人
[00:01:01.320 --> 00:01:04.000]  他自己都 我相信他不是基督徒
[00:01:04.000 --> 00:01:08.400]  他都相信這個世界面對的懲罰
[00:01:08.400 --> 00:01:11.320]  很多人都去解釋很多事情
[00:01:11.320 --> 00:01:13.260]  所以我今天早上都想講一下
[00:01:13.260 --> 00:01:15.260]  心煩意亂的解藥
[00:01:15.260 --> 00:01:18.240]  經文《路加福音》4章40講的就是
[00:01:18.240 --> 00:01:21.600]  在差不多黃昏的時候
[00:01:21.600 --> 00:01:23.880]  就是那時候在日落
[00:01:23.880 --> 00:01:27.920]  所有病的人都來見耶穌
[00:01:27.920 --> 00:01:29.240]  看起來就不奇怪的
[00:01:29.240 --> 00:01:31.480]  如果你是一些很旺的診所
[00:01:31.480 --> 00:01:34.200]  很出名的名醫都是差不多這樣
[00:01:34.200 --> 00:01:36.480]  什麼病都找他 也都換了人
[00:01:36.480 --> 00:01:38.280]  不過有興趣的就是
[00:01:38.280 --> 00:01:40.080]  一句話就是
[00:01:40.080 --> 00:01:45.280]  耶穌就給他們每一個人按手
[00:01:45.280 --> 00:01:47.520]  然後醫好他
[00:01:47.520 --> 00:01:51.240]  如果你不相信耶穌
[00:01:51.240 --> 00:01:53.360]  你就馬上去問
[00:01:53.360 --> 00:01:56.120]  這個醫生如果這麼厲害
[00:01:56.120 --> 00:01:58.160]  為什麼要每一個人去醫
[00:01:58.160 --> 00:02:02.000]  在街口發功都可以
[00:02:02.000 --> 00:02:05.760]  早上一看四樓的窗口
[00:02:05.760 --> 00:02:08.640]  我的頭馬上好起來
[00:02:08.640 --> 00:02:11.840]  那耶穌可以一天醫一億人就行了
[00:02:11.840 --> 00:02:14.760]  為什麼要每一個人用手去按
[00:02:14.760 --> 00:02:16.480]  其實這樣很累的
[00:02:16.480 --> 00:02:18.160]  你剛才不握手
