
[00:00:00.000 --> 00:00:02.000]  字幕:Sky Vision Media
[00:00:02.000 --> 00:00:12.000]  (音樂)
[00:00:12.000 --> 00:00:17.000]  末世風雲 加拿大遠東廣播製作
[00:00:17.000 --> 00:00:30.000]  (音樂)
[00:00:30.000 --> 00:00:33.000]  親愛的弟兄 親愛的姐妹 你好
[00:00:33.000 --> 00:00:37.000]  我們今天會講一套末世風雲的第八課
[00:00:37.000 --> 00:00:40.000]  上一次我們講第七課的時候
[00:00:40.000 --> 00:00:43.000]  我不知道你對於我們特別提出來的
[00:00:43.000 --> 00:00:47.000]  就是地球被毀滅的火這件事
[00:00:47.000 --> 00:00:49.000]  還記得有多少
[00:00:49.000 --> 00:00:54.000]  我希望你能夠或多或少都能夠有一個溫習的機會
[00:00:54.000 --> 00:00:59.000]  我們很相信今天地球被毀滅的火已經是預備好了
[00:00:59.000 --> 00:01:01.000]  既然是預備好了的時候
[00:01:01.000 --> 00:01:03.000]  那麼這個地球會遭遇什麼事呢
[00:01:03.000 --> 00:01:08.000]  我想這件事是值得我們重新來思想
[00:01:08.000 --> 00:01:13.000]  既然這個地球將來有一天會被完全的消毀的時候
[00:01:13.000 --> 00:01:19.000]  那麼我們今天的生命和我們今天靠著主耶穌的那個屬靈的生活
[00:01:19.000 --> 00:01:21.000]  應該是怎麼過呢
[00:01:21.000 --> 00:01:24.000]  我相信一定有一個完全新的態度
[00:01:24.000 --> 00:01:27.000]  願神大大的祝福你和幫助你
[00:01:27.000 --> 00:01:30.000]  今天我們講到第八課了
[00:01:30.000 --> 00:01:32.000]  這個第八課呢
[00:01:32.000 --> 00:01:35.000]  我有一個特別的題目叫做死海古卷
[00:01:35.000 --> 00:01:42.000]  因為這個信息是真真正正是從死海旁邊的山洞裡面出來的
[00:01:42.000 --> 00:01:48.000]  所以這些古卷我們都稱它為死海的古卷
[00:01:48.000 --> 00:01:53.000]  那麼今天所要用的經文就是以賽亞書第53章
[00:01:53.000 --> 00:02:00.000]  那麼很希望53章這一章的經文能夠給你一個很深刻的印象和幫助
[00:02:00.000 --> 00:02:02.000]  那麼請你預備好你的聖經
[00:02:02.000 --> 00:02:07.000]  我們大家一起在主耶穌基督他自己特別的帶領下
[00:02:07.000 --> 00:02:09.000]  我們今天好好的來使用它
[00:02:09.000 --> 00:02:12.000]  在1947年
[00:02:12.000 --> 00:02:18.000]  即是說第二次世界大戰之後沒多久那個特別的年份
[00:02:18.000 --> 00:02:27.000]  我們知道1945年就是日本人向中國和美國等等的國家無條件投降的時候
[00:02:27.000 --> 00:02:31.000]  那麼就正式結束了第二次世界大戰
[00:02:31.000 --> 00:02:33.000]  1945年的8月
[00:02:33.000 --> 00:02:39.000]  那麼世界真的受這個戰爭的影響很大
[00:02:39.000 --> 00:02:41.000]  死了很多很多的人
[00:02:41.000 --> 00:02:44.000]  特別是我們中國真的很淒涼
[00:02:44.000 --> 00:02:52.000]  然後到了1946年我們知道猶太人的那個石安運動
[00:02:52.000 --> 00:02:56.000]  即是那個復國運動是如火如荼來舉行
[00:02:56.000 --> 00:03:05.000]  那麼這個地球上面就開始在中東的地方開始燃起了另外的一個衝突的焦點
[00:03:05.000 --> 00:03:12.000]  因為猶太人是必須要回到他們那個流奶與蜜的那個艱難地
[00:03:12.000 --> 00:03:18.000]  而當地的回教徒和那些阿拉伯人當然是極力的反對
[00:03:18.000 --> 00:03:23.000]  然後到了1947年就發生了一件很特別的事
[00:03:23.000 --> 00:03:25.000]  一件很特別的事是什麼呢
