
[00:00:00.000 --> 00:00:06.560]  在世界上我想沒有一個是完全人
[00:00:06.560 --> 00:00:14.480]  我們每一個都是有軟弱有瑕疵的人
[00:00:14.480 --> 00:00:20.080]  甚至屬靈人聖人在內
[00:00:20.080 --> 00:00:23.200]  他們都有他們的盲點
[00:00:23.200 --> 00:00:25.200]  都有他們的缺失
[00:00:25.200 --> 00:00:27.200]  也都有他們生命的破口
[00:00:27.200 --> 00:00:31.680]  我們經常聽人說破口
[00:00:31.680 --> 00:00:33.680]  大家知道什麼叫破口嗎?
[00:00:33.680 --> 00:00:38.400]  破口就是一些生命的漏洞
[00:00:38.400 --> 00:00:42.720]  就是我們被魔鬼有機所成
[00:00:42.720 --> 00:00:46.400]  然後在我們的生命裏面搞破壞
[00:00:46.400 --> 00:00:53.600]  讓我們神的恩典和力量慢慢不知不覺的流失
[00:00:53.600 --> 00:00:58.560]  即是說神的喜悅已經不在我們身上
[00:00:58.560 --> 00:01:00.560]  就是因為這個破口
[00:01:00.560 --> 00:01:05.760]  將我們的力量、恩典、神的喜悅都流走了
[00:01:05.760 --> 00:01:11.840]  破口對於亞當、夏娃他們的破口
[00:01:11.840 --> 00:01:14.320]  就是他們要從一己的私慾
[00:01:14.320 --> 00:01:17.920]  要試一下那個禁果是什麼
[00:01:17.920 --> 00:01:20.640]  阿伯拉罕他的破口是什麼呢?
[00:01:20.640 --> 00:01:25.760]  他兩次說自己的太太就是自己的妹子
[00:01:25.760 --> 00:01:27.760]  他的破口是什麼呢?
[00:01:27.760 --> 00:01:28.960]  是恐懼
[00:01:28.960 --> 00:01:33.680]  他怕自己的生命因此而沒辦法得到保障
[00:01:33.680 --> 00:01:37.600]  為了保命的緣故來犧牲自己的太太
[00:01:37.600 --> 00:01:44.480]  我覺得這個真的不像男人
[00:01:44.480 --> 00:01:46.800]  羅德的妻子的破口是什麼呢?
[00:01:46.800 --> 00:01:49.440]  就是貪念、回頭一看
[00:01:49.440 --> 00:01:51.040]  大衛的破口是什麼呢?
[00:01:51.040 --> 00:01:52.320]  就是女色
[00:01:52.320 --> 00:01:54.320]  他自己的情慾失禁
[00:01:54.320 --> 00:01:57.600]  所以以致他失誤
[00:01:57.600 --> 00:02:01.040]  其實我們每一個人生命都有破口
[00:02:01.040 --> 00:02:05.680]  剛才我們說的私慾、恐懼、貪念、女色
[00:02:05.680 --> 00:02:07.200]  除了這些之外
