
[00:00:00.000 --> 00:00:04.780]  多謝Sam叔 各位早晨
[00:00:04.780 --> 00:00:08.060]  可能去年應該是8月第一個星期
[00:00:08.060 --> 00:00:11.720]  見到你們 我前天從歐洲回來
[00:00:11.720 --> 00:00:15.060]  其實是一個很好的經驗給我
[00:00:15.060 --> 00:00:17.740]  第一次在歐洲做餐服
[00:00:17.740 --> 00:00:22.480]  就是餐飲業的服務營和退休營
[00:00:22.480 --> 00:00:25.780]  也有機會去過六個國家
[00:00:25.780 --> 00:00:29.260]  給我感覺到我們很幸福的香港
[00:00:29.260 --> 00:00:32.460]  很幸福 特別今天在這個教會
[00:00:32.460 --> 00:00:35.240]  你看到 你去過家裡
[00:00:35.240 --> 00:00:38.900]  就算你現在在家裡 我想你也不可以住一輩子
[00:00:38.900 --> 00:00:41.840]  因為你們的人要分散的
[00:00:41.840 --> 00:00:43.840]  結了婚的就走了
[00:00:43.840 --> 00:00:47.880]  甚至你的孫子也未必和你的兒子住
[00:00:47.880 --> 00:00:50.880]  家裡是越住越少人的
[00:00:50.880 --> 00:00:53.080]  當然有些人過了生
[00:00:53.080 --> 00:00:55.980]  教會也不是越住越多人
[00:00:55.980 --> 00:00:58.960]  還有不用走的
[00:00:58.960 --> 00:01:03.960]  你多老 還有那些多老的人和你坐在一起
[00:01:03.960 --> 00:01:05.960]  這個很不同的感覺
[00:01:05.960 --> 00:01:07.620]  有時候你會明白到
[00:01:07.620 --> 00:01:10.160]  其實人的生命最需要什麼呢?
[00:01:10.160 --> 00:01:11.740]  肯定不是吃
[00:01:11.740 --> 00:01:14.540]  因為年紀大了真的吃不了多少
[00:01:14.540 --> 00:01:16.540]  也不是睡覺
[00:01:16.540 --> 00:01:19.180]  因為年紀大了也不睡那麼多
[00:01:19.180 --> 00:01:20.880]  最重要是什麼呢?
[00:01:20.880 --> 00:01:24.920]  就是有愛你的一群在旁邊的人
[00:01:24.920 --> 00:01:27.180]  如果不是很危險
[00:01:27.180 --> 00:01:30.360]  比如我在瑞士看到 瑞士真的很有錢
[00:01:30.360 --> 00:01:31.460]  我昨天說過
[00:01:31.460 --> 00:01:37.180]  吃過麥當勞餐都起碼200多300塊港幣
[00:01:37.180 --> 00:01:42.640]  差不多我們吃一餐等於在香港吃一個月
[00:01:42.640 --> 00:01:45.800]  所以每一次都說省下一個月
[00:01:45.800 --> 00:01:49.980]  但是不是好事來的
[00:01:49.980 --> 00:01:56.360]  一件事是免費的 就是當你打毒針的時候
[00:01:56.360 --> 00:01:58.660]  當你白粉印起的時候
[00:01:58.660 --> 00:02:02.820]  那些針是免費的
[00:02:02.820 --> 00:02:06.660]  還有公開給你的
[00:02:06.660 --> 00:02:10.660]  因為它怕你用了別人的針
[00:02:10.660 --> 00:02:14.200]  就是說這個需求很大
[00:02:14.200 --> 00:02:16.200]  這麼有錢的地方
[00:02:16.200 --> 00:02:22.080]  但是人們反過來說是濫用自由的
[00:02:22.080 --> 00:02:24.440]  所以很危險的地方
[00:02:24.440 --> 00:02:28.740]  當你去到勞心堡的地方 那些東西很漂亮
[00:02:28.740 --> 00:02:31.520]  但是人們不是很開心的
[00:02:31.520 --> 00:02:34.240]  你不斷想一下為什麼這麼奇怪
[00:02:34.240 --> 00:02:37.660]  我就是很想有一天去那裡住
[00:02:37.660 --> 00:02:39.520]  怎知道不是
[00:02:39.520 --> 00:02:41.620]  今天我們選了聖經
[00:02:41.620 --> 00:02:44.240]  有一件事你會猜錯了
[00:02:44.240 --> 00:02:46.500]  就是講責備
[00:02:46.500 --> 00:02:48.900]  有些人說你整天罵我
[00:02:48.900 --> 00:02:51.400]  你真的很恨我
