
[00:00:00.000 --> 00:00:05.760]  各位弟兄姊妹平安!感謝神!
[00:00:05.760 --> 00:00:10.120]  我們有機會在神的家中一起敬拜祂
[00:00:10.120 --> 00:00:15.440]  我特別歡迎今天能夠和大家實體一起敬拜
[00:00:15.440 --> 00:00:19.920]  我記得去年來到的時候疫情還沒過去
[00:00:19.920 --> 00:00:23.680]  所以當時在禮堂直播
[00:00:23.680 --> 00:00:26.480]  弟兄姊妹的家中網上崇拜
[00:00:26.480 --> 00:00:28.560]  所以見不到弟兄姊妹的容貌
[00:00:28.560 --> 00:00:33.040]  但剛才聽到弟兄姊妹的唱頌分享
[00:00:33.040 --> 00:00:37.840]  也帶動我的心靈更加投入去敬拜
[00:00:37.840 --> 00:00:43.200]  感謝上帝每一次能夠有健康有生命可以敬拜上帝
[00:00:43.200 --> 00:00:45.200]  都是神的恩典
[00:00:45.200 --> 00:00:47.760]  我們都在其中感謝上帝
[00:00:47.760 --> 00:00:50.400]  我們大家一起思想正義支持
[00:00:50.400 --> 00:00:52.720]  我請大家再一起和我有個祈禱
[00:00:52.720 --> 00:00:56.080]  主要我們真的知道
[00:00:56.080 --> 00:00:58.800]  我們一切所能夠做的
[00:00:58.800 --> 00:01:00.560]  都出於禰的恩
[00:01:00.560 --> 00:01:03.360]  我們的生命氣息
[00:01:03.360 --> 00:01:05.440]  能夠說一句話
[00:01:05.440 --> 00:01:07.280]  能夠呼一口氣
[00:01:07.280 --> 00:01:09.520]  都是出於禰的保守
[00:01:09.520 --> 00:01:12.160]  如今我們到禰的面前
[00:01:12.160 --> 00:01:14.320]  感謝禰賜我們生命
[00:01:14.320 --> 00:01:16.560]  不僅是今天的生命
[00:01:16.560 --> 00:01:19.760]  禰更加將永恆的生命賜給我們
[00:01:19.760 --> 00:01:25.200]  將將來極重永遠的榮耀賜給我們
[00:01:25.200 --> 00:01:29.360]  主要我們只能夠帶著感謝的心到禰面前
[00:01:29.360 --> 00:01:30.320]  領神
[00:01:30.320 --> 00:01:32.240]  知道一切出於禰
[00:01:32.240 --> 00:01:33.680]  我們感謝禰
[00:01:33.680 --> 00:01:36.240]  主要我們今天一切敬拜
