
[00:00:00.000 --> 00:00:02.000]  今天大家看這個題目
[00:00:02.000 --> 00:00:04.000]  不知道大家會不會覺得
[00:00:04.000 --> 00:00:06.500]  為甚麼會說這個題目呢?
[00:00:06.500 --> 00:00:10.000]  所以很盡責負責崇拜的弟兄
[00:00:10.000 --> 00:00:12.000]  都問了我一至兩次
[00:00:12.000 --> 00:00:14.000]  「真是這個題目?」
[00:00:14.000 --> 00:00:16.500]  接著另外負責程序表的姐妹又問
[00:00:16.500 --> 00:00:18.500]  「真是這個題目?」
[00:00:18.500 --> 00:00:21.500]  「甚麼叫做臨別的叮嚀呢?」
[00:00:21.500 --> 00:00:24.000]  其實幾個月前我已經決定
[00:00:24.000 --> 00:00:26.000]  要用這個題目和經文
[00:00:26.000 --> 00:00:28.000]  但年青的朋友
[00:00:28.000 --> 00:00:31.000]  可能不知道甚麼是「叮嚀」
[00:00:31.000 --> 00:00:33.000]  「叮嚀」是甚麼意思呢?
[00:00:33.000 --> 00:00:35.000]  甚麼「啷啷」呢?
[00:00:35.000 --> 00:00:37.000]  原來「叮嚀」可以理解為
[00:00:37.000 --> 00:00:40.000]  交代一些事、提醒一些事
[00:00:40.000 --> 00:00:43.000]  簡單來說就是臨別、贈言
[00:00:43.000 --> 00:00:45.000]  解釋完「叮嚀」之後
[00:00:45.000 --> 00:00:47.000]  可能大家都覺得奇怪
[00:00:47.000 --> 00:00:49.000]  呂傳道你是否想退休呢?
[00:00:49.000 --> 00:00:50.000]  這麼快?
[00:00:50.000 --> 00:00:52.000]  今天才一年,是嗎?
[00:00:52.000 --> 00:00:54.000]  這麼快想退休?
[00:00:54.000 --> 00:00:56.000]  因為這個題目通常都是
[00:00:56.000 --> 00:00:58.000]  在我退休的時候說的
[00:00:58.000 --> 00:01:00.000]  我自己的舞會的舞者梁永善
[00:01:00.000 --> 00:01:02.000]  上年10月退休的時候
[00:01:02.000 --> 00:01:04.000]  就是說這個題目
[00:01:04.000 --> 00:01:06.000]  其實今天這篇題目
[00:01:06.000 --> 00:01:08.000]  我是打算在上星期說的
[00:01:08.000 --> 00:01:10.000]  7月2日
[00:01:10.000 --> 00:01:12.000]  因為上星期就是我在這裡
[00:01:12.000 --> 00:01:15.000]  順利過渡了一周年
[00:01:15.000 --> 00:01:17.000]  在市名浸信會
[00:01:17.000 --> 00:01:19.000]  所以今天有弟兄姊妹說
[00:01:19.000 --> 00:01:21.000]  「你暫時合格了」
[00:01:21.000 --> 00:01:23.000]  「你還有很遠的進步空間」
[00:01:23.000 --> 00:01:25.000]  我說「知道,知道,知道」
[00:01:25.000 --> 00:01:27.000]  我打算在一周年的時候說
[00:01:27.000 --> 00:01:30.000]  其實因為有兩篇講道
[00:01:30.000 --> 00:01:32.000]  影響了我的一生
[00:01:32.000 --> 00:01:34.000]  有兩篇講道
[00:01:34.000 --> 00:01:37.000]  影響了我要決定全職侍奉
[00:01:37.000 --> 00:01:40.000]  特別來到溫哥華侍奉
[00:01:40.000 --> 00:01:42.000]  其中一篇就是之前在
[00:01:42.000 --> 00:01:44.000]  十個人生的祈求
[00:01:44.000 --> 00:01:45.000]  如果大家還記得
[00:01:45.000 --> 00:01:47.000]  有一篇叫「擴張境界」
[00:01:47.000 --> 00:01:50.000]  那裡其中一篇影響了我全職侍奉
[00:01:50.000 --> 00:01:51.000]  另一篇就是今天
[00:01:51.000 --> 00:01:53.000]  保羅所說的這一篇
[00:01:53.000 --> 00:01:56.000]  因為當2013年12月的時候
[00:01:56.000 --> 00:01:58.000]  2013年12月
[00:01:58.000 --> 00:02:00.000]  那次是我第二次踏足溫哥華
[00:02:00.000 --> 00:02:03.000]  那次其實是應某一個機構的邀請
[00:02:03.000 --> 00:02:05.000]  因為他們想邀請我
[00:02:05.000 --> 00:02:07.000]  來溫哥華做全職侍奉
[00:02:07.000 --> 00:02:09.000]  就決定究竟
[00:02:09.000 --> 00:02:11.000]  我們一家人是不是來溫哥華
[00:02:11.000 --> 00:02:13.000]  因為那次是來面試的
[00:02:13.000 --> 00:02:16.000]  其中一個星期六晚
[00:02:16.000 --> 00:02:17.000]  星期六晚
[00:02:17.000 --> 00:02:19.000]  第二天要崇拜
[00:02:19.000 --> 00:02:21.000]  我就很緊張
[00:02:21.000 --> 00:02:23.000]  因為究竟我是不是真的要
[00:02:23.000 --> 00:02:25.000]  放下香港所有的東西
[00:02:25.000 --> 00:02:27.000]  然後來溫哥華呢?
[00:02:27.000 --> 00:02:30.000]  那我就和上帝做了這個祈禱
[00:02:30.000 --> 00:02:32.000]  在臨睡前
[00:02:32.000 --> 00:02:34.000]  我就說:親愛的天父
[00:02:34.000 --> 00:02:36.000]  我現在真的很緊張
[00:02:36.000 --> 00:02:39.000]  因為剛剛的面試很順利
[00:02:39.000 --> 00:02:42.000]  好像所有事情都開綠燈
[00:02:42.000 --> 00:02:44.000]  我真的很害怕
[00:02:44.000 --> 00:02:46.000]  我很害怕真的要離開香港
[00:02:46.000 --> 00:02:48.000]  真的要來到溫哥華
[00:02:48.000 --> 00:02:51.000]  我真的很想上帝給我更多的引證
[00:02:51.000 --> 00:02:54.000]  究竟是不是真的想我來
[00:02:54.000 --> 00:02:56.000]  溫哥華全職侍奉
[00:02:56.000 --> 00:02:58.000]  我就下了一個祈求
[00:02:58.000 --> 00:03:02.000]  我求上帝給明天的那篇道
[00:03:02.000 --> 00:03:04.000]  那位牧師對我有提醒
[00:03:04.000 --> 00:03:07.000]  希望明天的那篇道就是為我而說的
[00:03:07.000 --> 00:03:08.000]  提醒我
[00:03:08.000 --> 00:03:09.000]  給我引證
