
[00:00:00.000 --> 00:00:03.760]  各位兄弟姐妹
[00:00:03.760 --> 00:00:07.520]  現在是一些填充題
[00:00:07.520 --> 00:00:10.640]  最近這段時間你聽得最多的是什麼呢
[00:00:10.640 --> 00:00:13.920]  萬事填充
[00:00:13.920 --> 00:00:17.280]  誠意如意
[00:00:17.280 --> 00:00:21.520]  心想事成
[00:00:21.520 --> 00:00:23.280]  有沒有聽過
[00:00:23.280 --> 00:00:24.640]  有聽過的舉手
[00:00:24.640 --> 00:00:25.920]  OK
[00:00:25.920 --> 00:00:27.840]  橫財
[00:00:27.840 --> 00:00:29.840]  有聽過的舉手
[00:00:29.840 --> 00:00:30.880]  橫財就手
[00:00:30.880 --> 00:00:32.160]  出入
[00:00:32.160 --> 00:00:34.400]  有聽過的舉手
[00:00:34.400 --> 00:00:36.800]  添乜發乜
[00:00:36.800 --> 00:00:39.680]  添丁發財
[00:00:39.680 --> 00:00:40.880]  有聽過的舉手
[00:00:40.880 --> 00:00:42.960]  我們的特區政府
[00:00:42.960 --> 00:00:46.160]  繁榮穩定
[00:00:46.160 --> 00:00:47.360]  有聽過的舉手
[00:00:47.360 --> 00:00:49.760]  然後我們的國家
[00:00:49.760 --> 00:00:54.080]  國乜民乜
[00:00:54.080 --> 00:00:58.000]  國泰
[00:00:58.000 --> 00:00:58.880]  然後怎樣
[00:00:58.880 --> 00:01:01.120]  做不做都是一回事
[00:01:01.120 --> 00:01:03.040]  個個都想是這樣
[00:01:03.040 --> 00:01:05.280]  特別是最近街頭事件
[00:01:05.280 --> 00:01:07.200]  人人都想這樣
[00:01:07.200 --> 00:01:08.960]  科娛
[00:01:08.960 --> 00:01:10.960]  做生意的
[00:01:10.960 --> 00:01:12.320]  人人都會恭祝你
[00:01:12.320 --> 00:01:13.920]  科娛輪轉
[00:01:13.920 --> 00:01:15.840]  出入
[00:01:15.840 --> 00:01:18.160]  平安
[00:01:18.160 --> 00:01:19.760]  我想問問大家
[00:01:19.760 --> 00:01:21.440]  剛才說了這麼多
[00:01:21.920 --> 00:01:24.640]  有多少樣你有把握
[00:01:24.640 --> 00:01:26.880]  一定行的
[00:01:26.880 --> 00:01:30.800]  可不可以舉手
[00:01:30.800 --> 00:01:33.360]  你靠你自己一定行的
[00:01:33.360 --> 00:01:34.080]  可不可以舉手
[00:01:34.080 --> 00:01:35.040]  有一樣
[00:01:35.040 --> 00:01:38.160]  舉不舉到一樣
[00:01:38.160 --> 00:01:39.680]  一樣都沒有
[00:01:39.680 --> 00:01:41.680]  這樣真的挺慘的
[00:01:41.680 --> 00:01:42.880]  但是所以我們看到
[00:01:42.880 --> 00:01:43.920]  每一年
[00:01:43.920 --> 00:01:44.960]  你黃大仙也好
[00:01:44.960 --> 00:01:46.640]  車公廟也好
[00:01:46.640 --> 00:01:48.640]  這麼多人去求來求去
[00:01:48.640 --> 00:01:49.920]  求那些東西
[00:01:49.920 --> 00:01:52.800]  有很多時候
[00:01:52.800 --> 00:01:55.040]  尋求一個心理的作用
[00:01:55.040 --> 00:01:56.320]  自我安慰
[00:01:56.320 --> 00:01:57.600]  或者
[00:01:57.600 --> 00:01:59.920]  如果你越是期望大
[00:01:59.920 --> 00:02:01.440]  有可能的失望
[00:02:01.440 --> 00:02:03.040]  會越大
[00:02:03.040 --> 00:02:05.280]  實際上有很多人
[00:02:05.280 --> 00:02:06.560]  他們看的時間
[00:02:06.560 --> 00:02:08.480]  是用環境
[00:02:08.480 --> 00:02:10.160]  來控制我們的心境
[00:02:10.160 --> 00:02:11.680]  以為我們的環境這樣
[00:02:11.680 --> 00:02:12.960]  我們就行了
[00:02:12.960 --> 00:02:14.240]  但實際上
[00:02:14.240 --> 00:02:16.160]  恰恰相反
[00:02:16.160 --> 00:02:18.080]  是我們的心境
[00:02:18.080 --> 00:02:19.760]  控制我們的環境
[00:02:19.760 --> 00:02:21.040]  你的心境越好
[00:02:21.040 --> 00:02:22.960]  你的環境無論如何
[00:02:22.960 --> 00:02:24.880]  你會更加的好
[00:02:24.880 --> 00:02:25.920]  另一方面
[00:02:25.920 --> 00:02:28.720]  也有人說了一句話
[00:02:28.720 --> 00:02:31.280]  時勢就做什麼
[00:02:31.280 --> 00:02:32.560]  做英雄
[00:02:32.560 --> 00:02:35.120]  那英雄又做什麼
[00:02:35.120 --> 00:02:36.400]  做時勢
[00:02:36.400 --> 00:02:37.680]  但實際上
[00:02:37.680 --> 00:02:38.960]  當我們留意去看一看
[00:02:38.960 --> 00:02:40.240]  到底哪樣比較對
[00:02:40.240 --> 00:02:42.800]  其實是缺一不可
[00:02:42.800 --> 00:02:45.360]  有好的時勢
[00:02:45.360 --> 00:02:47.280]  你需要有好的英雄在
[00:02:47.280 --> 00:02:49.200]  有好的英雄
[00:02:49.200 --> 00:02:51.760]  才能夠做到好的時勢
[00:02:51.760 --> 00:02:54.000]  到底一個好的英雄
[00:02:54.000 --> 00:02:55.600]  有什麼特質呢
[00:02:55.600 --> 00:02:57.360]  有人說了一句話
[00:02:57.360 --> 00:03:00.080]  弱者是錯失機會
[00:03:00.080 --> 00:03:02.800]  知者是把握機會
[00:03:02.800 --> 00:03:05.280]  強者是製造機會
[00:03:05.280 --> 00:03:09.040]  一個真真正正做時勢的英雄
[00:03:09.040 --> 00:03:10.960]  應該在等的時候
[00:03:10.960 --> 00:03:12.240]  他會等
[00:03:12.240 --> 00:03:14.240]  但有機會來到的時候
[00:03:14.240 --> 00:03:15.840]  他會把握
[00:03:15.840 --> 00:03:18.640]  而在一個最需要的時候
[00:03:18.640 --> 00:03:21.200]  是非要不可做的決定
