
[00:00:00.000 --> 00:00:06.720]  今天是1月16日 是一個很特別的日子
[00:00:06.720 --> 00:00:12.640]  在今天 在加拿大 美國 甚至很多其他的國家
[00:00:12.640 --> 00:00:16.160]  很多的牧者 很多的牧師
[00:00:16.160 --> 00:00:20.800]  都會說有關聖經正確對聖愛的教導
[00:00:20.800 --> 00:00:25.440]  為什麼今天會說這樣的訊息呢 這麼多的牧者
[00:00:25.440 --> 00:00:31.040]  原因是在前些時 在加拿大 是通過了一條法例
[00:00:31.040 --> 00:00:38.560]  法例C4 這個律法是在上個星期1月8日開始實行
[00:00:38.560 --> 00:00:41.600]  根據這條法例所說
[00:00:41.600 --> 00:00:46.720]  如果任何人是用聖經來輔導其他人
[00:00:46.720 --> 00:00:51.040]  例如有個同性戀者去到這個輔導者那裡
[00:00:51.040 --> 00:00:56.960]  如果這個人是用聖經來輔導他 想改變他同性戀的行為
[00:00:56.960 --> 00:01:01.760]  他可以入獄5年那麼長
[00:01:01.760 --> 00:01:07.920]  另外 如果有弟弟對他們的性別有疑惑
[00:01:07.920 --> 00:01:10.480]  你說為什麼會對性別有疑惑
[00:01:10.480 --> 00:01:14.160]  30年前 40年前從來都沒有聽過這些事
[00:01:14.160 --> 00:01:18.480]  但是現在就是因為有很多的書本 電影 電視
[00:01:18.480 --> 00:01:27.200]  使弟弟覺得自己生出來是男的 未必需要是女的
[00:01:27.200 --> 00:01:29.040]  很疑惑
[00:01:29.040 --> 00:01:32.160]  如果有輔導者想改變他們
[00:01:32.160 --> 00:01:34.800]  如果他們想改變他們自己的性別
[00:01:34.800 --> 00:01:36.720]  有輔導者說不應該
[00:01:36.720 --> 00:01:39.440]  聖經說 神做男做女
[00:01:39.440 --> 00:01:42.960]  你是男的就是男 你是女的就是女
[00:01:42.960 --> 00:01:46.400]  這個輔導員也可能被判入獄
[00:01:46.400 --> 00:01:48.640]  up to 5年那麼長
[00:01:48.640 --> 00:01:51.040]  這個真的是非常非常不幸
[00:01:51.040 --> 00:01:54.800]  加拿大通過了這條法律
[00:01:54.800 --> 00:01:59.120]  我們現在 美國相信指日可待
