
[00:00:00.000 --> 00:00:07.000]  剛剛牧師讀這個講題的時候讀得很掉漆
[00:00:07.000 --> 00:00:12.000]  給大家一個概念
[00:00:12.000 --> 00:00:15.000]  為什麼我選了一個這麼掉漆的題目
[00:00:15.000 --> 00:00:18.000]  令牧師讀的時候這麼掉漆呢?
[00:00:18.000 --> 00:00:22.000]  我告訴大家一個秘密
[00:00:22.000 --> 00:00:25.000]  這個題目是牧師改的
[00:00:25.000 --> 00:00:33.000]  是牧師幾個星期前告訴我今天講的題目很客氣
[00:00:33.000 --> 00:00:35.000]  好不好講這個題目
[00:00:35.000 --> 00:00:38.000]  牧師叫我講是好的
[00:00:38.000 --> 00:00:41.000]  我永遠不會跟牧師講不好的
[00:00:41.000 --> 00:00:45.000]  這個題目緊急撤離令
[00:00:45.000 --> 00:00:50.000]  英文叫做Evacuation Order
[00:00:50.000 --> 00:00:56.000]  牧師選這個題目他心中一定有一些負擔
[00:00:56.000 --> 00:01:00.000]  有一些訊息需要大家知道
[00:01:00.000 --> 00:01:06.000]  可能他受了最近大家知道羅省大火
[00:01:06.000 --> 00:01:09.000]  大火隨著風吹來吹去
[00:01:09.000 --> 00:01:14.000]  真的不知道下一度會燒到哪個城市
[00:01:14.000 --> 00:01:19.000]  曾經有幾個城市政府發出緊急撤離令
[00:01:19.000 --> 00:01:21.000]  叫你快點走
[00:01:21.000 --> 00:01:23.000]  這個緊急撤離令的意思是
[00:01:23.000 --> 00:01:26.000]  打到過來燒到過來
[00:01:26.000 --> 00:01:27.000]  你快點走
[00:01:27.000 --> 00:01:30.000]  你不走後果自負
[00:01:30.000 --> 00:01:32.000]  真的有些人留下
[00:01:32.000 --> 00:01:35.000]  有些人留下就連命都沒有了
[00:01:35.000 --> 00:01:39.000]  但也有少數留下救回自己的房子
[00:01:39.000 --> 00:01:42.000]  有兩種不同的結果
[00:01:42.000 --> 00:01:46.000]  但是有了這些撤離令
[00:01:46.000 --> 00:01:49.000]  也不是好事
[00:01:49.000 --> 00:01:55.000]  這兩天大家看到緬甸地震很厲害
[00:01:55.000 --> 00:01:58.000]  在電視上看到人們走
[00:01:58.000 --> 00:02:01.000]  只能逃走
[00:02:01.000 --> 00:02:04.000]  最奇怪的是在千多里外出
