
[00:00:00.000 --> 00:00:05.760]  羅馬書講到第四講了
[00:00:05.760 --> 00:00:09.520]  羅馬書的一章十八至三十二節
[00:00:09.520 --> 00:00:12.000]  我們講了三講是什麼?
[00:00:12.000 --> 00:00:14.400]  第一講是羅馬書的介紹
[00:00:14.400 --> 00:00:18.400]  第二講是頭七節的經文在第一章
[00:00:18.400 --> 00:00:21.760]  將整部羅馬書濃縮了
[00:00:21.760 --> 00:00:23.040]  是一個總結
[00:00:23.040 --> 00:00:27.520]  然後上一次保羅對羅馬教會說
[00:00:27.520 --> 00:00:31.440]  他願意用心靈誠實來侍奉他們
[00:00:31.440 --> 00:00:34.720]  為他們去到羅馬作好準備
[00:00:34.720 --> 00:00:38.400]  今天進入主題了
[00:00:38.400 --> 00:00:40.000]  進入神學了
[00:00:40.000 --> 00:00:43.920]  要講的就是恩順清二的福音
[00:00:43.920 --> 00:00:46.080]  我今天給他的主題叫
[00:00:46.080 --> 00:00:49.600]  「神該定無知者的罪嗎?」
[00:00:49.600 --> 00:00:54.640]  這個問題在基督教的內外
[00:00:54.640 --> 00:00:59.280]  千多二千年被人討論
[00:00:59.280 --> 00:01:02.960]  究竟如果一個人完全沒聽過福音
[00:01:02.960 --> 00:01:05.600]  神應不應該定他的罪?
[00:01:05.600 --> 00:01:07.840]  看我們人怎麼說
[00:01:07.840 --> 00:01:09.760]  中國人怎麼說
[00:01:09.760 --> 00:01:12.240]  不知者不罪
[00:01:12.240 --> 00:01:14.960]  在2020年的元旦
[00:01:14.960 --> 00:01:16.800]  在香港的旺角
[00:01:16.800 --> 00:01:22.080]  有四名男子涉嫌襲擊一位便衣警察
[00:01:22.080 --> 00:01:25.920]  這位便衣警察受到重傷
[00:01:25.920 --> 00:01:29.200]  事後這四名男子都被捕
[00:01:29.200 --> 00:01:32.160]  在西九龍法院被裁判
[00:01:32.160 --> 00:01:36.160]  兩名男子襲警罪名成立
[00:01:36.160 --> 00:01:39.120]  其他兩名說
[00:01:39.120 --> 00:01:42.080]  我們不知道原來看水
[00:01:42.080 --> 00:01:45.440]  原來把風都是犯罪的
[00:01:45.440 --> 00:01:47.440]  法官大人你要輕判
[00:01:47.440 --> 00:01:48.960]  我們真的不知道
[00:01:48.960 --> 00:01:51.360]  法官說你們說得對
[00:01:51.360 --> 00:01:52.960]  不知者不罪
[00:01:52.960 --> 00:01:56.320]  我就輕判你們入獄三個月
[00:01:56.320 --> 00:02:00.560]  原來人間的法庭真是不知者不罪
[00:02:00.560 --> 00:02:03.520]  但是天上的法庭又是怎樣呢?
[00:02:03.520 --> 00:02:06.480]  神的判斷又會是怎樣呢?
[00:02:06.480 --> 00:02:08.000]  我們一起來看看
[00:02:08.000 --> 00:02:09.520]  如果大家記得
[00:02:09.520 --> 00:02:11.520]  上一次我跟大家說了
[00:02:11.520 --> 00:02:13.680]  羅馬書的一章十七節
[00:02:13.680 --> 00:02:16.160]  和三章二十一節
[00:02:16.160 --> 00:02:19.200]  一頭一尾兩節的經文說什麼
[00:02:19.200 --> 00:02:22.480]  「義人必因順得身」
[00:02:22.480 --> 00:02:26.560]  中間夾著的經文就是最重要的訊息
[00:02:26.560 --> 00:02:28.160]  就是告訴我們
[00:02:28.160 --> 00:02:30.480]  每一個人都犯了罪
[00:02:30.480 --> 00:02:34.720]  每個人都在神的憤怒之下
[00:02:34.720 --> 00:02:38.560]  我們需要耶穌基督的義披在我們身上
[00:02:38.560 --> 00:02:42.240]  才能夠逃脫神的審判
[00:02:42.240 --> 00:02:43.840]  神的憤怒
[00:02:43.840 --> 00:02:47.360]  我們才能夠與神和好
[00:02:47.360 --> 00:02:51.840]  這就是羅馬書裏面很重要的訊息
[00:02:51.840 --> 00:02:55.200]  我們剛才讀的經文
[00:02:55.200 --> 00:02:58.560]  告訴我們有神的憤怒
[00:02:58.560 --> 00:03:02.720]  所有不接受神的人
[00:03:02.720 --> 00:03:06.080]  我們就需要自己來為我們的罪
