
[00:00:00.000 --> 00:00:02.000]  (字幕:SAMUEL)
[00:00:03.000 --> 00:00:05.400]  《撒姆爾傳》第三講
[00:00:05.400 --> 00:00:09.040]  撒姆爾上的第二章和第三章
[00:00:09.040 --> 00:00:13.000]  今天我給他的題目很有趣很有意義
[00:00:13.000 --> 00:00:17.440]  叫做《耶和華的言語異象稀少》
[00:00:17.440 --> 00:00:21.160]  《耶和華的言語異象稀少》
[00:00:21.160 --> 00:00:23.600]  這句經文從何而來呢?
[00:00:23.600 --> 00:00:26.600]  在《撒姆爾上》的三章一節
[00:00:26.600 --> 00:00:27.960]  我們剛才也讀過
[00:00:28.240 --> 00:00:32.520]  童子撒姆爾在以利面前侍奉耶和華
[00:00:32.520 --> 00:00:34.440]  當那些日子
[00:00:34.440 --> 00:00:36.760]  耶和華的言語稀少
[00:00:36.760 --> 00:00:38.480]  不常有物事
[00:00:38.480 --> 00:00:42.080]  不常有物事是和合本的翻譯
[00:00:42.080 --> 00:00:45.720]  聖經新譯本是用異象這個字
[00:00:45.720 --> 00:00:47.520]  在聖經裡
[00:00:47.520 --> 00:00:52.000]  每當神的話語神的物事稀少的時候
[00:00:52.000 --> 00:00:54.160]  其實就是神的審判
[00:00:54.160 --> 00:00:56.480]  在聖經裡重複的出現
[00:00:56.880 --> 00:00:59.520]  例如詩篇的74篇9節
[00:00:59.520 --> 00:01:01.600]  《爾西傑書》的7章26節
[00:01:01.600 --> 00:01:04.680]  《阿摩斯書》的8章11至12節
[00:01:04.680 --> 00:01:07.960]  和《尼加書》的3章6節都是這樣說的
[00:01:07.960 --> 00:01:10.760]  我們知道撒姆爾記
[00:01:10.760 --> 00:01:13.960]  就是在《時詩記》之後的時代
[00:01:13.960 --> 00:01:16.720]  撒姆爾傳所說的時候
[00:01:16.720 --> 00:01:18.920]  《時詩記》是什麼時代?
[00:01:18.920 --> 00:01:22.560]  是一個以色列中沒有王
[00:01:22.560 --> 00:01:25.560]  各人偏行幾路的時候
[00:01:26.120 --> 00:01:29.400]  《時詩記》一共大概三百多年
[00:01:29.400 --> 00:01:32.520]  每個人都是做自己認為對的事
[00:01:32.520 --> 00:01:34.000]  是充滿了罪惡
[00:01:34.000 --> 00:01:38.120]  雖然神是有差派時詩到以色列人那裡
[00:01:38.120 --> 00:01:39.880]  但是神的話語
[00:01:39.880 --> 00:01:43.080]  祂的異象可以說得很稀少
[00:01:43.080 --> 00:01:46.200]  直到撒姆爾出現的時候
[00:01:46.200 --> 00:01:49.480]  神再次向以色列人說話
[00:01:49.480 --> 00:01:53.520]  這個和在《說良藥》之間
[00:01:53.760 --> 00:01:56.800]  就是在《新舊約》之間很相似
[00:01:56.800 --> 00:01:58.880]  有四百多年
[00:01:58.880 --> 00:02:01.800]  神沒有任何的物質給以色列人
[00:02:01.800 --> 00:02:03.680]  沒有任何的言語
[00:02:03.680 --> 00:02:07.200]  直到耶穌基督在《新約》出現
[00:02:07.200 --> 00:02:09.920]  有沒有看到耶穌基督和撒姆爾
[00:02:09.920 --> 00:02:11.960]  真的有很多相似的地方
[00:02:11.960 --> 00:02:16.000]  我也說撒姆爾記介紹的時候
[00:02:16.000 --> 00:02:17.000]  我說過
[00:02:17.000 --> 00:02:19.280]  耶穌基督和撒姆爾
[00:02:19.280 --> 00:02:22.440]  都是好像摩西一樣的先知
[00:02:23.520 --> 00:02:24.800]  摩西自己呢?
[00:02:24.800 --> 00:02:26.960]  當神差派摩西
[00:02:26.960 --> 00:02:30.360]  去到以色列人那裡傳白祂的話語
[00:02:30.360 --> 00:02:32.640]  以色列人正在埃及
[00:02:32.640 --> 00:02:33.960]  多少年了?
[00:02:33.960 --> 00:02:36.000]  四百多年
[00:02:36.000 --> 00:02:37.800]  你說相不相似?
[00:02:37.800 --> 00:02:41.040]  所以耶穌基督和撒姆爾
[00:02:41.040 --> 00:02:44.080]  真的好像摩西一樣的先知
[00:02:44.080 --> 00:02:47.640]  而撒姆爾是比較近的寓言
[00:02:47.640 --> 00:02:50.920]  但是耶穌基督是比較遠的寓言
[00:02:50.920 --> 00:02:52.200]  我時時都說
[00:02:52.200 --> 00:02:54.040]  在聖經裡面的寓言
[00:02:54.040 --> 00:02:57.120]  很多都有近和遠的寓表
[00:02:57.120 --> 00:03:01.600]  人民怎樣領袖都是怎樣
[00:03:01.600 --> 00:03:06.360]  一個國家如果領袖不能夠對神專一
[00:03:06.360 --> 00:03:09.400]  就好像大祭司以利一樣
[00:03:09.400 --> 00:03:12.480]  他縱容兩個兒子
[00:03:12.480 --> 00:03:14.600]  他不尊敬神
[00:03:14.600 --> 00:03:15.520]  結果怎樣?
[00:03:15.520 --> 00:03:17.320]  他不能夠向神專一
[00:03:17.320 --> 00:03:19.920]  反映出人民都是一樣
[00:03:20.400 --> 00:03:24.800]  在撒姆爾上的一章和二章
[00:03:24.800 --> 00:03:25.760]  我們看到
[00:03:25.760 --> 00:03:28.120]  伊利加那就是一個例子
[00:03:28.120 --> 00:03:31.000]  他的太太沒有兒子
[00:03:31.000 --> 00:03:34.640]  他立刻找娶兒
[00:03:34.640 --> 00:03:37.120]  就是對妻子不專一
[00:03:37.120 --> 00:03:38.880]  以致我們看到
[00:03:38.880 --> 00:03:41.880]  也反映出當時的領袖
[00:03:41.880 --> 00:03:44.040]  也不能夠向神專一
[00:03:44.040 --> 00:03:49.480]  我們現在美國年尾就會大選
[00:03:49.840 --> 00:03:51.000]  很多人說
[00:03:51.000 --> 00:03:53.240]  又是這兩個候選人
[00:03:53.240 --> 00:03:57.640]  有沒有合適的候選人
[00:03:57.640 --> 00:03:59.560]  為什麼選來選去都這兩個
[00:03:59.560 --> 00:04:02.520]  個個都認為不是好的候選人
[00:04:02.520 --> 00:04:05.440]  我們應該看回我們自己
[00:04:05.440 --> 00:04:09.240]  其實可能是美國的人民出現了問題
[00:04:09.240 --> 00:04:12.000]  以至領袖都出現問題
[00:04:12.000 --> 00:04:13.840]  這是聖經教我們的
[00:04:13.840 --> 00:04:17.680]  其實我們應該像哈娜一樣
[00:04:17.680 --> 00:04:20.120]  為美國來禱告
[00:04:20.120 --> 00:04:23.640]  我們首先是由自己做起
[00:04:23.640 --> 00:04:25.240]  要改變自己
[00:04:25.240 --> 00:04:27.720]  以致我們能夠改變我們的家庭
[00:04:27.720 --> 00:04:30.520]  以致我們能夠改變我們的社區
[00:04:30.520 --> 00:04:34.080]  以致我們能夠有一個好的國家
[00:04:34.080 --> 00:04:37.120]  所以人民反映出領袖
[00:04:37.120 --> 00:04:38.800]  這個真是聖經的教導
[00:04:38.800 --> 00:04:41.600]  在聖經裏面重複地出現
[00:04:41.600 --> 00:04:42.760]  讓我們看到
[00:04:42.760 --> 00:04:46.760]  哈娜得到撒姆爾之後
[00:04:46.960 --> 00:04:49.200]  她在撒姆爾上的第二章
[00:04:49.200 --> 00:04:51.800]  她就用詩歌來讚美神
[00:04:51.800 --> 00:04:54.200]  很多人都不明白
[00:04:54.200 --> 00:04:57.960]  將自己或者將自己最好的獻給神
[00:04:57.960 --> 00:05:01.000]  和讚美神的關係
[00:05:01.000 --> 00:05:03.400]  其實我們看到這兩樣東西
[00:05:03.400 --> 00:05:06.680]  是一起重複地出現在聖經裏面
[00:05:06.680 --> 00:05:08.920]  昔日以色列人
[00:05:08.920 --> 00:05:10.960]  當他們將他們最好的
[00:05:10.960 --> 00:05:13.800]  帶去聖殿獻給神的時候
[00:05:13.800 --> 00:05:16.360]  他們都會唱詩歌讚美神
[00:05:17.360 --> 00:05:18.880]  我們看到大衛
[00:05:18.880 --> 00:05:21.200]  當他經歷苦難的時候
[00:05:21.200 --> 00:05:22.440]  他怎樣呢?
