
[00:00:00.000 --> 00:00:06.060]  好 大家應該看到我的螢幕
[00:00:06.060 --> 00:00:07.460]  應該沒有問題
[00:00:07.460 --> 00:00:09.260]  好 現在開始的時候
[00:00:09.260 --> 00:00:13.160]  很多聖誕的詩歌 剛才阿Kam
[00:00:13.160 --> 00:00:16.240]  就說聖誕節應該就聖誕快樂
[00:00:16.240 --> 00:00:18.680]  其實就沒有什麼特別需要去紀念
[00:00:18.680 --> 00:00:21.400]  不是 意思是應該天天都要紀念
[00:00:21.400 --> 00:00:24.600]  天天都應該是聖誕節 天天都應該是快樂
[00:00:24.600 --> 00:00:26.800]  你發覺到很難的
[00:00:26.800 --> 00:00:30.800]  這麼多年來25號出現在星期天
[00:00:30.800 --> 00:00:32.560]  其實不容易見到的
[00:00:32.560 --> 00:00:33.680]  但是很奇怪
[00:00:33.680 --> 00:00:36.560]  因為我就想今天在CNBC裡面
[00:00:36.560 --> 00:00:37.840]  就不是一個報導會
[00:00:37.840 --> 00:00:40.560]  我就禱告 我就沒有特別領袖
[00:00:40.560 --> 00:00:44.140]  要說一個聖誕節的信息
[00:00:44.140 --> 00:00:48.840]  就按我的感動 上帝給了尼加書我
[00:00:48.840 --> 00:00:51.800]  記得我兩個星期前就和大家分享過
[00:00:51.800 --> 00:00:56.040]  就是說這個《馬拉基書》
[00:00:56.040 --> 00:00:58.040]  我就有一個感動
[00:00:58.040 --> 00:01:00.080]  雖然我不知道還可以在CNBC
[00:01:00.080 --> 00:01:02.520]  可以和大家分享多久
[00:01:02.520 --> 00:01:05.640]  因為上帝有祂自己的計劃 當然
[00:01:05.640 --> 00:01:07.160]  但是如果上帝容許
[00:01:07.160 --> 00:01:10.960]  我希望在接下來的時間配合CNBC的主題
[00:01:10.960 --> 00:01:14.320]  是和大家分享《十二小仙之書》
[00:01:14.320 --> 00:01:15.720]  你看回我過去
[00:01:15.720 --> 00:01:18.080]  其實我花了很多次的時間
[00:01:18.080 --> 00:01:21.200]  在CNBC裡面和大家分享過《若蘭書》
[00:01:21.200 --> 00:01:23.440]  曾幾何時Angel McDean在我們當中
[00:01:23.440 --> 00:01:26.480]  也和大家分享過《撒加尼亞書》
[00:01:26.480 --> 00:01:29.280]  《十二小仙之書》裡面 雖然還沒有說完
[00:01:29.280 --> 00:01:32.080]  但是我們大家都有一些概念
[00:01:32.080 --> 00:01:34.400]  所以我上次說完了《馬拉基書》
[00:01:34.400 --> 00:01:36.160]  今天來到這個尼加書
[00:01:36.160 --> 00:01:38.880]  我盼望如果下次接下來的時間
[00:01:38.880 --> 00:01:41.520]  還有機會 上帝給我機會
[00:01:41.520 --> 00:01:43.120]  在大家當中繼續分享
[00:01:43.120 --> 00:01:45.640]  我希望繼續說《若爾書》、《哈巴谷書》
[00:01:45.640 --> 00:01:47.760]  然後再說《但爾利書》
[00:01:47.760 --> 00:01:50.080]  一步一步和大家分享
[00:01:50.080 --> 00:01:52.640]  剛才說聖誕節很難得的
[00:01:52.640 --> 00:01:55.600]  25日遇到星期日 你知不知道真的有多難得
[00:01:55.600 --> 00:01:59.320]  你知不知道下一次再出現這個25日
[00:01:59.320 --> 00:02:01.240]  在星期日是什麼時候?
[00:02:01.240 --> 00:02:03.840]  沒什麼人知道 其實這個日子真的很難的
[00:02:03.840 --> 00:02:08.640]  但是我真的沒有感動說一篇聖誕的信息
[00:02:08.640 --> 00:02:11.680]  下一次再出現就是2033年
[00:02:11.680 --> 00:02:14.280]  11年後 親弟兄姊妹
[00:02:14.280 --> 00:02:17.000]  有緣的 信得意 容許的
[00:02:17.000 --> 00:02:20.280]  盼望2033年的時候 我答應大家
[00:02:20.280 --> 00:02:23.680]  如果還有機會在CNBC和大家講道
[00:02:23.680 --> 00:02:27.760]  我會說一篇純聖誕節的信息 好嗎?
[00:02:27.760 --> 00:02:29.640]  OK 好 那就開始了
[00:02:29.640 --> 00:02:32.280]  當獻上什麼朝見神尼加書
[00:02:32.280 --> 00:02:35.120]  尼加書很熟的 為什麼尼加書很熟呢?
[00:02:35.120 --> 00:02:36.520]  因為六章八節的時間
[00:02:36.520 --> 00:02:39.280]  我相信很多人都會識背這句金句
[00:02:39.280 --> 00:02:42.480]  文攻義 好憐憫 傳謙卑的心
[00:02:42.480 --> 00:02:43.880]  與你的上帝同行
[00:02:43.880 --> 00:02:46.440]  我今天用的就是新頁本
[00:02:46.440 --> 00:02:49.640]  所以有一點點的經文的翻譯
[00:02:49.640 --> 00:02:53.080]  是與你們平時唸的、背的是什麼一樣
[00:02:53.080 --> 00:02:56.560]  十六節的經文 我只是看第六章
[00:02:56.560 --> 00:02:58.280]  其實不是看第六章的
[00:02:58.280 --> 00:03:00.080]  主幹是第六章
[00:03:00.080 --> 00:03:04.600]  我會看完整本尼加書 除了第七章
[00:03:04.600 --> 00:03:08.120]  基本上最主要集中在第三章和第六章
[00:03:08.120 --> 00:03:10.600]  第六章有十六節 我們先讀一讀
[00:03:10.600 --> 00:03:12.720]  其實這些經文都很熟的
[00:03:12.720 --> 00:03:14.000]  OK 準備
[00:03:14.000 --> 00:03:15.480]  如果大家有聖經在手的
[00:03:15.480 --> 00:03:16.920]  或者看著畫面的我們
[00:03:16.920 --> 00:03:20.360]  你都可以在你自己的電腦面前開聲讀
[00:03:20.360 --> 00:03:21.280]  好嗎?
[00:03:21.280 --> 00:03:22.360]  我們讀最後一節
[00:03:22.360 --> 00:03:24.360]  你們當聽耶和華所說的話
[00:03:24.360 --> 00:03:26.800]  你們要起來向大山爭辯
[00:03:26.800 --> 00:03:29.240]  讓小山可以聽見你的聲音
[00:03:29.240 --> 00:03:32.360]  大山啊 你們要聽耶和華的爭辯
[00:03:32.360 --> 00:03:34.760]  大地永久的根基啊 你們要聽
[00:03:34.760 --> 00:03:37.520]  因為耶和華與他的子民爭辯
[00:03:37.520 --> 00:03:39.040]  和以色列爭論
[00:03:39.040 --> 00:03:41.760]  我的子民啊 我向你作了什麼呢?
[00:03:41.760 --> 00:03:44.120]  我在什麼事上叫你厭煩呢?
[00:03:44.120 --> 00:03:46.480]  你可以回答我
[00:03:46.480 --> 00:03:48.920]  我曾經把你從埃及地領上來
[00:03:48.920 --> 00:03:51.800]  把你從維羅茲加贖出來
[00:03:51.800 --> 00:03:53.440]  我又差遣
[00:03:53.440 --> 00:03:56.120]  我又差派了摩西亞倫和
