
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 新年蒙恩
[00:00:05.000 --> 00:00:10.000]  过年必须要应节
[00:00:10.000 --> 00:00:15.000]  所以在年宵市场
[00:00:15.000 --> 00:00:20.000]  卖很多灰春都是讲马的
[00:00:20.000 --> 00:00:25.000]  包括以马来利 其实和马无关的
[00:00:25.000 --> 00:00:31.000]  我不知道那些未信耶稣的人看不看得明白是什么马
[00:00:31.000 --> 00:00:35.000]  不容易的 你要十二生肖都找到圣经的根据
[00:00:35.000 --> 00:00:41.000]  还要写一篇这么好的文章印在崇拜的周刊封面
[00:00:41.000 --> 00:00:43.000]  这个真是不简单的事
[00:00:43.000 --> 00:00:48.000]  不过每年过节我们都会贴灰春
[00:00:48.000 --> 00:00:52.000]  我们都会将福字倒转头贴
[00:00:52.000 --> 00:00:55.000]  或者叫做福祷
[00:00:55.000 --> 00:01:01.000]  但你明白圣经其实不是反对我们过节的
[00:01:01.000 --> 00:01:11.000]  不过圣经将过节那些民族文化的部分
[00:01:11.000 --> 00:01:14.000]  它是反转它来讲的
[00:01:14.000 --> 00:01:17.000]  譬如这个福字
[00:01:17.000 --> 00:01:22.000]  每一个中国人都明白什么叫做有福
[00:01:22.000 --> 00:01:24.000]  如果你要祈祷
[00:01:24.000 --> 00:01:28.000]  求神今年大大赐福给你
[00:01:28.000 --> 00:01:31.000]  你知道怎么祈祷的
[00:01:31.000 --> 00:01:33.000]  不用教你的
[00:01:33.000 --> 00:01:37.000]  有谁不知道什么叫做有福
[00:01:37.000 --> 00:01:43.000]  你刚刚才听完耶稣讲八福
[00:01:43.000 --> 00:01:49.000]  今年我们崇拜按着马太福音读下去
[00:01:49.000 --> 00:01:54.000]  我不知道是不是上个月插了约翰福音一段进来
[00:01:54.000 --> 00:01:59.000]  等我们刚刚来到新年我们就读八福
[00:01:59.000 --> 00:02:01.000]  我们记得八福
[00:02:01.000 --> 00:02:06.000]  比起中国人讲三星拱照五福临门
[00:02:06.000 --> 00:02:09.000]  还多了三个福
[00:02:09.000 --> 00:02:18.000]  但我们从来都很少去问耶稣所讲的福
[00:02:18.000 --> 00:02:25.000]  和你和我心目中想的福
[00:02:25.000 --> 00:02:29.000]  其实有很大的差别
