
[00:00:00.000 --> 00:00:03.500]  今天和大家分享的題目叫做
[00:00:03.500 --> 00:00:06.680]  最不配的引言人
[00:00:06.680 --> 00:00:11.980]  我不知道大家有沒有聽過引言人這個概念
[00:00:11.980 --> 00:00:14.200]  大家有些都領頭
[00:00:14.200 --> 00:00:18.400]  上一次講的題目就是最震撼的引言
[00:00:18.400 --> 00:00:23.120]  原來台灣有一個概念叫做引言人
[00:00:23.120 --> 00:00:24.480]  引言人做什麼的呢?
[00:00:24.480 --> 00:00:31.280]  原來他們的角色就是介紹接下來的演講嘉賓的出場
[00:00:31.280 --> 00:00:35.620]  有一次台灣有一次大型的演講會
[00:00:35.620 --> 00:00:37.780]  總共有六位演講嘉賓
[00:00:37.780 --> 00:00:40.640]  那個引言人就很大壓力很緊張
[00:00:40.640 --> 00:00:43.740]  怎麼去介紹這六位嘉賓出場呢?
[00:00:43.740 --> 00:00:46.560]  他請教了一位很有經驗的蔡校長
[00:00:46.560 --> 00:00:51.740]  就問他身為一個引言人有什麼要注意呢?
[00:00:51.740 --> 00:00:53.640]  蔡校長就這樣跟他說
[00:00:53.640 --> 00:00:57.240]  他說那個舞台或者說那個講台
[00:00:57.240 --> 00:01:00.040]  是屬於各位講者的
[00:01:00.040 --> 00:01:02.980]  引言人只負責暖場
[00:01:02.980 --> 00:01:05.280]  英文就是warm up 暖場
[00:01:05.280 --> 00:01:07.140]  還有引起注意力
[00:01:07.140 --> 00:01:10.540]  他說你千萬不要搶了講者的風采
[00:01:10.540 --> 00:01:14.180]  他說引言人的目的不是叫人看我這裡
[00:01:14.180 --> 00:01:15.840]  不是叫人看大家看我
[00:01:15.840 --> 00:01:17.980]  我是這個節目的引言人
[00:01:17.980 --> 00:01:20.100]  不是 而是叫人看那邊
[00:01:20.100 --> 00:01:21.420]  或者看那邊
[00:01:21.420 --> 00:01:22.620]  或者看後面
[00:01:22.620 --> 00:01:24.280]  就是那個講者在哪裡
[00:01:24.280 --> 00:01:26.500]  就請他們看那個位置
[00:01:26.500 --> 00:01:28.380]  我一看到這個定義的時候
[00:01:28.380 --> 00:01:29.660]  我馬上想到
