
[00:00:00.000 --> 00:00:09.000]  請聽神的對話,同心打告。
[00:00:09.000 --> 00:00:25.000]  慈悲的父神,多謝祢,讓我們能夠再次打開祢的話語,用同心去領受祢的教訓,明白如何被祢的話塑造成合主祢心意的一個屬神子民。
[00:00:25.000 --> 00:00:44.000]  祈求祢繼續幫助我們,在今天整個聽道的過程當中,能夠有聖靈陪伴著我們,開啟我們的心,能夠去明白上帝是如何為主,預備如何營建一位與我們在運行當中同住的神。
[00:00:44.000 --> 00:00:59.000]  親愛的父神,感謝祢,讓我們今天能夠再次有機會打開祢的話語,讓我們一起來研讀,一起來明白上帝是如何為主,如何為神。
[00:00:59.000 --> 00:01:11.000]  也求祢,透過祢的聖靈幫助我們,在讀祢的話語當中,讓我們更清楚來到預備,怎麼樣在將來永恆的當中與祢同住。
[00:01:11.000 --> 00:01:21.000]  正如祢的兒子耶穌基督所說的,祂為我們預備地方,來接我們回去,讓我們在永恆裡面,單純地同住。
[00:01:21.000 --> 00:01:31.000]  我們盼望今天再次成為一個靈驗,讓我們一起來領受主理的教訓,我們同心禱告,奉主耶穌的名求。
[00:01:31.000 --> 00:01:49.000]  基督徒經常說我們要走一條專屬的路,但我作為學者,在接觸這麼多基督徒,這麼多不同的教會的時候,我也經常有這樣的疑問。
[00:01:49.000 --> 00:01:59.000]  今天活在教會當中的人,究竟我們有多少真正尊重上帝呢?
[00:01:59.000 --> 00:02:09.000]  特別我們經常說,稱主耶穌基督為我們的主,如果我們尊重我們這位主的話,我們沒有理由不聽祂的話,
[00:02:09.000 --> 00:02:25.000]  打個例子,比如在馬太福音第六章,耶穌說了一段很美麗的有關於禱告的講章,給當時祂的門徒知道,
[00:02:25.000 --> 00:02:49.000]  在第六章第五節,耶穌這樣說,第六章第五節這麼說,祂說你們禱告的時候,不可像那假冒偽善的人,
[00:02:49.000 --> 00:03:01.000]  不可像那假冒偽善的人,不能在會堂和十字路口上禱告,故意叫人看見,
[00:03:01.000 --> 00:03:11.000]  我實在告訴你們,他們已經得了他們的賞賜,你禱告的時候,
[00:03:11.000 --> 00:03:28.000]  要進入你的內室裡面,關上門,禱告你暗中的負,你負在暗中察看,必然報答你。
[00:03:28.000 --> 00:03:44.000]  不單止,耶穌繼續這樣說,你們禱告包含外邦人,用許多重覆的話,他們以為話多了,便蒙誰聽,
[00:03:44.000 --> 00:03:58.000]  你們不可效法他們,因為你們沒有祈求以先,你們所需用的,你們的負早已知道,
[00:03:58.000 --> 00:04:08.000]  耶穌繼續教應該怎樣禱告,這是我們熟悉的主禱文,我們主禱文一開始就這樣說,
[00:04:08.000 --> 00:04:26.000]  我們在天上的負,願人都尊你的名為聖,願你的國光臨,願你的旨意行在地上,如同行在天上。
[00:04:26.000 --> 00:04:37.000]  還有很詳細的經文,在這裡不再讀了,不過這段經文是大家熟悉到不可以再熟悉的經文罷了,
[00:04:37.000 --> 00:04:49.000]  但是有多少個基督徒今天真的按照聖經耶穌裡面的講道,耶穌的教訓來過我們的淑女生活呢?
[00:04:49.000 --> 00:04:58.000]  我們有多少基督徒是按照耶穌所說的去過我們基督徒的生活呢?
[00:04:58.000 --> 00:05:04.000]  很多基督徒願意在公眾面前禱告,好像假冒偽善的人一樣,
[00:05:04.000 --> 00:05:13.000]  今天很多基督徒要在公眾裡面去為人代禱,耶穌教我們要在內室裡面禱告,
[00:05:13.000 --> 00:05:25.000]  耶穌說上帝已經暗中察看我們的禱告,但是我們卻要上帝明明地去報答我們,
[00:05:25.000 --> 00:05:36.000]  我們今天很多的禱告,完全是超出耶穌的教導,我們對上帝有多少尊重呢?
[00:05:36.000 --> 00:05:41.000]  我們對耶穌有多少尊重呢?
