
[00:00:00.000 --> 00:00:02.000]  (字幕由森林大學生命學院學生學院教授提供)
[00:00:02.000 --> 00:00:04.000]  各位弟兄姊妹平安
[00:00:04.000 --> 00:00:06.000]  (平安)
[00:00:06.000 --> 00:00:11.000]  很感恩能夠來到粉嶺崇謙堂
[00:00:11.000 --> 00:00:15.000]  我注意到這個堂的英文名字
[00:00:15.000 --> 00:00:19.000]  就不是崇謙這樣的音
[00:00:19.000 --> 00:00:21.000]  好像是崇Kiam這樣的音
[00:00:21.000 --> 00:00:23.000]  崇Kiam
[00:00:23.000 --> 00:00:25.000]  崇Kiam
[00:00:25.000 --> 00:00:27.000]  崇Kiam
[00:00:27.000 --> 00:00:31.000]  我不會說客家話
[00:00:31.000 --> 00:00:35.000]  我發覺剛才讀這個信經的時候
[00:00:35.000 --> 00:00:37.000]  都很有親切感
[00:00:37.000 --> 00:00:39.000]  大概都有一半
[00:00:39.000 --> 00:00:41.000]  跟我的鄉下話
[00:00:41.000 --> 00:00:43.000]  Dior Jouer
[00:00:43.000 --> 00:00:45.000]  有點像
[00:00:45.000 --> 00:00:47.000]  亞蘇基督
[00:00:47.000 --> 00:00:49.000]  是不是
[00:00:49.000 --> 00:00:51.000]  你覺得當然不像了
[00:00:51.000 --> 00:00:59.000]  又留意到好像主席和指揮這麼相似
[00:00:59.000 --> 00:01:03.000]  可能因為年紀相近
[00:01:03.000 --> 00:01:05.000]  真的是兩姐妹
[00:01:05.000 --> 00:01:07.000]  我還以為是雙胞胎
[00:01:07.000 --> 00:01:11.000]  是你嗎
[00:01:11.000 --> 00:01:17.000]  真是很感恩可以來到一個這麼清靜
[00:01:17.000 --> 00:01:19.000]  這麼有歷史
[00:01:19.000 --> 00:01:22.000]  也是這麼活潑的
[00:01:22.000 --> 00:01:25.000]  真是祝福這個群體
[00:01:25.000 --> 00:01:28.000]  能夠在主的恩典裏面
[00:01:28.000 --> 00:01:32.000]  是前路越來越光明
[00:01:32.000 --> 00:01:35.000]  能夠圍著主耶穌基督
[00:01:35.000 --> 00:01:37.000]  來大放光芒
[00:01:37.000 --> 00:01:41.000]  因為今天我們作為主的兒女
[00:01:41.000 --> 00:01:43.000]  在世上生活
[00:01:43.000 --> 00:01:46.000]  是充滿很多的挑戰
[00:01:46.000 --> 00:01:49.000]  四年前五年前
[00:01:49.000 --> 00:01:52.000]  這位主席當然還是很小
[00:01:52.000 --> 00:01:56.000]  這個阿伯已經老了幾年
[00:01:56.000 --> 00:02:00.000]  這幾年的變化其實真是很大
[00:02:00.000 --> 00:02:03.000]  在今天來和大家分享訊息
[00:02:03.000 --> 00:02:05.000]  都是戰戰兢兢
[00:02:05.000 --> 00:02:09.000]  因為這個世界轉變實在是快
[00:02:09.000 --> 00:02:11.000]  這個社會的變化
[00:02:11.000 --> 00:02:15.000]  也是實在我們香港的弟兄姊妹
[00:02:15.000 --> 00:02:18.000]  會有些措手不及
[00:02:18.000 --> 00:02:20.000]  或者是始料不及
[00:02:20.000 --> 00:02:24.000]  或者有些人會更加有動見
[00:02:24.000 --> 00:02:29.000]  是看見在這個世界上生活
[00:02:29.000 --> 00:02:33.000]  一定是會遇到很多的挑戰
[00:02:33.000 --> 00:02:35.000]  親愛的弟兄姊妹
[00:02:35.000 --> 00:02:37.000]  我站在這裏
