
[00:00:00.000 --> 00:00:08.000]  沒錯,今年開始我們會看《仕途行傳》,是新約的經卷,
[00:00:08.000 --> 00:00:13.000]  不是舊約的39卷當中的其中一卷。
[00:00:13.000 --> 00:00:21.000]  《仕途行傳》是下集,是路加醫生寫完福音書,
[00:00:21.000 --> 00:00:26.000]  記得嗎?馬太,馬可,路加約翰,路加福音書,
[00:00:26.000 --> 00:00:32.000]  講完耶穌的生平,好像是這一處,他開頭所講,
[00:00:32.000 --> 00:00:39.000]  記載耶穌所行所教訓,耶穌不單止教導,
[00:00:39.000 --> 00:00:45.000]  他的生平也是福音書很著重的。
[00:00:45.000 --> 00:00:53.000]  耶穌現在已經完成了他來到這個世界上的工作,
[00:00:53.000 --> 00:00:59.000]  他釘十字架,他復活,他要升天,
[00:00:59.000 --> 00:01:04.000]  完未呢?是否已經高潮過了?
[00:01:04.000 --> 00:01:13.000]  好像過完聖誕之後很累了,不如大家索性照常生活了。
[00:01:13.000 --> 00:01:24.000]  《仕途行傳》告訴我們,不是,這只不過是一個新的階段的起手。
[00:01:24.000 --> 00:01:30.000]  《仕途行傳》是從聖靈開始的,
[00:01:30.000 --> 00:01:37.000]  你發覺剛才我們所讀的經文多次提到聖靈,
[00:01:37.000 --> 00:01:43.000]  有時我們可能會覺得這些很深的題目留待星期六才講,
[00:01:43.000 --> 00:01:48.000]  或者留待一些執事訓練,組長訓練,門徒訓練,
[00:01:48.000 --> 00:01:57.000]  我們這些評訓徒,評訓徒,我們多數都是聽一些基本的真理就足夠了。
[00:01:57.000 --> 00:02:07.000]  我其實不止一次都提過,關於我們相信上帝,我們的信仰,
[00:02:07.000 --> 00:02:14.000]  我們所講的福音,其實你一走進門口,
[00:02:14.000 --> 00:02:24.000]  你就應該不斷聽到,無論牧師講也好,教會時時有不同的程序,
[00:02:24.000 --> 00:02:29.000]  下個星期我們有浸禮,就用浸禮來講,
[00:02:29.000 --> 00:02:33.000]  一個人他信耶穌,他決志,他悔改,
