
[00:00:00.000 --> 00:00:04.000]  今天我們的思想
[00:00:04.000 --> 00:00:09.000]  我覺得是人生裏面一個很重要的問題
[00:00:09.000 --> 00:00:12.000]  中國人說 安樂大於生死
[00:00:12.000 --> 00:00:14.000]  當一個人沒有了盼望的時候
[00:00:14.000 --> 00:00:16.000]  做人真的沒有什麼意思
[00:00:16.000 --> 00:00:19.000]  究竟我們的盼望在哪裏呢?
[00:00:19.000 --> 00:00:22.000]  今天想和大家講一個真實的故事
[00:00:22.000 --> 00:00:25.000]  這個故事發生在香港的伊利沙伯醫院
[00:00:25.000 --> 00:00:28.000]  作者是我香港大學幾個同學
[00:00:28.000 --> 00:00:30.000]  是一位兒科醫生
[00:00:30.000 --> 00:00:32.000]  他有這樣的寫法
[00:00:32.000 --> 00:00:34.000]  他說五天之前
[00:00:34.000 --> 00:00:37.000]  醫院收了一個名為女孩
[00:00:37.000 --> 00:00:40.000]  12歲的病人
[00:00:40.000 --> 00:00:42.000]  當他來看醫生的時候
[00:00:42.000 --> 00:00:45.000]  媽媽就跟我說
[00:00:45.000 --> 00:00:47.000]  她昨晚發高燒
[00:00:47.000 --> 00:00:49.000]  體溫升到105度
[00:00:49.000 --> 00:00:51.000]  又覺得頭痛
[00:00:51.000 --> 00:00:53.000]  又有作嘔
[00:00:53.000 --> 00:00:55.000]  到了第二天
[00:00:55.000 --> 00:00:58.000]  他說他神智不清 連爸爸媽媽都認不出
[00:00:58.000 --> 00:01:00.000]  我們就覺得事態嚴重
[00:01:00.000 --> 00:01:03.000]  所以馬上送他去醫院
[00:01:03.000 --> 00:01:05.000]  醫生初步檢查
[00:01:05.000 --> 00:01:08.000]  覺得事態相當嚴重
[00:01:08.000 --> 00:01:10.000]  懷疑他腦部有問題
[00:01:10.000 --> 00:01:17.000]  所以就抽過這個女孩的腦的睡液
[00:01:17.000 --> 00:01:20.000]  檢查確定是什麼病
[00:01:20.000 --> 00:01:22.000]  爸爸媽媽大概四十多歲
[00:01:22.000 --> 00:01:24.000]  是受過教育的
[00:01:24.000 --> 00:01:26.000]  他們很心急
[00:01:26.000 --> 00:01:30.000]  等報告出來
