
[00:00:00.000 --> 00:00:04.000]  各位電視節目的觀眾朋友 早安
[00:00:04.000 --> 00:00:11.000]  這是我第一次在小學禮堂上跟大家一起崇拜
[00:00:11.000 --> 00:00:17.000]  並且裝修了非常美麗的設備也很好的禮堂
[00:00:17.000 --> 00:00:20.000]  跟大家一起敬拜主 獻上感恩
[00:00:20.000 --> 00:00:23.000]  也見到教會 我聽聞你們有新的發展
[00:00:23.000 --> 00:00:27.000]  這個講道當然是很早之前安排的
[00:00:27.000 --> 00:00:31.000]  剛巧在這個時間我能在這裡跟大家分享
[00:00:31.000 --> 00:00:33.000]  我想將這段經文
[00:00:33.000 --> 00:00:38.000]  是我心裏很久放在心裏的幫助經文
[00:00:38.000 --> 00:00:45.000]  以及我自己如何理解經歷這段經文的心得
[00:00:45.000 --> 00:00:46.000]  跟大家一起分享
[00:00:46.000 --> 00:00:50.000]  我稱它為「意象與對工」
[00:00:50.000 --> 00:00:56.000]  我們開始的時候先代表布魯什樂園向大家問安
[00:00:56.000 --> 00:01:01.000]  不經不覺我這間什樂園已經侍奉了
[00:01:01.000 --> 00:01:04.000]  做院長做了11年的時間
[00:01:04.000 --> 00:01:07.000]  所以很快的今年年底我就會退休
[00:01:07.000 --> 00:01:11.000]  感謝主 過去這11年是豐富的恩典
[00:01:11.000 --> 00:01:14.000]  也給我有很多成長學習的地方
[00:01:14.000 --> 00:01:16.000]  今年年底就會結束
[00:01:16.000 --> 00:01:22.000]  我們希望在今年11月播到總會的聯議大會裏
[00:01:22.000 --> 00:01:26.000]  通過我們的下任院長 即是現在的副院長
[00:01:26.000 --> 00:01:30.000]  文傑敦博士成為播道會神學院裏的新一任院長
[00:01:30.000 --> 00:01:35.000]  我們的制度是需要整個中派的聯議大會通過的
[00:01:35.000 --> 00:01:37.000]  我覺得這個制度非常之好
[00:01:37.000 --> 00:01:39.000]  因為這個原因我才多留半年
[00:01:39.000 --> 00:01:42.000]  因為去年暑假應該夠時間走了
[00:01:42.000 --> 00:01:44.000]  現在多留半年
[00:01:44.000 --> 00:01:49.000]  1月之後我就會開始人生的另外一頁
[00:01:49.000 --> 00:01:54.000]  我們定了1月19日就是我們的新舊院長交職禮
[00:01:54.000 --> 00:01:57.000]  到時大家有時間歡迎大家一起出席
[00:01:57.000 --> 00:02:03.000]  我仍然在什樂園裏面很愛這間什樂園
[00:02:03.000 --> 00:02:06.000]  也感謝主讓我繼續侍奉
[00:02:06.000 --> 00:02:08.000]  這個學期我會開課
[00:02:08.000 --> 00:02:12.000]  應該是我這個學期在什樂園用院長身份最後一課
[00:02:12.000 --> 00:02:15.000]  如果大家有興趣可以參加什樂專題
[00:02:15.000 --> 00:02:20.000]  是一個信徒普及的證書課程的獨立的科目
[00:02:20.000 --> 00:02:23.000]  如果大家有興趣對一些神學的專題
[00:02:23.000 --> 00:02:26.000]  譬如說如果上帝甚麼都知道
[00:02:26.000 --> 00:02:29.000]  無所不知的為甚麼我們還要祈禱呢
[00:02:29.000 --> 00:02:32.000]  譬如預定論神預定人不救
[00:02:32.000 --> 00:02:34.000]  人有沒有真正的自由呢
[00:02:34.000 --> 00:02:36.000]  如果對這些問題有興趣的話
[00:02:36.000 --> 00:02:39.000]  歡迎你可以考慮報名參加
[00:02:39.000 --> 00:02:43.000]  今天就和大家透過士堂傳十六章
[00:02:43.000 --> 00:02:47.000]  到十節聖經和大家思想異象與對公的題目
[00:02:47.000 --> 00:02:49.000]  這段經文很特別的
[00:02:49.000 --> 00:02:52.000]  保羅在士堂傳裏面去了很多地方
[00:02:52.000 --> 00:02:54.000]  建立了不少的教會
[00:02:54.000 --> 00:03:00.000]  不過唯有這一次是上帝用神跡的方法
[00:03:00.000 --> 00:03:04.000]  一個異象的方法帶領他去一個工場
[00:03:04.000 --> 00:03:06.000]  這個很特別的地方
[00:03:06.000 --> 00:03:11.000]  保羅不是一個從天上掉下來的神人
[00:03:11.000 --> 00:03:14.000]  每一次都是上帝你去這裏你去那裏
[00:03:14.000 --> 00:03:16.000]  不是的 他按部就班的
[00:03:16.000 --> 00:03:21.000]  按當時的需要和他能力所及去的地方
[00:03:21.000 --> 00:03:25.000]  不過有時候上帝會主動走進他生命當中
[00:03:25.000 --> 00:03:29.000]  然後帶領他甚至指明他去哪裏
[00:03:29.000 --> 00:03:33.000]  所以這個經文是很特別的記載
[00:03:33.000 --> 00:03:35.000]  馬其頓異象
[00:03:35.000 --> 00:03:40.000]  我相信你在教會時日有一定的聽聞
[00:03:40.000 --> 00:03:42.000]  甚至有些機構都叫這個名字
