
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹你們好
[00:00:02.000 --> 00:00:05.000]  現在在居家抗疫的期間
[00:00:05.000 --> 00:00:07.000]  我們大家都在家裡
[00:00:07.000 --> 00:00:13.000]  我們教會現在都處理這個遠程的崇拜
[00:00:13.000 --> 00:00:16.000]  我覺得都是一個好處
[00:00:16.000 --> 00:00:19.000]  當然不好處就是大家在家裡
[00:00:19.000 --> 00:00:23.000]  有時比較不會那麼專注
[00:00:23.000 --> 00:00:25.000]  或者不會那麼敬虔
[00:00:25.000 --> 00:00:30.000]  不會安安靜靜
[00:00:30.000 --> 00:00:33.000]  所以我鼓勵頂姐妹在這段時間
[00:00:33.000 --> 00:00:36.000]  既然你已經上了網
[00:00:36.000 --> 00:00:39.000]  你來參加崇拜會的時候
[00:00:39.000 --> 00:00:41.000]  我就希望我們全注敬虔的心
[00:00:41.000 --> 00:00:46.000]  而且從頭到尾我們一起來敬拜我們的主
[00:00:46.000 --> 00:00:50.000]  當這個病毒擴散蔓延的時候
[00:00:50.000 --> 00:00:56.000]  很多城市都居家大家一起來抗疫
[00:00:56.000 --> 00:01:00.000]  所以有些人在家裡有時真的很悶
[00:01:00.000 --> 00:01:02.000]  有些悶到發慌
[00:01:02.000 --> 00:01:04.000]  好像坐牢一樣
[00:01:04.000 --> 00:01:06.000]  而且在這個期間裡
[00:01:06.000 --> 00:01:09.000]  我們看到很多奇奇怪怪的現象
[00:01:09.000 --> 00:01:11.000]  有人排長龍搶購東西
[00:01:11.000 --> 00:01:14.000]  有人仇視亞裔人士
[00:01:14.000 --> 00:01:17.000]  有人特別不知道為什麼
[00:01:17.000 --> 00:01:20.000]  心理上不太正常
[00:01:20.000 --> 00:01:23.000]  總是要向人咳嗽
[00:01:23.000 --> 00:01:25.000]  吐口水
[00:01:25.000 --> 00:01:27.000]  當然這些都是小事
[00:01:27.000 --> 00:01:31.000]  也體會到股市大跌
[00:01:31.000 --> 00:01:33.000]  很多人的退休金
[00:01:33.000 --> 00:01:41.000]  可能像大餅一樣被病毒的惡魔一口咬了
[00:01:41.000 --> 00:01:43.000]  剩下的也不是很多
[00:01:43.000 --> 00:01:46.000]  今天我要跟大家講一段經文
[00:01:46.000 --> 00:01:50.000]  就是從居家抗疫裡走出去
[00:01:50.000 --> 00:01:53.000]  這個題目有點特別
[00:01:53.000 --> 00:01:58.000]  這個題目其實是說到我們在居家抗疫的時候
[00:01:58.000 --> 00:02:01.000]  我們都不要做封閉的一族
[00:02:01.000 --> 00:02:04.000]  我們不要閉門造車
[00:02:04.000 --> 00:02:06.000]  然後躲起來
[00:02:06.000 --> 00:02:11.000]  自己在自己的小小的世界裡過生活
[00:02:11.000 --> 00:02:17.000]  今天的經文是在約翰福音第20章第19到29節
[00:02:17.000 --> 00:02:23.000]  這段經文我先跟大家讀第19到第20節
[00:02:23.000 --> 00:02:28.000]  那一天就是七日的第一日晚上
[00:02:28.000 --> 00:02:33.000]  門徒所在的地方因怕猶太人門都關了
[00:02:33.000 --> 00:02:36.000]  耶穌來站在當中對他們說
[00:02:36.000 --> 00:02:38.000]  願你們平安
[00:02:38.000 --> 00:02:43.000]  說了這話就把手和肋旁指給他們看
[00:02:43.000 --> 00:02:47.000]  門徒看見主就喜樂了
[00:02:47.000 --> 00:02:51.000]  這段經文其實一直讀下去我只是讀了第一段
[00:02:51.000 --> 00:02:55.000]  我們可以說它是一種三文字結構
[00:02:55.000 --> 00:02:58.000]  或者說漢堡包的結構
[00:02:58.000 --> 00:03:02.000]  這段經文用三個願你們平安
[00:03:02.000 --> 00:03:06.000]  可以明顯地分出三個段落
[00:03:06.000 --> 00:03:10.000]  第一段是耶穌復活那天晚上
[00:03:10.000 --> 00:03:15.000]  那群門徒聚集在自己的房子裡
[00:03:15.000 --> 00:03:17.000]  門都關了
[00:03:17.000 --> 00:03:20.000]  耶穌向十個門徒顯現
[00:03:20.000 --> 00:03:26.000]  然後他賜聖靈給他們傳道
[00:03:26.000 --> 00:03:29.000]  最後一段因為多瑪在第一天
[00:03:29.000 --> 00:03:32.000]  他沒有在他們當中
[00:03:32.000 --> 00:03:34.000]  不知道什麼原因
[00:03:34.000 --> 00:03:41.000]  在七天之後再一次顯現給多瑪的門徒
[00:03:41.000 --> 00:03:43.000]  即是十一個人
[00:03:43.000 --> 00:03:50.000]  其實如果多瑪第一次在這裡
[00:03:50.000 --> 00:03:53.000]  應該就不需要第二段了
[00:03:53.000 --> 00:03:56.000]  第二段和第一段耶穌都是跟他們說
[00:03:56.000 --> 00:03:58.000]  願你們平安
[00:03:58.000 --> 00:04:03.000]  我覺得這兩個應該是三文字的兩塊麵包
[00:04:03.000 --> 00:04:07.000]  也是漢堡包的兩塊冰
[00:04:07.000 --> 00:04:10.000]  而中間那段其實是最重要的
[00:04:10.000 --> 00:04:14.000]  中間那段是耶穌向他們出一口氣
[00:04:14.000 --> 00:04:17.000]  然後說你們要受聖靈
[00:04:17.000 --> 00:04:20.000]  然後差遣他們出去
[00:04:20.000 --> 00:04:24.000]  所以我現在先和大家說那兩塊麵包
[00:04:24.000 --> 00:04:27.000]  然後到最後我們就將高潮
[00:04:27.000 --> 00:04:32.000]  重點核心放在最後的地方
[00:04:32.000 --> 00:04:37.000]  耶穌基督來到這班門徒中間的時候
[00:04:37.000 --> 00:04:40.000]  聖經告訴我們他們因為怕猶太人
[00:04:40.000 --> 00:04:45.000]  所以門都關了
[00:04:45.000 --> 00:04:47.000]  這些門徒其實很可憐
[00:04:47.000 --> 00:04:49.000]  為什麼可憐呢
[00:04:49.000 --> 00:04:52.000]  因為他們本來跟從耶穌的時候
[00:04:52.000 --> 00:04:54.000]  就認定耶穌是尼塞亞
[00:04:54.000 --> 00:04:57.000]  他們要設立國道
[00:04:57.000 --> 00:05:00.000]  而他們單純的跟隨耶穌
[00:05:00.000 --> 00:05:06.000]  希望能夠看到神的應許在他們身上顯現和成就
[00:05:06.000 --> 00:05:11.000]  誰知道耶穌沒有在他們的期望當中
[00:05:11.000 --> 00:05:14.000]  而竟然上十字架
[00:05:14.000 --> 00:05:16.000]  而竟然死了
[00:05:16.000 --> 00:05:19.000]  所以對他們來說是一個很大的打擊
