
[00:00:00.000 --> 00:00:06.000]  第一節會早晨,我們一起祈禱
[00:00:06.000 --> 00:00:14.000]  慈悲人愛的天父,我們仰望你的話語,在一朝早日,在新的一年第一個的主日
[00:00:14.000 --> 00:00:19.000]  我們立定心志,很想在你的話語中得著你的心意
[00:00:19.000 --> 00:00:25.000]  幫助我們每一個能夠今天有謙卑的心,去吸收你寶貴的道
[00:00:25.000 --> 00:00:34.000]  幫助孩子講解你的話語,清楚明白,我們一同去到領受,禱告,是奉耶穌基督命求,阿門
[00:00:34.000 --> 00:00:39.000]  《納石遺記》,約書亞記的四章一到十三節的經文
[00:00:39.000 --> 00:00:45.000]  這段的經文,其實我三個以前提到的,就是約書亞記的第一章
[00:00:45.000 --> 00:00:51.000]  我們今天一跳,就跳到去那個過約旦河的一段這樣的經歷
[00:00:51.000 --> 00:00:56.000]  就是記載在約書亞記的第四章裡面,我和大家看看,其實這條叫約旦河
[00:00:56.000 --> 00:01:01.000]  有點像元朗的河,這條河就不是想像中那麼漂亮
[00:01:01.000 --> 00:01:06.000]  其實河床又不是太深的一段這樣的河流
[00:01:06.000 --> 00:01:10.000]  以色列民要得地為業,就一定要過約旦河
[00:01:10.000 --> 00:01:14.000]  約旦河對神的子民來說,是一個生命重要的關口
[00:01:14.000 --> 00:01:21.000]  是應許之地的分界,這個約旦河的存在表面上是一種困難或者困苦
[00:01:21.000 --> 00:01:26.000]  但卻是經驗神蹟,以及應許之地的重要的里程碑
[00:01:26.000 --> 00:01:31.000]  百姓一定要過約旦河,才能夠繼續前行
[00:01:31.000 --> 00:01:35.000]  否則,他就只能夠原地踏步毫無進展
[00:01:35.000 --> 00:01:40.000]  約旦河之所以可怕,不是因為他很難過,不是很難過到
[00:01:40.000 --> 00:01:45.000]  而是因為他作為分界兩種領域的一個重要界線
[00:01:45.000 --> 00:01:50.000]  約旦河的這一邊,也就是現在以色列民站在的那一邊
[00:01:50.000 --> 00:01:54.000]  其實是一個安全區,這個區域是自己熟悉的區域
[00:01:54.000 --> 00:02:00.000]  河東的兩個半支派,裡面加特半個馬拿西的支派
[00:02:00.000 --> 00:02:03.000]  已經在這個區域裡面去到安頓下來
[00:02:03.000 --> 00:02:06.000]  分界的另外一邊,是一個危險的區域
