
[00:00:00.000 --> 00:00:03.000]  有機會和大家一起分享一切
[00:00:03.000 --> 00:00:05.500]  敬拜實在是神給我們的福分
[00:00:05.500 --> 00:00:08.000]  也是神特別給我的恩典
[00:00:08.000 --> 00:00:12.000]  來到一個很漂亮很好的教堂
[00:00:12.000 --> 00:00:16.000]  可以能夠一起唱很好的詩歌
[00:00:16.000 --> 00:00:18.000]  所以特別是親切
[00:00:18.000 --> 00:00:23.000]  尤其是我對中國的情懷和負擔特別重
[00:00:23.000 --> 00:00:26.000]  看到詩歌全部用簡體字來寫
[00:00:26.000 --> 00:00:28.000]  特別是寫得很醒目
[00:00:28.000 --> 00:00:34.000]  表示大家對簡體字有完全把握
[00:00:34.000 --> 00:00:37.000]  為什麼會用簡體字呢?
[00:00:37.000 --> 00:00:41.000]  OK,不說這些,說笑的
[00:00:41.000 --> 00:00:46.000]  今天是我這次行程裡最後一次講道
[00:00:46.000 --> 00:00:47.000]  所以特別輕鬆
[00:00:47.000 --> 00:00:49.000]  但是也特別沉重
[00:00:49.000 --> 00:00:51.000]  因為這個題目是很難講的
[00:00:51.000 --> 00:00:53.000]  這個題目不是我選的
[00:00:53.000 --> 00:00:54.000]  是你們出給我的
[00:00:54.000 --> 00:00:58.000]  出來講道也是要付出代價
[00:00:58.000 --> 00:01:01.000]  你們的題目是
[00:01:01.000 --> 00:01:08.000]  如何可以對政府和社會公義
[00:01:08.000 --> 00:01:11.000]  基督徒應該採取什麼立場
[00:01:11.000 --> 00:01:15.000]  還有些暗示說不如你說一下佔中
[00:01:15.000 --> 00:01:20.000]  那真的很難
[00:01:20.000 --> 00:01:21.000]  為什麼呢?
[00:01:21.000 --> 00:01:23.000]  一會兒我會稍微解釋給大家聽
[00:01:23.000 --> 00:01:25.000]  特別指定講解
[00:01:25.000 --> 00:01:28.000]  研究剛才所讀的聖經
[00:01:28.000 --> 00:01:32.000]  羅馬書第十三章一到第七節
[00:01:32.000 --> 00:01:34.000]  如果你有聖經也可以打開
[00:01:34.000 --> 00:01:37.000]  否則我已經給了大綱
[00:01:37.000 --> 00:01:38.000]  有沒有打出來?
[00:01:38.000 --> 00:01:39.000]  有的,是吧?
[00:01:39.000 --> 00:01:40.000]  一定要有大綱
[00:01:40.000 --> 00:01:44.000]  因為有很多東西要在那裡幫助我
[00:01:44.000 --> 00:01:47.000]  能夠表達得清楚一點
[00:01:47.000 --> 00:01:48.000]  好嗎?
[00:01:48.000 --> 00:01:49.000]  有了
[00:01:49.000 --> 00:01:51.000]  講到那裡請大家
[00:01:51.000 --> 00:01:53.000]  POWERPOINT的頂尖姐妹幫忙
[00:01:53.000 --> 00:01:55.000]  其實我一直這樣講下去
[00:01:55.000 --> 00:01:57.000]  不會跳來跳去
[00:01:57.000 --> 00:01:59.000]  所以應該講到那裡就行了
[00:01:59.000 --> 00:02:00.000]  好
[00:02:00.000 --> 00:02:03.000]  今天其實像一個專題
