
[00:00:00.000 --> 00:00:08.000]  幾年前看到有個間接認識一個家庭
[00:00:08.000 --> 00:00:13.000]  這個家庭裏面有一個14歲的獨子
[00:00:13.000 --> 00:00:15.000]  父母都非常忙碌
[00:00:15.000 --> 00:00:20.000]  因為做生意的緣故,兩夫婦經常都要9點10點以後才回家
[00:00:20.000 --> 00:00:25.000]  所以因為這個緣故,請了一個菲傭從小到大照顧這個兒子
[00:00:25.000 --> 00:00:28.000]  這個兒子接觸菲傭是比父母多很多
[00:00:28.000 --> 00:00:32.000]  因為平時這個兒子只有菲傭煮飯給他吃
[00:00:32.000 --> 00:00:34.000]  他吃飯的時候養成了一種習慣
[00:00:34.000 --> 00:00:37.000]  就是拿著一碗飯在電視機前面吃
[00:00:37.000 --> 00:00:40.000]  一直都是這樣
[00:00:40.000 --> 00:00:45.000]  有一晚,父母特別早回家
[00:00:45.000 --> 00:00:50.000]  回家的時候很難得一年才一兩次可以一起吃飯
[00:00:50.000 --> 00:00:53.000]  誰知這個兒子遇上了14歲的他
[00:00:53.000 --> 00:00:57.000]  拿著一碗飯馬上走到電視機前面吃
[00:00:57.000 --> 00:01:00.000]  不和家人聊天,習慣了就去了那裏
[00:01:00.000 --> 00:01:02.000]  這個爸爸就很不開心
[00:01:02.000 --> 00:01:04.000]  就罵他
[00:01:04.000 --> 00:01:07.000]  「幹什麼?嫌我們腥?嫌我們臭?
[00:01:07.000 --> 00:01:09.000]  為什麼不坐過來?
[00:01:09.000 --> 00:01:11.000]  為什麼要拿著一碗飯走去那裏?
[00:01:11.000 --> 00:01:13.000]  電視機比對爸爸好?」
[00:01:13.000 --> 00:01:16.000]  這個兒子不肯承認
[00:01:16.000 --> 00:01:18.000]  看了一看
[00:01:18.000 --> 00:01:23.000]  但是無動於衷,繼續坐在那裏,繼續看電視
[00:01:23.000 --> 00:01:25.000]  這個爸爸就很不客氣
[00:01:25.000 --> 00:01:27.000]  最後他就走到一個地方關了電視
[00:01:27.000 --> 00:01:29.000]  一巴掌打下去
[00:01:29.000 --> 00:01:31.000]  「我叫你幹什麼?
[00:01:31.000 --> 00:01:33.000]  幹什麼還不回來這裏吃?
[00:01:33.000 --> 00:01:35.000]  為什麼要坐在這裏?」
[00:01:35.000 --> 00:01:37.000]  這個兒子當時
[00:01:37.000 --> 00:01:39.000]  「平時都是這樣的,什麼時候見你和我一起吃飯?」
[00:01:39.000 --> 00:01:42.000]  然後就把一碗飯很大力地扔在地上
