
[00:00:00.000 --> 00:00:11.440]  今天和大家分享的信息是突破界限 放眼神博
[00:00:11.440 --> 00:00:20.080]  這段經文很有趣 說到若舒婭已經進入了迦南地
[00:00:20.080 --> 00:00:23.200]  在迦南地的時候 神祝福她
[00:00:23.200 --> 00:00:26.320]  叫她在這裡奪取了一個地方
[00:00:26.320 --> 00:00:29.360]  成為她在那裡流淚與物之地
[00:00:29.360 --> 00:00:32.880]  在十一章十六到十八節
[00:00:32.880 --> 00:00:35.600]  若舒婭奪取了全地
[00:00:35.600 --> 00:00:41.200]  就是山地一帶的南地 高山高原阿拉巴爾式的山地和山的高原
[00:00:41.200 --> 00:00:44.720]  其實這個地方是相當大的
[00:00:44.720 --> 00:00:49.440]  我們看下一張 在這個地方裡面地圖可能看不到
[00:00:49.440 --> 00:00:56.160]  由上西爾的哈拉山到黑門山那的尼巴嫩平原的巴釐加登
[00:00:56.160 --> 00:00:59.360]  由秦王那裡的諸王殺了他們
[00:00:59.360 --> 00:01:04.480]  十八節就是若舒婭和諸王爭戰了許多年
[00:01:04.480 --> 00:01:07.280]  容易的 神祝福她
[00:01:07.280 --> 00:01:09.520]  我們看下一張
[00:01:09.520 --> 00:01:13.600]  若舒婭照著耶和所吩咐的一切話
[00:01:13.600 --> 00:01:14.720]  奪取了全地
[00:01:14.720 --> 00:01:19.040]  就按照以色列支派的宗族將地分給他們為業
[00:01:19.040 --> 00:01:23.200]  於是各州太平了沒有爭戰了
[00:01:23.200 --> 00:01:26.400]  空了是吧 收工了 很開心了
[00:01:26.400 --> 00:01:28.960]  仗打完了 安居樂業
[00:01:28.960 --> 00:01:34.800]  在這裡大家可以說神很恩待過去
[00:01:34.800 --> 00:01:40.080]  神很使用一幫執事長老和全屬同胞
[00:01:40.080 --> 00:01:44.480]  建立教會 教會在過去的二十年一直祝福
[00:01:44.480 --> 00:01:46.480]  教會又祝福社區
[00:01:46.480 --> 00:01:53.840]  若舒婭來到這裡應該是休息的時候
[00:01:53.840 --> 00:01:56.880]  應該冒險去建設教會
[00:01:56.880 --> 00:02:03.040]  誰知道跟著經文令若舒婭非常驚訝
[00:02:03.040 --> 00:02:06.560]  十三章一節我們一起讀
[00:02:06.560 --> 00:02:10.000]  若舒婭年紀老邁
[00:02:10.000 --> 00:02:12.000]  耶和對她說
[00:02:12.320 --> 00:02:14.320]  你年紀老邁了
[00:02:14.320 --> 00:02:16.800]  還有很多未得之地
[00:02:16.800 --> 00:02:19.600]  我讀這些直經就像神跟我說的
[00:02:19.600 --> 00:02:21.600]  你年紀老邁了
[00:02:21.600 --> 00:02:23.600]  原來工作未完
[00:02:23.600 --> 00:02:25.600]  不要那麼快收工了
[00:02:25.600 --> 00:02:27.600]  還有很多未得之地
[00:02:27.600 --> 00:02:29.600]  若舒婭怎麼面對呢
[00:02:29.600 --> 00:02:31.600]  神就說
[00:02:31.600 --> 00:02:33.600]  原來有個計劃
[00:02:33.600 --> 00:02:35.600]  在經文里我們看到
[00:02:35.600 --> 00:02:39.040]  教會真的發展到一個地步
[00:02:39.040 --> 00:02:43.520]  有時我們覺得差不多了
[00:02:43.520 --> 00:02:46.720]  還是心滿意足的時候
[00:02:46.720 --> 00:02:48.720]  神就跟我們說
[00:02:48.720 --> 00:02:50.720]  就像跟若舒婭說
[00:02:50.720 --> 00:02:52.720]  還有很多未得之地
[00:02:52.720 --> 00:02:54.720]  未完的不要那麼快
[00:02:54.720 --> 00:03:00.000]  我剛才唱王爵方牧師的歌
[00:03:00.000 --> 00:03:02.000]  很有意思
[00:03:02.000 --> 00:03:04.000]  是繼續的
[00:03:04.000 --> 00:03:06.000]  一路向前的
[00:03:06.000 --> 00:03:08.000]  年年月月秒秒
[00:03:08.000 --> 00:03:10.000]  工作未完
[00:03:10.000 --> 00:03:12.000]  神在計劃中繼續
[00:03:12.000 --> 00:03:16.320]  我看看神怎麼跟若舒婭說
[00:03:16.320 --> 00:03:18.320]  什麼叫未得之地
[00:03:18.320 --> 00:03:20.320]  我看下去
[00:03:20.320 --> 00:03:23.040]  未得之地在十三章
[00:03:23.040 --> 00:03:26.560]  非理事人的全境和基層的全地
[00:03:26.560 --> 00:03:28.560]  在沿海一帶
[00:03:28.560 --> 00:03:30.560]  當時還沒有得到
[00:03:30.560 --> 00:03:36.800]  非理事人之地要到大魏的年代才得到
[00:03:36.800 --> 00:03:38.800]  上帝一早說
[00:03:38.800 --> 00:03:40.800]  那地是給你的
[00:03:40.800 --> 00:03:42.800]  然後大家可能不知道
[00:03:42.800 --> 00:03:48.800]  地圖當時所有的地很小
[00:03:48.800 --> 00:03:50.800]  他們說不是
[00:03:50.800 --> 00:03:52.800]  我可以告訴你們
[00:03:52.800 --> 00:03:54.800]  第三節
[00:03:54.800 --> 00:03:56.800]  埃及前的西郭河往北
[00:03:56.800 --> 00:03:58.800]  直到以格倫屬加南人之地
[00:03:58.800 --> 00:04:00.800]  有非理事人五個首領管轄的
[00:04:00.800 --> 00:04:02.800]  阿薩特人
[00:04:02.800 --> 00:04:04.800]  阿薩基倫
[00:04:04.800 --> 00:04:06.800]  以格倫人
[00:04:06.800 --> 00:04:08.800]  南方阿維
[00:04:08.800 --> 00:04:10.800]  上帝說
[00:04:10.800 --> 00:04:12.800]  我給加南地
