
[00:00:00.000 --> 00:00:03.400]  自認懷才不遠 嚇我一大跳
[00:00:03.400 --> 00:00:06.600]  究竟是天王我也還是天助我也呢
[00:00:06.600 --> 00:00:10.460]  一樣題目 當然要看看他講什麼
[00:00:10.460 --> 00:00:14.680]  專家教你擺鐵困境 懷才不遠
[00:00:14.680 --> 00:00:16.180]  昨天出的 星期六
[00:00:16.180 --> 00:00:23.240]  第一時間看完 當然太常識了
[00:00:23.240 --> 00:00:25.240]  當有幫助的 開展有益
[00:00:25.240 --> 00:00:30.240]  向大家報告 他歸納幾個要點
[00:00:30.240 --> 00:00:34.000]  主要是商界 主要是百靈
[00:00:34.000 --> 00:00:37.560]  他歸納做1 2 3 4 5個提議 全部是對的
[00:00:37.560 --> 00:00:42.480]  第一 凡事要朝好的方便去想
[00:00:42.480 --> 00:00:45.560]  這五點講完之後 你會發覺
[00:00:45.560 --> 00:00:47.560]  媽媽是女人來的
[00:00:47.560 --> 00:00:52.160]  媽媽當然是女人 你不能說她錯
[00:00:52.160 --> 00:00:56.160]  擺鐵困境 覺得自己懷才不遠
[00:00:56.160 --> 00:00:58.160]  其實每個人都覺得自己懷才不遠
[00:00:58.160 --> 00:01:01.760]  第一個辦法就是凡事朝好的方向想
[00:01:01.760 --> 00:01:08.080]  第二 讓工作更具激勵性 工作有味道
[00:01:08.080 --> 00:01:13.360]  第三 利用低潮期間自我盡收
[00:01:13.360 --> 00:01:17.680]  第四 工作不是人生的全部
[00:01:17.680 --> 00:01:22.000]  第五 掌握跳槽的最佳時機
[00:01:22.000 --> 00:01:24.000]  當然大家知道他的立場
[00:01:24.000 --> 00:01:26.000]  當然他這裏不是宣揚法輪功的東西
[00:01:26.000 --> 00:01:28.000]  但是鳳子不會講基督教的
[00:01:28.000 --> 00:01:31.360]  講一些疑似佛教的東西 但又未必是
[00:01:31.360 --> 00:01:35.520]  這個理論上是翻譯出來的
[00:01:35.520 --> 00:01:37.520]  那個人叫李維維 不知道是誰來的
[00:01:37.520 --> 00:01:40.480]  用了英文 表示有公信力
[00:01:40.480 --> 00:01:44.160]  Boring, Honor, Work, Life 什麼的
[00:01:44.160 --> 00:01:46.560]  重複 五點提議
[00:01:46.560 --> 00:01:48.560]  凡事朝好的方向想
[00:01:48.560 --> 00:01:54.720]  讓工作更具激勵性 利用低潮時期自我盡收
[00:01:54.720 --> 00:01:56.720]  工作非人生的全部
[00:01:56.720 --> 00:01:58.720]  所以就算工作懷才不遠也不要緊
[00:01:58.720 --> 00:02:00.720]  人生不短的意思
[00:02:00.720 --> 00:02:03.520]  掌握跳槽的最佳時機 想想不對勁
[00:02:03.520 --> 00:02:07.120]  拼命工作 其實每個人都懂得這一點
[00:02:07.120 --> 00:02:10.400]  大家會發覺 我今早拿了中午回來看
