
[00:00:00.000 --> 00:00:12.000]  今天我們要看的經文是記載在馬可福音第十三章二十八節到三十一節
[00:00:16.000 --> 00:00:30.000]  以及一個記載我們可以在馬太福音第二十四章三十二節到三十三節或是路加二十一章二十九三十一節都有看到的
[00:00:30.000 --> 00:00:35.000]  但是馬可這個特別是重要的
[00:00:35.000 --> 00:00:41.000]  我們試試看這一段馬可的記載
[00:00:41.000 --> 00:00:53.000]  題目就是人子近了馬可福音十三章二十八節到三十一節
[00:00:53.000 --> 00:01:05.000]  馬可福音十三章二十八節到三十一節請聽我讀出來
[00:01:05.000 --> 00:01:17.000]  你們可以從無花果樹學個比方,當樹枝發亂長葉的時候,你們就知道夏天近了
[00:01:17.000 --> 00:01:28.000]  這樣你們何時看見這些事成就,也該知道人子近了,正在門口了
[00:01:28.000 --> 00:01:36.000]  我實在告訴你們,這世代還沒有過去,這些事都要成就
[00:01:36.000 --> 00:01:43.000]  天地要廢去,我的話卻不能廢去
[00:01:43.000 --> 00:01:58.000]  這四節的聖經我們常常都聽到人用它來說到耶穌再來,而且是快再來的經文
[00:01:58.000 --> 00:02:06.000]  那個意思就是說當無花果樹發亂長葉,人子就近了
[00:02:06.000 --> 00:02:16.000]  無花果樹發亂長葉,我們常常聽到的解釋就是由大國復國,由大國既然已經復國
[00:02:16.000 --> 00:02:26.000]  所以耶穌的再來就是any time, any moment,任何一個時間都可以來了
[00:02:26.000 --> 00:02:40.000]  我們在解釋比喻的過去11個星期,我們不斷的重複了一個解比喻的原則
[00:02:40.000 --> 00:02:52.000]  就是如果我們要知道一個比喻是講什麼東西,首先我們要知道當初那個比喻是想解答什麼問題
[00:02:52.000 --> 00:03:01.000]  門徒帶著什麼問題來到耶穌面前,以至耶穌非要用這個比喻解釋,那些門徒是不明白的
[00:03:01.000 --> 00:03:12.000]  很明顯當耶穌用無花果樹做比喻的時候,它是指到祂的再來
[00:03:12.000 --> 00:03:26.000]  但是耶穌的再來更加明顯的,就不是當初門徒要問的問題,門徒不單止不會問到耶穌何時再回來
[00:03:26.000 --> 00:03:38.000]  他們甚至不明白耶穌會快就去,他們甚至不知道耶穌必須要離去的,他們不知道的
[00:03:38.000 --> 00:03:46.000]  換句話說,我們一直用了這一節來解釋由大復國,是解錯了的
[00:03:46.000 --> 00:03:54.000]  我們會指出,正因為我們誤解了這一節的意思,這個比喻的意思
[00:03:54.000 --> 00:04:01.000]  以至裡面一個最重要的基督教的信仰是出不來的,那個就是希望
[00:04:01.000 --> 00:04:10.000]  耶穌的再來成了一種恐嚇,一種威脅,但不是一種希望
[00:04:10.000 --> 00:04:20.000]  在今天我們需要重新再建立的,是希望給我們的支持力
[00:04:20.000 --> 00:04:28.000]  所以我們一定要去明白,到底這個的比喻要講的是什麼
[00:04:28.000 --> 00:04:33.000]  解釋這個比喻的關鍵,事實上是在第29節
[00:04:33.000 --> 00:04:45.000]  那裏說這樣,你們何時看見這些事成就了
[00:04:45.000 --> 00:04:54.000]  然後你就知道人子近了,已經在門口了,那這些事是什麼事呢
[00:04:54.000 --> 00:05:02.000]  這些是必有所指的事來的,要明白這些事和所帶出的意思
[00:05:02.000 --> 00:05:11.000]  我們就先要明白整個馬可福音第13章是講什麼的
[00:05:11.000 --> 00:05:15.000]  它在整本馬可福音裏面,它佔的是什麼位置
[00:05:15.000 --> 00:05:23.000]  然後我們先要看這個比喻,在馬可福音第13章是想解決什麼的問題
[00:05:23.000 --> 00:05:33.000]  所以我們第一步先看一下,馬可福音第13章28至31節
[00:05:33.000 --> 00:05:39.000]  在整本馬可福音的那個位置是怎樣
[00:05:39.000 --> 00:05:48.000]  第13章是馬可記載耶穌基督的言論最長的一章
[00:05:48.000 --> 00:05:58.000]  而這個言論這個訓詞就是在耶穌快要離開世界之前
[00:05:58.000 --> 00:06:05.000]  以後是在橄欖山上面講的,所以一般來我們就稱這一章聖經
[00:06:05.000 --> 00:06:14.000]  就叫做橄欖山的講章,又因為這個是他的臨別訓詞
[00:06:14.000 --> 00:06:20.000]  所以裏面有些格式和內容我們先要留意一下
[00:06:20.000 --> 00:06:31.000]  馬可前面的12章就是記載耶穌在地上的所有的言和行
[00:06:31.000 --> 00:06:37.000]  但是現在來到一個段落,要結束了,這個是1至12章要講的
[00:06:37.000 --> 00:06:45.000]  由第14章到第16章就是記載耶穌人生最後的一個的路程
[00:06:45.000 --> 00:06:53.000]  包括設立這個愚蠢晚餐,被捕,受審,釘死和復活
[00:06:53.000 --> 00:06:56.000]  這個就是14至16章所講的
[00:06:56.000 --> 00:07:08.000]  那13章就剛剛在兩個的大段,一個的銜接點,一個的關鍵點
[00:07:08.000 --> 00:07:15.000]  剛才我們說,整章聖經是耶穌基督在橄欖山上面講的
[00:07:15.000 --> 00:07:17.000]  又是一個的臨別贈言
[00:07:17.000 --> 00:07:22.000]  橄欖山最出名的其中一樣東西當然是橄欖
[00:07:22.000 --> 00:07:27.000]  但是與其齊名的是什麼呢?就是無花果樹
[00:07:27.000 --> 00:07:36.000]  耶穌是就地取材,講到一個祂快要離開這班悶吐
[00:07:36.000 --> 00:07:40.000]  所以祂提出了一個很長的解釋
[00:07:40.000 --> 00:07:45.000]  那個解釋就是臨別贈言,一個farewell speech
[00:07:45.000 --> 00:07:49.000]  這個臨別贈言是有一個很獨特的格式
[00:07:49.000 --> 00:07:57.000]  那個格式是怎樣的呢?就是祂會預言未來有快要來的事情
[00:07:57.000 --> 00:08:03.000]  還有是勸勉他們現在要注意的事情
[00:08:03.000 --> 00:08:08.000]  所以就是一種的展望和現在的一種的提醒
[00:08:08.000 --> 00:08:10.000]  這是一個格式
[00:08:10.000 --> 00:08:14.000]  那個內容有什麼特色呢?那個特色就是這樣
[00:08:14.000 --> 00:08:24.000]  在整張第十三章聖經裡面耶穌基督是很渾存地用了四個要謹慎
[00:08:24.000 --> 00:08:27.000]  要謹慎,要謹慎,要謹慎
[00:08:27.000 --> 00:08:31.000]  來去提醒他們要謹慎注意什麼東西
[00:08:31.000 --> 00:08:36.000]  這個就是臨別贈言的內容
[00:08:36.000 --> 00:08:38.000]  比如說第五節
[00:08:38.000 --> 00:08:40.000]  你們要謹慎
[00:08:40.000 --> 00:08:43.000]  因為有異端要興起
[00:08:43.000 --> 00:08:50.000]  周柱有人說我是基督,我是這個明亮的神聖
[00:08:50.000 --> 00:08:55.000]  我們要謹慎了,這個就是三到八節所以要解釋的
[00:08:55.000 --> 00:08:59.000]  然後第二個要謹慎在第九節
[00:08:59.000 --> 00:09:03.000]  為什麼要謹慎呢?因為有逼迫臨道
[00:09:03.000 --> 00:09:08.000]  不信的人他們會迫害那些信耶穌的人
[00:09:08.000 --> 00:09:12.000]  這個是九到十三節所以要解釋的
[00:09:12.000 --> 00:09:15.000]  第三個要謹慎在二十三節
[00:09:15.000 --> 00:09:22.000]  為什麼?因為有天災橫禍降到我們這個世上
[00:09:22.000 --> 00:09:27.000]  有地震,有日月的變色,有山河的改道
[00:09:27.000 --> 00:09:32.000]  所以你要謹慎災禍要臨道了
[00:09:32.000 --> 00:09:34.000]  十四到二十七節
[00:09:34.000 --> 00:09:38.000]  然後第四個要謹慎在三十三節
[00:09:38.000 --> 00:09:40.000]  為什麼要謹慎呢?
[00:09:40.000 --> 00:09:43.000]  因為有些人看到耶穌這麼久都沒有回來
[00:09:43.000 --> 00:09:45.000]  他覺得他延遲了
[00:09:45.000 --> 00:09:50.000]  有些人看到災禍連連,天災橫禍
[00:09:50.000 --> 00:09:55.000]  人就灰心喪志了,以至沉睡了
[00:09:55.000 --> 00:10:00.000]  所以耶穌說你要謹慎還要警醒禱告
[00:10:00.000 --> 00:10:03.000]  第28到37節
[00:10:03.000 --> 00:10:11.000]  這個就是十三章所要解釋的,所要說的臨別贈言
[00:10:11.000 --> 00:10:20.000]  現在我們要看這個比喻在十三章的位置是怎樣
[00:10:20.000 --> 00:10:27.000]  耶穌基督在這個比喻是先說了
[00:10:27.000 --> 00:10:33.000]  他的在離是一種蒙福的日子
[00:10:33.000 --> 00:10:40.000]  審判和災禍只是第二層的意義
[00:10:40.000 --> 00:10:42.000]  不是第一層的意思
[00:10:42.000 --> 00:10:48.000]  我們就發覺耶穌這個比喻其實是針對著什麼來說的
[00:10:48.000 --> 00:10:50.000]  在剛才我們的分析裡面
[00:10:50.000 --> 00:10:53.000]  你有沒有留意到我們漏了兩節聖經
[00:10:53.000 --> 00:10:55.000]  就是第一第二節
[00:10:55.000 --> 00:10:57.000]  第二節是解釋什麼的呢
[00:10:57.000 --> 00:11:01.000]  耶穌說這個聖殿是最重要的
[00:11:01.000 --> 00:11:05.000]  但是很快聖殿就要被拆毀了
[00:11:05.000 --> 00:11:08.000]  一塊石頭不再留在另一塊石頭上面
[00:11:08.000 --> 00:11:11.000]  是這個信息猶太人就害怕得不得了
[00:11:11.000 --> 00:11:16.000]  於是他們就問了這些事何時發生的
[00:11:16.000 --> 00:11:20.000]  耶穌就說什麼時候會發生
[00:11:20.000 --> 00:11:24.000]  我就告訴你
[00:11:24.000 --> 00:11:31.000]  是無花果比喻要嘗試解釋的問題
[00:11:31.000 --> 00:11:35.000]  滿土因為看到聖殿快要被毀
[00:11:35.000 --> 00:11:37.000]  他們非常的驚慌
[00:11:37.000 --> 00:11:41.000]  耶穌用無花果來比喻指出
[00:11:41.000 --> 00:11:48.000]  聖殿的拆毀未必然是一種災禍
[00:11:48.000 --> 00:11:54.000]  原來猶太人是非常重視聖殿的
[00:11:54.000 --> 00:12:01.000]  聖殿的避諱對他們來說是太厲害的一種懲罰
[00:12:01.000 --> 00:12:06.000]  耶穌藉著這個無花果比喻指出了三件事
[00:12:06.000 --> 00:12:10.000]  第一他說人只近
[00:12:10.000 --> 00:12:13.000]  就是說天國近
[00:12:13.000 --> 00:12:17.000]  是猶太人一直等待的榮耀的日子
[00:12:17.000 --> 00:12:21.000]  所以不要只看到舊的要過去
[00:12:21.000 --> 00:12:27.000]  要注意新的要來臨
[00:12:27.000 --> 00:12:32.000]  很可能這個是傳統教會解釋的比喻
[00:12:32.000 --> 00:12:35.000]  常常忽略的一點地方來
[00:12:35.000 --> 00:12:40.000]  忘記了新的要來
[00:12:40.000 --> 00:12:44.000]  不只是舊的要受審判和要過去
[00:12:44.000 --> 00:12:49.000]  耶穌的在來永遠是指著那個新天新地
[00:12:49.000 --> 00:12:51.000]  不只是指著那七年的災難
[00:12:51.000 --> 00:12:53.000]  或者是七個大災難
[00:12:53.000 --> 00:12:57.000]  我們將重點放錯了、放歪了
[00:12:57.000 --> 00:13:02.000]  第二人只來的時候也是審判的時候
[00:13:02.000 --> 00:13:05.000]  這個審判是普世聖約
[00:13:05.000 --> 00:13:13.000]  所以不要只注意一國一族一民的福祉、得失
[00:13:13.000 --> 00:13:19.000]  要注意的是整個世界所要面臨的審判
[00:13:19.000 --> 00:13:25.000]  這些是有傳統的宗派恆久忽略的
[00:13:25.000 --> 00:13:27.000]  猶太教忽略
[00:13:27.000 --> 00:13:30.000]  我們今天的大宗派也都常忽略了
[00:13:30.000 --> 00:13:33.000]  甚至我們有時說到耶穌的在來
[00:13:33.000 --> 00:13:36.000]  就是保世人成為神的兒子
[00:13:36.000 --> 00:13:39.000]  這個時代來臨
[00:13:39.000 --> 00:13:41.000]  一種所謂的補救主義
[00:13:41.000 --> 00:13:43.000]  保世的人都會得救的主義
[00:13:43.000 --> 00:13:49.000]  這個明顯是和聖經的教導不相符的
[00:13:49.000 --> 00:13:52.000]  以至有這種補救主義的人
[00:13:52.000 --> 00:13:55.000]  很多時候他們又會忽略了
[00:13:55.000 --> 00:14:01.000]  傳福音為耶穌做見證這一方面的命令
[00:14:01.000 --> 00:14:05.000]  第三方面就是這個比喻要指出來的
[00:14:05.000 --> 00:14:14.000]  要警醒去討告,要去努力作主的功
[00:14:14.000 --> 00:14:15.000]  為什麼?
[00:14:15.000 --> 00:14:18.000]  三十六節告訴我們
[00:14:18.000 --> 00:14:24.000]  他說恐怕他忽然來到看見你們睡著了
[00:14:24.000 --> 00:14:30.000]  我們還記得五個愚絕童女的比喻
[00:14:30.000 --> 00:14:35.000]  這個耶穌好像延遲回來
[00:14:35.000 --> 00:14:39.000]  以至我們常常都會沉睡了
[00:14:39.000 --> 00:14:41.000]  我們不再能夠警醒了
[00:14:41.000 --> 00:14:45.000]  這個很可能是大部分的信徒
[00:14:45.000 --> 00:14:47.000]  我們常會犯的冒病
[00:14:47.000 --> 00:14:49.000]  這個比喻我們看到
[00:14:49.000 --> 00:14:53.000]  它就是在第十三章的中間
[00:14:53.000 --> 00:14:57.000]  要嘗試解釋那些天災横旺
[00:14:57.000 --> 00:15:03.000]  然後又要勸勉人注意耶穌再來的福祉
[00:15:03.000 --> 00:15:05.000]  我們要努力去作見證
[00:15:05.000 --> 00:15:08.000]  以至我們能夠很多人
[00:15:08.000 --> 00:15:11.000]  可以和我們一起得到福音的好處
[00:15:11.000 --> 00:15:15.000]  這個是這個比喻在第十三章的位置
[00:15:15.000 --> 00:15:20.000]  而十三章又成為馬可福音的一個心臟
