
[00:00:00.000 --> 00:00:06.000]  今天是中英文堂聯合崇拜
[00:00:06.000 --> 00:00:16.000]  我想請Gordon弟兄用英文跟我們再讀一次《馬太福音》第二章
[00:00:16.000 --> 00:00:23.000]  中文堂的弟兄姐妹會說重覆
[00:00:23.000 --> 00:00:24.000]  我聽完了
[00:00:24.000 --> 00:00:27.000]  這次你看著聖經再看清楚一點
[00:00:27.000 --> 00:00:30.000]  我們一起看《馬太福音》第二章
[00:00:30.000 --> 00:00:31.000]  請看
[00:00:31.000 --> 00:00:35.000]  (英文)
[00:00:35.000 --> 00:00:38.000]  (英文)
[00:00:38.000 --> 00:00:41.000]  (英文)
[00:00:42.000 --> 00:00:45.000]  (英文)
[00:00:46.000 --> 00:00:49.000]  (英文)
[00:00:50.000 --> 00:00:53.000]  (英文)
[00:00:54.000 --> 00:00:57.000]  (英文)
[00:00:57.000 --> 00:01:00.000]  (英文)
[00:01:01.000 --> 00:01:04.000]  (英文)
[00:01:04.000 --> 00:01:07.000]  (英文)
[00:01:07.000 --> 00:01:10.000]  (英文)
[00:01:11.000 --> 00:01:14.000]  (英文)
[00:01:14.000 --> 00:01:17.000]  (英文)
[00:01:18.000 --> 00:01:21.000]  (英文)
[00:01:22.000 --> 00:01:25.000]  (英文)
[00:01:26.000 --> 00:01:29.000]  (英文)
[00:01:30.000 --> 00:01:33.000]  (英文)
[00:01:34.000 --> 00:01:37.000]  (英文)
[00:01:37.000 --> 00:01:40.000]  (英文)
[00:01:41.000 --> 00:01:44.000]  (英文)
[00:01:45.000 --> 00:01:48.000]  (英文)
[00:01:49.000 --> 00:01:52.000]  (英文)
[00:01:53.000 --> 00:01:56.000]  (英文)
[00:01:57.000 --> 00:02:00.000]  (英文)
[00:02:01.000 --> 00:02:04.000]  (英文)
[00:02:05.000 --> 00:02:08.000]  (英文)
[00:02:09.000 --> 00:02:12.000]  (英文)
[00:02:13.000 --> 00:02:16.000]  (英文)
[00:02:17.000 --> 00:02:20.000]  (英文)
[00:02:21.000 --> 00:02:24.000]  (英文)
[00:02:24.000 --> 00:02:27.000]  (英文)
[00:02:27.000 --> 00:02:30.000]  (英文)
[00:02:31.000 --> 00:02:34.000]  (英文)
[00:02:35.000 --> 00:02:38.000]  (英文)
[00:02:38.000 --> 00:02:41.000]  (英文)
[00:02:42.000 --> 00:02:45.000]  (英文)
[00:02:45.000 --> 00:02:48.000]  (英文)
[00:02:49.000 --> 00:02:52.000]  (英文)
[00:02:52.000 --> 00:02:55.000]  (英文)
[00:02:56.000 --> 00:02:59.000]  (英文)
[00:03:00.000 --> 00:03:03.000]  (英文)
[00:03:27.000 --> 00:03:31.000]  請問《馬太福音》第二章講甚麼?
[00:03:31.000 --> 00:03:41.000]  我們聖誕節讀《馬太福音》第二章
[00:03:41.000 --> 00:03:45.000]  通常我們注意的人物是誰?
[00:03:45.000 --> 00:03:52.000]  我閉上眼也知道
[00:03:53.000 --> 00:03:57.000]  如果我們選的是《路加福音》第二章呢?
[00:03:57.000 --> 00:04:02.000]  我們就是在說天使報信
[00:04:02.000 --> 00:04:10.000]  我們在說牧羊人在伯利恆的野外看守羊群
[00:04:10.000 --> 00:04:17.000]  如果我們讀《馬太福音》第二章呢?
[00:04:18.000 --> 00:04:24.000]  我想我們就是在說三博士來朝拜新生王
[00:04:24.000 --> 00:04:31.000]  不過你睜大眼睛看清楚一點
[00:04:31.000 --> 00:04:33.000]  聖經從來都沒有說三博士
[00:04:33.000 --> 00:04:42.000]  在聖誕詩我們會唱
