
[00:00:00.000 --> 00:00:06.400]  聽說如果要錄就站在這裡比較好
[00:00:06.400 --> 00:00:08.400]  我就站在這裡吧
[00:00:08.400 --> 00:00:09.400]  OK的
[00:00:09.400 --> 00:00:12.120]  實在你們打瞌睡也好
[00:00:12.120 --> 00:00:13.320]  什麼都好 我都OK的
[00:00:13.320 --> 00:00:16.560]  在神豪院教書
[00:00:16.560 --> 00:00:19.200]  那些下午的課堂的學生
[00:00:19.200 --> 00:00:22.040]  都是在打瞌睡 我照樣說的
[00:00:22.040 --> 00:00:25.600]  今天我們有一點點
[00:00:25.600 --> 00:00:27.840]  好像一路有一點點查經識的
[00:00:27.840 --> 00:00:30.680]  雖然是讀不完十三章的
[00:00:30.680 --> 00:00:33.080]  但我們都要看一下聖經的
[00:00:33.080 --> 00:00:34.600]  所以你們拿聖經出來
[00:00:34.600 --> 00:00:36.800]  那我就拿手機
[00:00:36.800 --> 00:00:38.520]  大家用手機也好
[00:00:38.520 --> 00:00:40.520]  用什麼都好 都OK的
[00:00:40.520 --> 00:00:42.400]  首先介紹一下
[00:00:42.400 --> 00:00:44.400]  以斯拉尼希米記
[00:00:44.400 --> 00:00:48.400]  今天我知道是尼希米記
[00:00:48.400 --> 00:00:50.720]  大家就說不是尼希米記嗎?
[00:00:50.720 --> 00:00:54.800]  實在在猶太人的正典裡面
[00:00:54.800 --> 00:00:58.480]  以斯拉尼希米記是一本書來的
[00:00:58.480 --> 00:00:59.720]  不是兩本書來的
[00:00:59.720 --> 00:01:02.440]  我知道在我們的聖經裡面是兩本書的
[00:01:02.440 --> 00:01:06.800]  所以以斯拉記不是以斯拉尼希米記
[00:01:06.800 --> 00:01:08.320]  不是尼希米的
[00:01:08.320 --> 00:01:09.800]  大家知不知道?
[00:01:09.800 --> 00:01:10.760]  為什麼這麼說呢?
[00:01:10.760 --> 00:01:13.360]  你想一下 以斯拉記
[00:01:13.360 --> 00:01:16.000]  以斯拉記實在以斯拉出場那一刻
[00:01:16.000 --> 00:01:18.400]  是第幾章 大家知不知道?
[00:01:18.400 --> 00:01:20.000]  第七章
[00:01:20.000 --> 00:01:21.800]  我經常跟那些學生說
[00:01:21.800 --> 00:01:26.080]  金庸故事誰好呢?
[00:01:26.080 --> 00:01:28.200]  《射鵰英雄傳》
[00:01:28.200 --> 00:01:30.800]  《射鵰英雄傳》的英雄是誰呢?
[00:01:30.800 --> 00:01:31.440]  郭靖
[00:01:31.440 --> 00:01:35.840]  郭靖沒理由到最後才出場的
[00:01:35.840 --> 00:01:39.240]  你想一下 第七章才出場
