
[00:00:00.000 --> 00:00:06.660]  第五支會今晚是啟示錄最後一堂的查經
[00:00:06.660 --> 00:00:09.800]  我們來到聖經的最後一章
[00:00:09.800 --> 00:00:14.400]  是神向人顯示最終的啟示
[00:00:14.400 --> 00:00:19.200]  所以他特別在這章第十八節強調
[00:00:19.200 --> 00:00:22.800]  如果有人在預言上加什麼
[00:00:22.800 --> 00:00:27.800]  神必將這書上的災禍加在他的身上
[00:00:27.800 --> 00:00:31.800]  這書上的預言如果有人刪去什麼
[00:00:31.800 --> 00:00:38.800]  神必從這書上所寫的生命樹和聖城刪去他的份
[00:00:38.800 --> 00:00:41.300]  這是一個非常嚴厲的警告
[00:00:41.300 --> 00:00:45.800]  我相信不是在解釋這些預言的時候
[00:00:45.800 --> 00:00:47.800]  是不是正確這麼簡單
[00:00:47.800 --> 00:00:52.800]  因為解經家對某一些經文有不同的解釋
[00:00:52.800 --> 00:00:54.300]  有不同的看法
[00:00:54.300 --> 00:00:56.800]  這個是在所難免的
[00:00:56.800 --> 00:01:03.300]  我想這裡只是故意去增添或者刪除一些預言
[00:01:03.300 --> 00:01:09.800]  以至於信徒是沒有辦法正確了解末世的預言
[00:01:09.800 --> 00:01:11.800]  在我們最後這一堂
[00:01:11.800 --> 00:01:14.300]  首先我想花幾分鐘的時間
[00:01:14.300 --> 00:01:19.800]  讓大家看看我們過去幾個星期之前
[00:01:19.800 --> 00:01:24.300]  讓大家看看從末世到新天新地
[00:01:24.300 --> 00:01:27.800]  我們很快速的複習一下
[00:01:27.800 --> 00:01:31.300]  究竟我們整個的計劃
[00:01:31.300 --> 00:01:33.800]  末世的計劃是怎麼樣
[00:01:33.800 --> 00:01:37.800]  大家看到這個很簡化的圖
[00:01:37.800 --> 00:01:41.800]  你會看到綠色那裡是我們現在所處的時代
[00:01:41.800 --> 00:01:44.300]  就是新約教會的時代
[00:01:44.300 --> 00:01:50.800]  由新約教會比得是港道三千人信主教會時代
[00:01:50.800 --> 00:01:53.800]  由那時候開始其實都是叫做末世的了
[00:01:53.800 --> 00:01:56.800]  就是由第一世紀已經是末世的了
[00:01:56.800 --> 00:02:00.800]  然後這個教會時代的結束
[00:02:00.800 --> 00:02:04.800]  我們相信是由教會被提
[00:02:04.800 --> 00:02:06.800]  首先是新約的聖徒復活
[00:02:06.800 --> 00:02:10.800]  然後教會就是地上的信徒被提
[00:02:10.800 --> 00:02:12.800]  是這樣來結束的
[00:02:12.800 --> 00:02:15.800]  然後就開始七年的大災難
[00:02:15.800 --> 00:02:20.300]  大災難完結就千禧年國道開始
[00:02:20.300 --> 00:02:22.300]  千禧年國道完了之後
[00:02:22.300 --> 00:02:25.800]  就有新天新地的出現
[00:02:25.800 --> 00:02:27.800]  我們所有信主的人
[00:02:27.800 --> 00:02:29.800]  全部都在新天新地那裡
[00:02:29.800 --> 00:02:32.800]  這個就是我們永恆的家鄉
[00:02:32.800 --> 00:02:36.300]  好了,我又給大家看
[00:02:36.300 --> 00:02:39.300]  我們那些經文
[00:02:39.300 --> 00:02:42.300]  我們的聖經啟示錄第一第三章
[00:02:42.300 --> 00:02:47.800]  就是耶穌是向著七個教會來講話的
[00:02:47.800 --> 00:02:51.300]  我們可以看到耶穌是愛教會
[00:02:51.300 --> 00:02:56.300]  所以他是對每一個教會都有話講的
[00:02:56.300 --> 00:03:00.300]  而他說要求他們
[00:03:00.300 --> 00:03:02.300]  七個教會都要求他們什麼呢?
[00:03:02.300 --> 00:03:04.300]  是德聖
[00:03:04.300 --> 00:03:06.300]  他說了七次
[00:03:06.300 --> 00:03:09.300]  就是叫我們在末世的時候的信徒
[00:03:09.300 --> 00:03:11.300]  是會受到很多攻擊的
[00:03:11.300 --> 00:03:13.800]  但是我們要做德聖的信徒
[00:03:13.800 --> 00:03:16.300]  另外也說了七次
[00:03:16.300 --> 00:03:19.300]  就是凡有意的就要聽
[00:03:19.300 --> 00:03:21.300]  每一個人都有意對
[00:03:21.300 --> 00:03:23.300]  耶穌基督說
[00:03:23.300 --> 00:03:27.300]  雖然這七封信是寫給當時的教會
[00:03:27.300 --> 00:03:31.300]  但是其實是寫給所有的教會
[00:03:31.300 --> 00:03:32.300]  就是你和我
[00:03:32.300 --> 00:03:34.300]  他是寫給我們每一個人的
[00:03:34.300 --> 00:03:38.300]  這個書信不單只是第一第三章
[00:03:38.300 --> 00:03:40.300]  第一第三章只是記載了
[00:03:40.300 --> 00:03:43.300]  高陽對教會的吩咐
[00:03:43.300 --> 00:03:48.300]  其實跟著下面那十九章
[00:03:48.300 --> 00:03:50.300]  所看到的預言
