
[00:00:00.000 --> 00:00:05.000]  各位大英博士各位朋友你們好
[00:00:05.000 --> 00:00:09.000]  歡迎大家參加我們三藩市博導會網上的五堂神拜
[00:00:09.000 --> 00:00:13.000]  我們今天繼續思想以下福音的訊息
[00:00:13.000 --> 00:00:17.000]  我們到以下福音第三章九節至十五節
[00:00:17.000 --> 00:00:21.000]  題目叫做牛皮燈籠
[00:00:21.000 --> 00:00:25.000]  未開始思想這段聖經之前請大家同心低頭去讀禱告
[00:00:25.000 --> 00:00:29.000]  慈悲人我支付我們本心多謝你
[00:00:29.000 --> 00:00:32.000]  為我們釘死十字架有父伴
[00:00:32.000 --> 00:00:35.000]  以致我們有重新盼望和經歷
[00:00:35.000 --> 00:00:38.000]  求聖明聚聚你的話語去提醒我們
[00:00:38.000 --> 00:00:41.000]  免得我們得罪你
[00:00:41.000 --> 00:00:44.000]  免得我們好像牛皮燈籠怎麼你都不明白
[00:00:44.000 --> 00:00:47.000]  求你啟開我們的心眼
[00:00:47.000 --> 00:00:50.000]  我們今天禱告拉奉耶穌基督名靠
[00:00:50.000 --> 00:00:54.000]  前香港大學中文系教授陳耀蘭博士
[00:00:54.000 --> 00:00:59.000]  至少就浸淫於儒、色、道所有這些教導
[00:00:59.000 --> 00:01:02.000]  雖然對基督教有接觸
[00:01:02.000 --> 00:01:05.000]  但始終都是只限於觀望的態度
[00:01:05.000 --> 00:01:08.000]  沒有缺乏自信主
[00:01:08.000 --> 00:01:11.000]  直至他移民到澳洲的時候
[00:01:11.000 --> 00:01:14.000]  參加了播道會聚會並且蒙光照歸入基督
[00:01:14.000 --> 00:01:18.000]  並且在1996年4月21日接受了水禮
[00:01:18.000 --> 00:01:22.000]  在水禮的時候他寫了一篇見證文章
[00:01:22.000 --> 00:01:27.000]  名叫「先入為主」和「先入為主」
[00:01:27.000 --> 00:01:33.000]  他被稱為先生、老師已經三十多年
[00:01:33.000 --> 00:01:37.000]  但被稱為弟兄還是最近這四個月
[00:01:37.000 --> 00:01:40.000]  當我信主的時候有人問
[00:01:40.000 --> 00:01:43.000]  喂!最近是不是有什麼大喜大樂啊?
[00:01:43.000 --> 00:01:46.000]  所以有大慈大悟啊?
