
[00:00:00.000 --> 00:00:13.380]  各位先生、姐妹平安!我曾經說過希望用三次的時侯在崇拜當中和大家一起思想神的說話
[00:00:13.380 --> 00:00:26.500]  從神的說話、聖經我們一起看我們怎樣才可以重新得力展翅上騰
[00:00:26.500 --> 00:00:32.180]  如果你一直有來全福堂崇拜你可能還記得
[00:00:32.180 --> 00:00:43.780]  我們第一次就是想從一個先知以利亞的個案來看重新得力展翅上騰
[00:00:43.780 --> 00:00:47.700]  這麼偉大的先知他都有他自己低沉的時間
[00:00:47.700 --> 00:00:50.980]  曾經有他自己抑鬱的時候
[00:00:50.980 --> 00:00:57.580]  我們看見神怎樣透過他的方法讓一個這麼低潮的情緒低落的人
[00:00:57.580 --> 00:01:01.860]  可以重新去展翅上騰
[00:01:01.860 --> 00:01:08.020]  我們上一次第二個題目也是試一下轉一個方向
[00:01:08.020 --> 00:01:21.700]  究竟怎樣才可以在這麼多的困難、困擾和打擊當中仍然有這種向上的展翅上騰的得力呢?
[00:01:21.700 --> 00:01:25.500]  我們說我們試一下不要從我們的角度去看
[00:01:25.500 --> 00:01:31.980]  我們從人的角度去看的時候我們沒有東西可以令我們再有這種盼望和力量
[00:01:31.980 --> 00:01:33.820]  我們試一下從神的角度
[00:01:33.820 --> 00:01:38.180]  或者在聖經裡面我們試一下教我們怎樣從神的角度去想
[00:01:38.180 --> 00:01:40.700]  從神的角度去看
[00:01:40.700 --> 00:01:46.060]  然後看到一幅和我們所看見的不同的圖畫
[00:01:46.060 --> 00:01:52.500]  第三次是最後一次我覺得我一定要跟大家講到個人的質素的問題
[00:01:52.500 --> 00:01:55.900]  是的 我們都知道應該從神的角度去看
[00:01:55.900 --> 00:01:58.060]  或者我們看到不同的圖畫
[00:01:58.060 --> 00:02:03.740]  我們看到才知道它有那種重新得力的生命力
[00:02:03.740 --> 00:02:07.380]  但是對於我們來說有時候我們好像有心無力
[00:02:07.380 --> 00:02:10.740]  我們都知道我們要面對這些困難的時候
[00:02:10.740 --> 00:02:13.060]  要展翅上騰、要重新得力
[00:02:13.060 --> 00:02:15.540]  但是我們有時候真的做不到
[00:02:15.540 --> 00:02:18.740]  怎樣才可以在這種情況下
[00:02:18.740 --> 00:02:28.140]  我們的心仍然可以向前盼望、向上繼續仰望呢?
[00:02:28.140 --> 00:02:31.540]  這個就是今天我想和大家一起來看
[00:02:31.540 --> 00:02:33.620]  究竟什麼人才能夠做得到
[00:02:33.620 --> 00:02:35.740]  或者你心裡都有這樣的共鳴
[00:02:35.740 --> 00:02:39.860]  我自己很想 但是有時候我是真的有心無力
[00:02:39.860 --> 00:02:42.580]  如果是這樣的話 今天我們一起來看
[00:02:42.580 --> 00:02:49.620]  我們研究的聖經 就是集中在希伯來書的第十一章
[00:02:49.620 --> 00:02:53.620]  希伯來書的第十一章 剛才我們讀了一些片段
[00:02:53.620 --> 00:02:59.020]  大家如果有興趣的 回到家可以重新再詳細去看
[00:02:59.020 --> 00:03:03.940]  今天我講的道就是在大綱在網上
[00:03:03.940 --> 00:03:06.260]  或者你開的時候可以看到
[00:03:06.260 --> 00:03:11.340]  因為可以幫助大家知道我想和大家講的重點
[00:03:11.340 --> 00:03:14.620]  希伯來書的第十一章的第一節
[00:03:14.620 --> 00:03:18.740]  就是大家可能都很熟悉的金句
[00:03:18.740 --> 00:03:23.140]  這個金句可能大家會背和合本的金句
[00:03:23.140 --> 00:03:26.900]  但是我想透過不同的譯本
[00:03:26.900 --> 00:03:29.860]  加上我對原文的理解
[00:03:29.860 --> 00:03:36.220]  我試一下重新翻譯這一節的聖經
[00:03:36.220 --> 00:03:39.700]  希伯來書的第十一章第一節應該是這樣的意思
[00:03:39.700 --> 00:03:46.420]  他說 信心就是所盼望的事情的把握
[00:03:46.420 --> 00:03:55.060]  也是確認那些沒看見的事情
[00:03:55.060 --> 00:03:59.220]  可能你聽完這兩句話 你都不知道要說什麼
[00:03:59.220 --> 00:04:00.900]  好像很抽象那樣
[00:04:00.900 --> 00:04:04.860]  我試一下再展開一點 你就會容易明白的
[00:04:04.860 --> 00:04:07.660]  這兩句話第一句就是想說
[00:04:07.660 --> 00:04:10.100]  信心和盼望是什麼呢?
[00:04:10.100 --> 00:04:17.260]  信心和盼望就是可以去對那些看不見的事情
[00:04:17.260 --> 00:04:22.060]  可以更加確定看得見
[00:04:22.060 --> 00:04:25.820]  第二 信心和盼望是什麼呢?
[00:04:25.820 --> 00:04:29.860]  就是那些還沒發生的事情
[00:04:29.860 --> 00:04:35.500]  比較在手頭的把握更加有把握
[00:04:35.500 --> 00:04:38.260]  大家明白一點了
[00:04:38.260 --> 00:04:43.140]  但是其實如果你留心看 留心明白的時候
[00:04:43.140 --> 00:04:44.700]  你會發覺一件事
[00:04:44.700 --> 00:04:52.140]  其實這兩個的表現是很不正常的
[00:04:52.140 --> 00:04:56.020]  就是說如果你做基督徒要有信心和盼望
[00:04:56.020 --> 00:04:58.380]  我們不要用不正常這麼負面的說法
[00:04:58.380 --> 00:05:02.460]  你會有一些很不尋常的表現
[00:05:02.460 --> 00:05:04.180]  何以見得呢?
[00:05:04.180 --> 00:05:07.500]  其實很簡單的 剛才我說的那兩句話 你想一下
[00:05:07.500 --> 00:05:10.500]  我們自從出生到現在幾十歲的人
[00:05:10.500 --> 00:05:12.860]  我們的教育 我們周圍的人
[00:05:12.860 --> 00:05:16.580]  我們的父母都教我們一樣東西
[00:05:16.580 --> 00:05:19.140]  看得見的就可靠的
[00:05:19.140 --> 00:05:23.540]  看不見的始終都沒有這麼可靠的 是不是?
[00:05:23.540 --> 00:05:27.060]  手頭有拿著的始終是有把握的
[00:05:27.060 --> 00:05:29.340]  那些還沒發生的事情都不知道會怎麼樣
[00:05:29.340 --> 00:05:32.740]  所以始終都沒有這麼有把握的 明白嗎?
[00:05:32.740 --> 00:05:38.700]  這就是我們做人的原則和我們的習慣
[00:05:38.700 --> 00:05:41.740]  剛才如果我們明白希伯來書第一章
[00:05:41.740 --> 00:05:43.260]  十一章的第一節的時候
[00:05:43.260 --> 00:05:44.500]  你就會發覺
[00:05:44.500 --> 00:05:50.220]  他所說的跟剛剛說的這種習慣是相反的
[00:05:50.220 --> 00:05:52.220]  就是說如果你一是就不要做基督徒
[00:05:52.220 --> 00:05:56.460]  你做基督徒始終都是有些不正常的
[00:05:56.460 --> 00:05:57.740]  這樣才行
[00:05:57.740 --> 00:06:01.260]  否則的話你真的沒經歷過什麼叫做信心
[00:06:01.260 --> 00:06:03.940]  和盼望
