
[00:00:00.000 --> 00:00:05.120]  大衛傳的21講
[00:00:05.120 --> 00:00:08.320]  其實舊約真是很精彩
[00:00:08.320 --> 00:00:09.360]  我很喜歡舊約
[00:00:09.360 --> 00:00:12.800]  新約就很多的教導
[00:00:12.800 --> 00:00:15.360]  很直接的告訴我們應該要怎樣做
[00:00:15.360 --> 00:00:18.960]  但是舊約是透過很多的故事
[00:00:18.960 --> 00:00:24.640]  今天我們是要講薩姆爾夏的第17章和第18章
[00:00:24.640 --> 00:00:28.960]  我們講到大衛他自己的兒子亞沙隆
[00:00:28.960 --> 00:00:31.440]  追殺大衛
[00:00:31.440 --> 00:00:34.400]  刀劍不離大衛的家
[00:00:34.400 --> 00:00:37.680]  他希望甚至殺死大衛
[00:00:37.680 --> 00:00:41.120]  但是神保守大衛
[00:00:41.120 --> 00:00:43.440]  所以我今天的題目叫做
[00:00:43.440 --> 00:00:46.880]  耶和華的籌算永遠立定
[00:00:46.880 --> 00:00:49.360]  人來說我們可以籌算
[00:00:49.360 --> 00:00:52.000]  我們可以做很多的計劃
[00:00:52.000 --> 00:00:56.160]  希望成就我們自己的旨意
[00:00:56.160 --> 00:01:01.920]  但是神永遠都是照著他的籌算來進行
[00:01:01.920 --> 00:01:08.160]  所以很多時候神永遠都有他的籌算
[00:01:08.160 --> 00:01:10.480]  在大衛的身上都是一樣
[00:01:10.480 --> 00:01:12.400]  我們看到一切的事
[00:01:12.400 --> 00:01:17.920]  正是照著神計劃來進行
[00:01:17.920 --> 00:01:22.800]  亞沙隆他已經達到第一個目的
[00:01:22.800 --> 00:01:26.000]  就是將大衛趕出耶路撒冷城
[00:01:26.000 --> 00:01:29.200]  奪取大衛的王位
[00:01:29.200 --> 00:01:33.040]  現在他要做第二件事
[00:01:33.040 --> 00:01:37.840]  保證他這個父親將永遠不能回到耶路撒冷
[00:01:37.840 --> 00:01:40.960]  永遠不能取回他的王位
[00:01:40.960 --> 00:01:44.080]  所以他決定大衛一定要死
[00:01:44.080 --> 00:01:47.280]  他就去問他兩個謀士
[00:01:47.280 --> 00:01:50.720]  如何能夠將大衛置於死地
[00:01:50.720 --> 00:01:53.760]  這兩個謀士是誰
[00:01:53.760 --> 00:01:57.120]  第一個謀士就是阿希多佛
[00:01:57.120 --> 00:01:59.680]  第二個謀士就是胡西
[00:01:59.680 --> 00:02:04.560]  我們說過阿希多佛就是拔士巴的爺爺
[00:02:04.560 --> 00:02:08.160]  因為大衛和拔士巴行了奸人
[00:02:08.160 --> 00:02:12.960]  為阿希多佛的家族帶來污名
[00:02:12.960 --> 00:02:15.280]  所以阿希多佛很憎恨大衛
[00:02:15.280 --> 00:02:16.800]  反目成仇
[00:02:16.800 --> 00:02:18.400]  本來是好朋友
[00:02:18.400 --> 00:02:21.600]  現在他去投靠亞瑟龍
[00:02:21.600 --> 00:02:24.480]  他還獻祭給亞瑟龍
[00:02:24.480 --> 00:02:26.800]  在他的計劃當中
[00:02:26.800 --> 00:02:30.720]  我們看到阿希多佛是一個非常自我
[00:02:30.720 --> 00:02:33.520]  非常自私自大的一個人
[00:02:33.520 --> 00:02:37.280]  他說我要親自率領軍隊
[00:02:37.280 --> 00:02:40.480]  我要忽然追上大衛
[00:02:40.480 --> 00:02:42.720]  我要這樣做 我要這樣做
[00:02:42.720 --> 00:02:45.440]  全部都是說他自己
[00:02:45.440 --> 00:02:48.240]  他的計劃非常好
