
[00:00:00.000 --> 00:00:06.280]  多謝施班帶領我們一起去敬拜
[00:00:06.280 --> 00:00:09.680]  無論是上帝是我們的目者
[00:00:09.680 --> 00:00:14.800]  我們在這個青草地上被祂供應的小羊
[00:00:14.800 --> 00:00:16.800]  這首歌我也很久很久沒有唱了
[00:00:16.800 --> 00:00:20.000]  也告訴你在這個世代裏
[00:00:20.000 --> 00:00:22.800]  上帝是我們真正的保障
[00:00:22.800 --> 00:00:27.560]  也感恩有年青的長老
[00:00:27.560 --> 00:00:28.720]  年青的傳道童工
[00:00:28.720 --> 00:00:33.040]  和現在有資深的目者
[00:00:33.040 --> 00:00:35.560]  資深的長老們一起去配搭侍奉
[00:00:35.560 --> 00:00:38.880]  為平壤方堂在一個不容易的世代裏面
[00:00:38.880 --> 00:00:39.960]  有這樣的交接
[00:00:39.960 --> 00:00:41.480]  有這樣的成長來感恩
[00:00:41.480 --> 00:00:46.440]  我也很感動在今天洪雨的情況之下
[00:00:46.440 --> 00:00:51.000]  上帝讓我們能夠慢慢的平靜下來
[00:00:51.000 --> 00:00:52.000]  有好的天氣
[00:00:52.000 --> 00:00:55.320]  更加看到頂子妹坐滿禮堂
[00:00:55.320 --> 00:00:56.920]  我心裏面是非常感動
[00:00:56.920 --> 00:00:59.800]  但願我們愛母神說話的心
[00:00:59.800 --> 00:01:02.880]  上帝會閲立
[00:01:02.880 --> 00:01:05.880]  也希望今晚能夠聽到上帝對我們說的話
[00:01:05.880 --> 00:01:09.560]  我知道今晚的時間比較緊湊
[00:01:09.560 --> 00:01:12.000]  所以我希望我盡量精簡一點
[00:01:12.000 --> 00:01:14.320]  來講到我今晚想講的訊息
[00:01:14.320 --> 00:01:20.280]  洪路下的考驗不單止是對我們信心
[00:01:20.280 --> 00:01:22.600]  在一個很艱難的世代
[00:01:23.120 --> 00:01:27.680]  在一個很容易我們為自己著想的世代裏面
[00:01:27.680 --> 00:01:32.480]  很容易會失去了教會很基本的愛心
[00:01:32.480 --> 00:01:36.680]  所以今晚和大家一起思想的題目就是
[00:01:36.680 --> 00:01:39.320]  洪路下的愛心
[00:01:39.320 --> 00:01:42.760]  我再一次代表神學院向大家問安
[00:01:42.760 --> 00:01:44.600]  其他我不多說了
[00:01:44.600 --> 00:01:46.280]  不過我想提一件事
[00:01:46.280 --> 00:01:49.600]  我們有一個新開的法律課程
[00:01:49.600 --> 00:01:52.440]  叫做行在社區的福音
[00:01:52.440 --> 00:01:53.760]  是一個運動來的
[00:01:53.760 --> 00:01:57.000]  我很想鼓勵堂會考慮
[00:01:57.000 --> 00:01:59.880]  你的目者你的長老一起帶領弟兄姊妹
[00:01:59.880 --> 00:02:01.400]  參與這個課程
[00:02:01.400 --> 00:02:03.160]  大約一年半的課程
[00:02:03.160 --> 00:02:06.000]  這個課程主要是想將福音
[00:02:06.000 --> 00:02:10.880]  和我們怎樣去關懷社區來結合
[00:02:10.880 --> 00:02:15.160]  我們的視野不單止是教會裏面
[00:02:15.160 --> 00:02:18.080]  是整個教會身處的社區
[00:02:18.080 --> 00:02:20.200]  我們怎樣在那裏為主作見證
[00:02:20.200 --> 00:02:21.720]  很容易走兩個極端
[00:02:21.720 --> 00:02:22.560]  只是福音
[00:02:22.560 --> 00:02:26.080]  有些人覺得我們不需要關懷社區
[00:02:26.080 --> 00:02:27.280]  其他人做得到
[00:02:27.280 --> 00:02:29.560]  有些人可能慢慢變成社福機構
[00:02:29.560 --> 00:02:34.280]  兩條路似乎不是耶穌留下來給我們的榜樣
[00:02:34.280 --> 00:02:37.640]  我鼓勵大家一起學習這個成長
[00:02:37.640 --> 00:02:38.440]  這裏不多說了
[00:02:38.440 --> 00:02:39.520]  叫做行在社區福音
[00:02:39.520 --> 00:02:41.800]  大家可以留意外面的傳單
[00:02:41.800 --> 00:02:47.200]  我們今晚來思想洪路下的愛心
