
[00:00:00.000 --> 00:00:02.360]  各位 我知道有些弟兄在當中
[00:00:02.360 --> 00:00:06.080]  所以歡迎各位弟兄姊妹歡送我
[00:00:06.080 --> 00:00:08.360]  因為講完這堂課我就去機場了
[00:00:08.360 --> 00:00:10.800]  今年就很特別
[00:00:10.800 --> 00:00:13.320]  因為我很可能還會多次回來
[00:00:13.320 --> 00:00:15.400]  因為我
[00:00:15.400 --> 00:00:17.800]  請你喝茶
[00:00:17.800 --> 00:00:23.080]  我主要在中國做一些空中神學
[00:00:23.080 --> 00:00:25.240]  我們中國有25個點
[00:00:25.240 --> 00:00:28.400]  去年我們學生有1700個
[00:00:28.400 --> 00:00:30.080]  去年有200個學生畢業
[00:00:30.080 --> 00:00:33.480]  今個月我來因為7月份有70個學生畢業
[00:00:33.480 --> 00:00:34.880]  所以我就去了
[00:00:34.880 --> 00:00:36.320]  今年7月我會再回來
[00:00:36.320 --> 00:00:38.960]  因為有一班叫畢業生的退休會
[00:00:38.960 --> 00:00:41.160]  他們想請我回去跟那些畢業生講
[00:00:41.160 --> 00:00:42.280]  所以我答應他們去
[00:00:42.280 --> 00:00:44.280]  所以今年就多加一次旅行
[00:00:44.280 --> 00:00:47.040]  11月也會再回來 已經安排了
[00:00:47.040 --> 00:00:51.440]  所以很可能有機會可以再見大家
[00:00:51.440 --> 00:00:54.520]  有些回音的 為什麼
[00:00:54.520 --> 00:00:56.160]  我想
[00:00:56.160 --> 00:00:57.080]  嘩 很厲害
[00:00:57.080 --> 00:01:01.080]  我想問一問可不可以容許我
[00:01:01.080 --> 00:01:03.800]  容許我介紹一點我的書
[00:01:03.800 --> 00:01:05.320]  因為我一年來一次的
[00:01:05.320 --> 00:01:08.760]  我想先講明這些書絕對不是給我自己的
[00:01:08.760 --> 00:01:11.320]  我由開始服事以來
[00:01:11.320 --> 00:01:13.080]  服事中國我就將我寫的書
[00:01:13.080 --> 00:01:15.120]  講的大都是奉獻給中國
[00:01:15.120 --> 00:01:16.920]  一方面對弟兄姊妹有幫助
[00:01:16.920 --> 00:01:19.880]  一方面怕不能夠幫助國內的教會
[00:01:19.880 --> 00:01:21.040]  這個是我的心意
[00:01:21.040 --> 00:01:22.560]  因為這次講主在來
[00:01:22.560 --> 00:01:25.440]  最好的預備就是生命的成長
[00:01:25.440 --> 00:01:28.120]  所以我有本書是我第一本的書叫《有感而發》
[00:01:28.120 --> 00:01:29.840]  有些人都沒看過
[00:01:29.840 --> 00:01:31.760]  有沒有人沒看過《有感而發》
[00:01:31.760 --> 00:01:33.200]  真的有
[00:01:33.200 --> 00:01:35.080]  這是我第一本寫的書
[00:01:35.080 --> 00:01:37.600]  《有感而發》的題目是我太太改的
[00:01:37.600 --> 00:01:40.160]  我說這個題目不是那麼好 寫散文
[00:01:40.160 --> 00:01:41.880]  因為太太改我就沒辦法
[00:01:41.880 --> 00:01:43.760]  我記得我給梁家倫院長看的時候
[00:01:43.760 --> 00:01:45.480]  他說改這樣的名字
[00:01:45.480 --> 00:01:49.400]  我老婆改的 他說這樣就要用了
[00:01:49.400 --> 00:01:50.840]  所以下面加了小的標題
[00:01:50.840 --> 00:01:53.720]  叫基督徒生命成長之路
[00:01:53.720 --> 00:01:54.880]  我覺得是很重要
[00:01:54.880 --> 00:01:55.880]  你要預備主在來
[00:01:55.880 --> 00:01:57.800]  生命不強你真的很難
[00:01:57.800 --> 00:01:59.480]  另一本書為什麼我要提一提
[00:01:59.480 --> 00:02:01.720]  因為這本書剩下的不是很多
[00:02:01.720 --> 00:02:04.880]  各位外面的姐妹跟我說
[00:02:04.880 --> 00:02:06.200]  只剩下十多本
[00:02:06.200 --> 00:02:07.720]  加拿大已經賣光了
[00:02:07.720 --> 00:02:11.040]  《毫不留情》這本書是我很喜歡的一本書
[00:02:11.040 --> 00:02:12.840]  是很有情的
[00:02:12.840 --> 00:02:14.880]  主在來之前你知道需要什麼
[00:02:14.880 --> 00:02:17.040]  彼此相愛
[00:02:17.040 --> 00:02:18.680]  這個世界沒有愛
[00:02:18.680 --> 00:02:20.040]  不要說主不主在來
[00:02:20.040 --> 00:02:22.400]  主未在來可能我先去
[00:02:22.400 --> 00:02:24.280]  沒有愛真的很難活下去
[00:02:24.280 --> 00:02:27.320]  這本書有個弟兄告訴我
[00:02:27.320 --> 00:02:30.360]  剛剛發了一本《洗衣情》
[00:02:30.360 --> 00:02:31.440]  給一個阿姨看
[00:02:31.440 --> 00:02:33.800]  阿姨看了也很有共鳴
[00:02:33.800 --> 00:02:36.600]  裡面有說很多的情
[00:02:36.600 --> 00:02:38.760]  主在來之前最重要的一件事就是
[00:02:38.760 --> 00:02:40.240]  福音要遍傳
[00:02:40.240 --> 00:02:42.000]  所以傳福音是我很有負擔的
[00:02:42.000 --> 00:02:43.760]  我過去差不多不知道多少年
[00:02:43.760 --> 00:02:47.120]  來港福堂都只是說福音主日
[00:02:47.120 --> 00:02:49.080]  不是其他的不說
[00:02:49.080 --> 00:02:51.240]  但是很著重報導
[00:02:51.240 --> 00:02:52.080]  我也很喜歡
[00:02:52.080 --> 00:02:55.440]  所以往往就將在港福堂說的福音主日
[00:02:55.440 --> 00:02:56.560]  我會弄成小冊
[00:02:56.560 --> 00:02:58.160]  之前有三本
[00:02:58.160 --> 00:03:00.040]  《一生何求信是有緣回家》
[00:03:00.040 --> 00:03:01.680]  現在新的三本
[00:03:01.680 --> 00:03:03.000]  叫《今生若比永恆長》
[00:03:03.000 --> 00:03:05.280]  《明天會更好》和《無悔一生》
[00:03:05.280 --> 00:03:07.560]  有簡體版和繁體版
[00:03:07.560 --> 00:03:11.600]  因為我知道來自國內的同胞越來越多
[00:03:11.600 --> 00:03:14.280]  有時看這個簡體版比較舒服
[00:03:14.280 --> 00:03:15.960]  所以我由去年開始出的書
[00:03:15.960 --> 00:03:17.800]  全部都是簡繁體一起出
[00:03:17.800 --> 00:03:20.840]  希望能夠幫到國內的同胞信主
[00:03:20.840 --> 00:03:22.840]  有些人說我不想看怎麼辦呢
[00:03:22.840 --> 00:03:26.040]  可以聽國語粵語的CD都有
[00:03:26.040 --> 00:03:27.080]  其實很方便
[00:03:27.080 --> 00:03:28.680]  我很鼓勵人們送給別人看
[00:03:28.680 --> 00:03:29.480]  送給別人聽
[00:03:29.480 --> 00:03:30.760]  然後跟他談一談
[00:03:30.760 --> 00:03:33.920]  就當是一個福音的外展
[00:03:33.920 --> 00:03:36.280]  另外認識主耶穌很重要
[00:03:36.280 --> 00:03:38.080]  這個光碟《四福音道論》
[00:03:38.080 --> 00:03:40.040]  就是講主耶穌的一生
[00:03:40.040 --> 00:03:41.440]  在裡面學什麼榜樣
[00:03:41.440 --> 00:03:42.760]  有什麼教訓
[00:03:42.760 --> 00:03:45.880]  所以這些都是我覺得挺好的
[00:03:45.880 --> 00:03:48.000]  譬如人生除不起外面
[00:03:48.000 --> 00:03:49.200]  我就不多說了
[00:03:49.200 --> 00:03:50.640]  這本書唯一的介紹就是
[00:03:50.640 --> 00:03:52.640]  《我老婆不信》是我寫的
[00:03:52.640 --> 00:03:54.760]  她覺得我寫不了這些東西
[00:03:54.760 --> 00:03:57.000]  但這本書我覺得都是不錯的
[00:03:57.000 --> 00:03:58.840]  有些其他書已經沒有了
[00:03:58.840 --> 00:04:00.000]  《不負所託》
[00:04:00.000 --> 00:04:00.960]  《公欲成其事》
[00:04:00.960 --> 00:04:03.280]  我的忠確心那些已經賣光了
[00:04:03.280 --> 00:04:05.560]  印一本書一印印幾千本
[00:04:05.560 --> 00:04:07.680]  所以我要慢慢試印
[00:04:07.680 --> 00:04:09.120]  毫不留情賣完這批
[00:04:09.120 --> 00:04:11.360]  可能兩年之後再辦
[00:04:11.360 --> 00:04:13.280]  所以如果你們想看這本書還沒看
[00:04:13.280 --> 00:04:14.680]  我鼓勵你一會兒出去看
[00:04:14.680 --> 00:04:15.640]  好嗎
[00:04:15.640 --> 00:04:18.280]  盼望多謝大家合作
[00:04:18.280 --> 00:04:20.280]  合作愉快
[00:04:20.680 --> 00:04:24.840]  這次來總共在中國和香港
[00:04:24.840 --> 00:04:26.680]  一共講18堂
[00:04:26.680 --> 00:04:27.640]  15個題目
[00:04:27.640 --> 00:04:29.960]  我很開心這一堂是最後的一堂
[00:04:29.960 --> 00:04:32.360]  那就真的講完了
[00:04:32.360 --> 00:04:34.440]  昨晚很開心
[00:04:34.440 --> 00:04:35.640]  睡了5個小時
[00:04:35.640 --> 00:04:38.120]  很難得是我睡得最多的一晚
[00:04:38.120 --> 00:04:39.960]  那麼就So far都OK
[00:04:39.960 --> 00:04:41.520]  精神都還在
[00:04:41.520 --> 00:04:43.720]  那麼很多弟兄對我很好
[00:04:43.720 --> 00:04:44.680]  送了很多東西給我
[00:04:44.680 --> 00:04:45.560]  一些粒粒東西
[00:04:45.560 --> 00:04:46.480]  油噴噴東西
[00:04:46.480 --> 00:04:47.160]  吃吃東西
[00:04:47.160 --> 00:04:47.640]  啜啜東西
[00:04:47.640 --> 00:04:48.440]  很多東西
[00:04:48.440 --> 00:04:50.360]  他說提哈神啦提哈神啦
[00:04:50.360 --> 00:04:51.200]  很關心我
[00:04:51.200 --> 00:04:52.400]  我很感恩
[00:04:52.400 --> 00:04:54.640]  有時我在這裡經常和朋友吃飯
[00:04:54.640 --> 00:04:55.160]  吃著吃著
[00:04:55.160 --> 00:04:55.880]  朋友都說
[00:04:55.880 --> 00:04:56.760]  不如你省一會兒吧
[00:04:56.760 --> 00:04:58.160]  因為看不到我的眼睛
[00:04:58.160 --> 00:04:59.760]  那麼有時會的
[00:04:59.760 --> 00:05:01.160]  特別是吃完東西我會省一會兒的
[00:05:01.160 --> 00:05:03.680]  所以有些人知道就會明白
[00:05:03.680 --> 00:05:07.680]  其實我講話就一定不會睡的
[00:05:07.680 --> 00:05:08.280]  OK
[00:05:08.280 --> 00:05:11.560]  那就先祈禱吧
[00:05:11.560 --> 00:05:13.400]  天父將以下時間帶到主的面前
[00:05:13.400 --> 00:05:15.360]  我們求尊祢
[00:05:15.360 --> 00:05:16.760]  也多謝主
[00:05:16.760 --> 00:05:20.360]  因為主耶穌不單止第一次來為我們死
[00:05:20.360 --> 00:05:23.840]  祢也會再來接我們來到永恆的當中
[00:05:23.840 --> 00:05:25.400]  主如果人活在世上
[00:05:25.400 --> 00:05:26.240]  沒有盼望
[00:05:26.240 --> 00:05:27.400]  沒有將來
[00:05:27.400 --> 00:05:29.560]  人生無論多精彩
[00:05:29.560 --> 00:05:32.440]  都是一個虛空的人生
[00:05:32.440 --> 00:05:34.760]  但是主祢讓我們有盼望有將來
[00:05:34.760 --> 00:05:36.960]  為了這個盼望這個將來我們獻上感恩
[00:05:36.960 --> 00:05:39.960]  但是很多時候我們沒有活在這個盼望當中
[00:05:39.960 --> 00:05:41.400]  所以求尊祢讓我們知道
[00:05:41.400 --> 00:05:43.400]  祢再來的實在
[00:05:43.400 --> 00:05:46.120]  但是在再來之前要面對很多的挑戰
[00:05:46.120 --> 00:05:47.720]  又要作出很多的準備
[00:05:47.720 --> 00:05:50.720]  所以求尊祢幫助我們懂得如何去預備好我們自己
[00:05:50.720 --> 00:05:52.640]  來迎接主祢自己再來
[00:05:52.640 --> 00:05:54.320]  帶領以下的時間聽我們禱告
