
[00:00:00.000 --> 00:00:05.380]  各位弟兄姊妹 各位朋友你們好
[00:00:05.380 --> 00:00:08.100]  歡迎大家參加我們三藩市播道會
[00:00:08.100 --> 00:00:10.300]  網上的五堂崇拜
[00:00:10.300 --> 00:00:12.420]  由這個星期開始
[00:00:12.420 --> 00:00:14.780]  我們會開始一個新的系列
[00:00:14.780 --> 00:00:20.260]  是叫亂世皆然 時詩記賢徒
[00:00:20.260 --> 00:00:22.800]  今回是第一講
[00:00:22.800 --> 00:00:26.420]  題目就是叫亂世皆然
[00:00:26.420 --> 00:00:31.300]  基文記載在《時詩記》第21章25字
[00:00:31.300 --> 00:00:34.320]  未開始思想這節聖經之前
[00:00:34.320 --> 00:00:37.480]  請各位同心低頭 或者同禱告
[00:00:37.480 --> 00:00:42.220]  慈悲讓下天父 我們滿心多謝你
[00:00:42.220 --> 00:00:47.900]  雖然在亂世當中 我們仍然有盼望
[00:00:47.900 --> 00:00:52.460]  是藉著你的話語 我們能夠得到啟迪和安慰
[00:00:52.460 --> 00:00:58.060]  求祢藉著我們一起研讀《時詩記》這本書時
[00:00:58.060 --> 00:01:01.340]  讓我們認識這個世代更多
[00:01:01.340 --> 00:01:04.060]  認識自己更多
[00:01:04.060 --> 00:01:07.180]  使我們全心去倚靠祢
[00:01:07.180 --> 00:01:11.140]  因為在祢裏面 我們是有盼望
[00:01:11.140 --> 00:01:13.780]  和可以獲得精彩
[00:01:13.780 --> 00:01:15.780]  求祢祝福帶領我們
[00:01:15.780 --> 00:01:19.980]  祈禱奉耶穌基督名求 阿門
[00:01:19.980 --> 00:01:24.340]  在2019年台灣大選之前
[00:01:24.340 --> 00:01:29.580]  台灣人就選上「亂」這個字來形容今日世界的局勢
[00:01:29.580 --> 00:01:34.580]  事實上我們看看過去這幾年所發生的大事
[00:01:34.580 --> 00:01:39.180]  無論是中美貿易戰 香港反送中運動
[00:01:39.180 --> 00:01:44.620]  國安法 COVID-19 肺炎肆虐全球
[00:01:44.620 --> 00:01:49.420]  台海的局勢 以色列和哈馬斯的戰爭
[00:01:49.420 --> 00:01:55.380]  俄烏的戰爭 以色列和美國聯合轟炸伊朗等等
[00:01:55.380 --> 00:01:58.820]  好像將我們整個世界打到亂七八糟
[00:01:58.820 --> 00:02:02.620]  我們所謂「亂」是指我們今日現在的常規
[00:02:02.620 --> 00:02:06.820]  無論在政制上 經濟上 醫療上 國際關係上
[00:02:06.820 --> 00:02:08.820]  都似乎被打破了
[00:02:08.820 --> 00:02:12.820]  不少人對世界局勢都持著一種悲觀的態度
[00:02:12.820 --> 00:02:16.820]  每天所聽到的新聞都是令人沮喪的消息
[00:02:16.820 --> 00:02:22.380]  教會又如何呢?不少教會都是因為政見不同呈現撕裂
[00:02:22.380 --> 00:02:24.380]  我們不禁問道
[00:02:24.380 --> 00:02:29.820]  究竟基督教在這個亂世裏面應該扮演一個甚麼角色呢?
[00:02:29.820 --> 00:02:31.820]  其實歷史告訴我們
[00:02:31.820 --> 00:02:35.820]  論天下大勢合久必分 分久必合
[00:02:35.820 --> 00:02:37.820]  有哪個時代不是這樣呢?
[00:02:37.820 --> 00:02:43.820]  舊約聖經的《史詩記》正好描繪了當時神所揀選的以色列人
[00:02:43.820 --> 00:02:47.820]  當神帶領他們進入了流乃與物的嬰兒地
[00:02:47.820 --> 00:02:52.820]  建立了一個屬神的社群 成為列國的見證的時候
[00:02:52.820 --> 00:02:57.820]  但是以色列人就像亞當一樣失敗了
[00:02:57.820 --> 00:03:01.820]  拋棄神 結果造成一片亂局
[00:03:01.820 --> 00:03:03.820]  正如《史詩記》最後一句說
[00:03:03.820 --> 00:03:08.820]  「那時以色列人中沒有王 各人任意而行」
[00:03:08.820 --> 00:03:13.820]  在這一季我們就要看看《史詩記》教導我們甚麼
[00:03:13.820 --> 00:03:17.820]  我叫這個系列「亂世皆疑」
[00:03:17.820 --> 00:03:19.820]  對不少信徒來說
[00:03:19.820 --> 00:03:23.820]  《史詩記》是一本非常陌生的書本
[00:03:23.820 --> 00:03:29.820]  事實上很少傳道人在講台裏宣講《史詩記》的信息
[00:03:29.820 --> 00:03:35.820]  很少團體、茶經班、主日學是研讀《史詩記》的
[00:03:35.820 --> 00:03:41.820]  何解呢?事實上整本《史詩記》充滿了血腥的事跡
[00:03:41.820 --> 00:03:47.820]  暴力、戰爭、姦詐、色情充斥整本書
[00:03:47.820 --> 00:03:48.820]  我們不禁會問
[00:03:48.820 --> 00:03:53.820]  神的子民竟然之間會淪落到這樣的地步?
[00:03:53.820 --> 00:03:56.820]  不過我們還要問一個更基本的問題
[00:03:56.820 --> 00:04:02.820]  為甚麼好像《史詩記》這本書卷會出現在《成經》當中呢?
[00:04:02.820 --> 00:04:08.820]  用意何在呢?這也是我們研讀《史詩記》其中一個要解決的問題
[00:04:08.820 --> 00:04:16.820]  首先要明白到《史詩記》提供了以色列人在加拿大的歷史
[00:04:16.820 --> 00:04:18.820]  自從阿伯拉罕以來
[00:04:18.820 --> 00:04:21.820]  希伯來人一直過著流蕩的生活
[00:04:21.820 --> 00:04:23.820]  沒有自己的地方
[00:04:23.820 --> 00:04:25.820]  只是異地作客
[00:04:25.820 --> 00:04:27.820]  神卻與阿伯拉罕納約
[00:04:27.820 --> 00:04:33.820]  因為他的後裔成為大國就像海的沙和天上的星一樣
[00:04:33.820 --> 00:04:35.820]  但經過了六百年來
[00:04:35.820 --> 00:04:38.820]  這個應許並沒有實現
[00:04:38.820 --> 00:04:41.820]  而且近四百年的時間
[00:04:41.820 --> 00:04:46.820]  以色列人在埃及為奴隸被欺詐
[00:04:46.820 --> 00:04:48.820]  神就呼召摩西
[00:04:48.820 --> 00:04:52.820]  帶領以色列人在曠野流蕩了三十八年
[00:04:52.820 --> 00:04:55.820]  終於在約書亞帶領之後攻入加拿大
[00:04:55.820 --> 00:04:57.820]  建立自己的家園
[00:04:57.820 --> 00:05:00.820]  但《史詩記》卻是告訴你
[00:05:00.820 --> 00:05:03.820]  這並不是升平的日子
[00:05:03.820 --> 00:05:07.820]  相反是一段非常黑暗的歷史
[00:05:07.820 --> 00:05:11.820]  是講述以色列人徹底的失敗
[00:05:11.820 --> 00:05:15.820]  《史詩記》不僅是歷史也是神學
[00:05:15.820 --> 00:05:20.820]  一方面是記載了一段在大衛王國之前的黑暗時代
