
[00:00:00.000 --> 00:00:09.820]  各位電視朋友 平安!我們今天有機會一起思想聖經的彼得前書經文
[00:00:09.820 --> 00:00:16.040]  我們思想兩個字 就是「警醒」 我們一起在先徒讀稿
[00:00:16.040 --> 00:00:23.820]  我們天上的主 我們感謝你 是你自己將奇妙的救恩賜給我們
[00:00:23.820 --> 00:00:30.640]  給我們有生命的能力 可以勝過罪權 勝過死權
[00:00:30.640 --> 00:00:36.760]  我們能夠活在你的面前 靠著你的恩惠 我們行在光明的路上
[00:00:36.760 --> 00:00:42.200]  主我們今天知道在世上生活仍然有很多不同的挑戰
[00:00:42.200 --> 00:00:47.640]  但是主我們仰望你的恩 帶領我們能夠堅定地跟隨你
[00:00:47.640 --> 00:00:54.840]  縱使社會變化 政局改變 但是主我們知道你永遠是我們的倚靠
[00:00:54.840 --> 00:01:01.220]  是我們的幫助 我們就放膽地 也都因為你的道的教導
[00:01:01.220 --> 00:01:07.380]  我們跟隨你 當我們一起思想聖經 懇求恩主
[00:01:07.380 --> 00:01:14.140]  賜下你保衛的聖靈 在我們心中引導我們進入你自己的真道
[00:01:14.140 --> 00:01:19.360]  我們仰望祈禱 奉主耶穌 盛名祈求 阿們
[00:01:19.360 --> 00:01:25.380]  今天一起思想的是比利前書四章的經文
[00:01:25.380 --> 00:01:31.100]  我特別來集中思想的是警醒 Watchful
[00:01:31.100 --> 00:01:35.520]  當思想到警醒的時候 大家都會很容易明白
[00:01:35.520 --> 00:01:40.880]  在日常生活裏面 很多事情都需要警覺著 警醒著
[00:01:40.880 --> 00:01:47.280]  一旦不小心 一旦疏忽 就會有很多損失傷害
[00:01:47.280 --> 00:01:51.480]  最近留意到一位長者 他在家裏面
[00:01:51.480 --> 00:01:56.320]  在自己家的走廊放了很多雜物
[00:01:56.320 --> 00:02:02.680]  家裏地方不是很大 所以很多物品都要堆在走廊的一邊
[00:02:02.680 --> 00:02:06.860]  但是越多越多 他自己都覺得有些問題
[00:02:06.860 --> 00:02:11.860]  有幾次想過要搬走這些物品 或者搬少一些也好
[00:02:11.860 --> 00:02:18.320]  但一直都沒有行動 直到有一次他走經走廊的時候
[00:02:18.320 --> 00:02:22.380]  因為那些物品 下層的那些 有些凸了出來
[00:02:22.380 --> 00:02:27.400]  他一走的時候就卡住了 整個就卡住了
[00:02:27.400 --> 00:02:33.020]  然後接著送入醫院 發覺大腿骨斷了
[00:02:33.020 --> 00:02:35.920]  這些事情我們久不久都聽到
[00:02:35.920 --> 00:02:40.540]  有時候聽到的時候就想 為什麼不早點搬走這些東西
[00:02:40.540 --> 00:02:45.400]  有時候會有一些感覺 家庭應該是最安全的地方
[00:02:45.400 --> 00:02:50.000]  但很多時候發覺很多意外在家庭裏面出現
[00:02:50.000 --> 00:02:54.280]  也都試過 有很多次想過要做那些 要做那些
[00:02:54.280 --> 00:02:57.160]  要處理那個問題 要解決那件事
[00:02:57.160 --> 00:03:02.640]  但是一直拖著拖著 最後就發生了事
[00:03:02.640 --> 00:03:08.200]  生活上我們很容易體會到這些警覺性是很重要的
[00:03:08.200 --> 00:03:14.120]  同樣你和我的心靈 同樣需要這種警覺
[00:03:14.120 --> 00:03:17.220]  什麼時候心靈裏面沒有了那種警覺
[00:03:17.220 --> 00:03:21.000]  我們都會受到很多的傷害
[00:03:21.000 --> 00:03:26.600]  那個傷害可能比起身體受傷害更加的嚴重
[00:03:26.600 --> 00:03:28.620]  當你讀到《彼得前書》的時候 你發覺
[00:03:28.620 --> 00:03:30.980]  《彼得前書》是多次提及到
[00:03:30.980 --> 00:03:33.700]  弟兄姊妹你們要警醒
[00:03:33.700 --> 00:03:37.500]  其中我們今天讀到的第四章第七節
[00:03:37.500 --> 00:03:40.180]  就很清楚講一件事情
[00:03:40.180 --> 00:03:45.220]  它說萬物的結局近了 所以你們要自律
[00:03:45.220 --> 00:03:52.380]  Self-control 要保持頭腦清醒 為要禱告
[00:03:52.380 --> 00:03:58.500]  正經很清楚的講述到這個世界的末了來到
[00:03:58.500 --> 00:04:01.720]  我們今天看回很多社會的情況
[00:04:01.720 --> 00:04:06.940]  整個世界的局勢 知道這件事情是更加的近
[00:04:06.940 --> 00:04:10.400]  就在這個末世的時候 聖經提醒我們
[00:04:10.400 --> 00:04:14.640]  我們要去保持頭腦清醒
