
[00:00:00.000 --> 00:00:10.000]  好 今天很感恩2022年第一次有機會再回來CNC跟大家講讀
[00:00:10.000 --> 00:00:19.000]  我也很想真的去到大家當中 但是奈何隔著一個螢幕
[00:00:19.000 --> 00:00:23.000]  也很高興見到很多弟兄姊妹的時候
[00:00:23.000 --> 00:00:32.000]  如果大家還記得2021年後半年我用了六次跟大家去看路加福音
[00:00:32.000 --> 00:00:36.000]  在路加福音我最主要強調 其實你再回去聽的時間
[00:00:36.000 --> 00:00:41.000]  那六次的講道其實比較專注在成為一個門徒
[00:00:41.000 --> 00:00:45.000]  不是門徒訓練 是成為一個門徒 跟隨主耶穌基督
[00:00:45.000 --> 00:00:53.000]  我未來2022年起碼頭三次上帝給我們的時間 或者給我的時間
[00:00:53.000 --> 00:00:58.000]  如果有機會我希望今年可以跟大家分享多一點馬可福音
[00:00:58.000 --> 00:01:03.000]  但最起碼頭三次我想跟大家分享一下
[00:01:03.000 --> 00:01:08.000]  在信仰路上的生命是怎樣有成長的
[00:01:08.000 --> 00:01:14.000]  哪怕我用的超越的字眼 成長的字眼 或者突破的字眼
[00:01:14.000 --> 00:01:18.000]  即是未來一二三月 都是在講這些東西
[00:01:18.000 --> 00:01:23.000]  在信仰路上的超越 在牧羊上的一些突破
[00:01:23.000 --> 00:01:27.000]  在祈禱的路上的一些成長等等
[00:01:27.000 --> 00:01:30.000]  無論用什麼字眼我都想探討
[00:01:30.000 --> 00:01:34.000]  究竟我們跟隨了主耶穌基督作為門徒之後
[00:01:34.000 --> 00:01:37.000]  我們在信仰的路上的時間我們成長是怎樣
[00:01:37.000 --> 00:01:41.000]  成長這個字眼其實我自己未信主之前都經常想
[00:01:41.000 --> 00:01:44.000]  想了很久 為何有些人 我身邊有些同學
[00:01:44.000 --> 00:01:49.000]  或者有些成熟的朋友 他們成長得很好
[00:01:49.000 --> 00:01:51.000]  所以我都不太知道什麼叫成長
[00:01:51.000 --> 00:01:54.000]  但我思想這個問題想了很久
[00:01:54.000 --> 00:01:58.000]  我想想了三十多四十年都有 從小就想這個問題
[00:01:58.000 --> 00:02:04.000]  後來我發覺原來書看多了 人識多了
[00:02:04.000 --> 00:02:07.000]  我發覺成長這個字眼 你就不可以就這樣說成長
[00:02:07.000 --> 00:02:09.000]  成長可以是physical的成長
[00:02:09.000 --> 00:02:12.000]  即是一個人你看見身邊有小朋友就知道
[00:02:12.000 --> 00:02:17.000]  小時候BB仔換面 一直到長大到現在十六七歲了
[00:02:17.000 --> 00:02:20.000]  很大個了 看著他身體上的成長
[00:02:20.000 --> 00:02:26.000]  你給他吃東西 做運動 給他吃些營養的東西
[00:02:26.000 --> 00:02:30.000]  吃些水果等等 他就會成長了 其實是physical
[00:02:30.000 --> 00:02:33.000]  但知識上的成長我發覺很特別
[00:02:33.000 --> 00:02:36.000]  知識上的成長不是看書就可以成長
[00:02:36.000 --> 00:02:41.000]  其實是你要思考它 甚至你要做它 用它
[00:02:41.000 --> 00:02:44.000]  所以人們經常說我聽了就不記得了
[00:02:44.000 --> 00:02:47.000]  但你告訴我的時候我會記多一點
[00:02:47.000 --> 00:02:50.000]  但你做它 你做它 你就會記得了
[00:02:50.000 --> 00:02:53.000]  我記得兩年前疫情的時候
[00:02:53.000 --> 00:02:57.000]  那時候關著自己大半年 半年的時間
[00:02:57.000 --> 00:03:00.000]  沒有什麼出去 完全開始的時候
[00:03:00.000 --> 00:03:03.000]  很想吃沙嗲牛肉 出不去又怎樣呢
[00:03:03.000 --> 00:03:06.000]  自己上網看了很多YouTube就看了
[00:03:06.000 --> 00:03:08.000]  很多種不同的方法 有些是這樣
[00:03:08.000 --> 00:03:12.000]  但大致上就做了一套卷出來 試一下去做
[00:03:12.000 --> 00:03:15.000]  一兩次失敗了 三四次之後 發覺成功了
[00:03:15.000 --> 00:03:18.000]  原來沙嗲牛肉不是用沙嗲醬
[00:03:18.000 --> 00:03:21.000]  是用沙茶醬是最重要的核心
[00:03:21.000 --> 00:03:23.000]  很好吃 我覺得真的很好吃
[00:03:23.000 --> 00:03:26.000]  起碼我女兒覺得好吃過外面的茶餐廳
[00:03:26.000 --> 00:03:28.000]  她經常要我做的 但工序很煩
[00:03:28.000 --> 00:03:32.000]  所以問題是你把原來在知識上的成長
[00:03:32.000 --> 00:03:33.000]  還要多加一件事
[00:03:33.000 --> 00:03:36.000]  就不只是看了很多書 看了很多YouTube
[00:03:36.000 --> 00:03:38.000]  你還要去做 做之餘
[00:03:38.000 --> 00:03:40.000]  原來我發覺背後還有一樣很重要的東西
[00:03:40.000 --> 00:03:43.000]  就是你對那件事有沒有深
[00:03:43.000 --> 00:03:45.000]  你是否很想做好那件事
[00:03:45.000 --> 00:03:47.000]  或者簡單來說 有沒有情在裡面
[00:03:47.000 --> 00:03:50.000]  我真的想做一個很好吃的沙嗲牛肉
[00:03:50.000 --> 00:03:53.000]  所以我就花很多時間去做 就是這樣
[00:03:53.000 --> 00:03:56.000]  在信仰路上 當我成為基督徒的時候
[00:03:56.000 --> 00:03:58.000]  我同樣思想一個問題
[00:03:58.000 --> 00:04:00.000]  在信仰路上的時間
[00:04:00.000 --> 00:04:02.000]  我究竟怎樣可以有一個成長 有一個超越呢
[00:04:02.000 --> 00:04:04.000]  所以接下來我們看《馬可福音》的時間
[00:04:04.000 --> 00:04:06.000]  三次 起碼三次
[00:04:06.000 --> 00:04:09.000]  我就想探討這個問題和大家分享
[00:04:09.000 --> 00:04:11.000]  今天我就選了《馬可福音》第八章
[00:04:11.000 --> 00:04:14.000]  十節的經文 頭到尾十一節
[00:04:14.000 --> 00:04:16.000]  這段經文很熟悉
[00:04:16.000 --> 00:04:18.000]  就先看一看
[00:04:18.000 --> 00:04:20.000]  為什麼呢 看一看
[00:04:20.000 --> 00:04:23.000]  好 如果大家在鏡頭前都可以開聲
[00:04:23.000 --> 00:04:25.000]  大家讀 雖然我聽不到你的聲音
[00:04:25.000 --> 00:04:27.000]  我們一起讀 八章二十七節開始
[00:04:27.000 --> 00:04:29.000]  耶穌和門徒出去要到蓋撒尼亞
[00:04:29.000 --> 00:04:31.000]  菲勒比附近的村莊
[00:04:31.000 --> 00:04:34.000]  然後在路上的時間就問門徒
[00:04:34.000 --> 00:04:36.000]  人說我是誰
[00:04:36.000 --> 00:04:38.000]  然後八章二十八節他們回答
[00:04:38.000 --> 00:04:40.000]  有人說是施洗的約翰
[00:04:40.000 --> 00:04:42.000]  有人說是以利亞
[00:04:42.000 --> 00:04:45.000]  還有人說是先知裡的一位
[00:04:45.000 --> 00:04:47.000]  他又問他們說 那麼你們呢
[00:04:47.000 --> 00:04:49.000]  你們說我是誰 彼得就回答
[00:04:49.000 --> 00:04:53.000]  你就是基督 耶穌鄭重地奔赴他們
[00:04:53.000 --> 00:04:56.000]  不要把他的事情告訴別人
