
[00:00:00.000 --> 00:00:03.540]  他在香港做獅子山霞的導演
[00:00:03.540 --> 00:00:06.240]  他在法國很多次出獅子山霞
[00:00:06.240 --> 00:00:08.000]  他是一個基督徒
[00:00:08.000 --> 00:00:11.400]  他的抱負就是一生都是為新聞仔
[00:00:11.400 --> 00:00:16.400]  為家庭來寫劇本拍戲 做導演
[00:00:16.400 --> 00:00:20.400]  所以我認識他的時候就在三年前
[00:00:20.400 --> 00:00:23.400]  他跟我差不多同年 他比我大一點
[00:00:23.400 --> 00:00:25.400]  他在香港拍了很多電影
[00:00:25.400 --> 00:00:30.400]  但是他已經想不再做了
[00:00:30.400 --> 00:00:32.400]  一個很大的神蹟
[00:00:32.400 --> 00:00:36.400]  就是我小時候教我主日學的那個老師
[00:00:36.400 --> 00:00:39.400]  就在加拿大回來香港
[00:00:39.400 --> 00:00:41.400]  他就看我教主日學
[00:00:41.400 --> 00:00:44.400]  他說我很害怕 老師看我
[00:00:44.400 --> 00:00:47.400]  完了之後他就叫我喝下午茶
[00:00:47.400 --> 00:00:49.400]  他就叫我喝下午茶
[00:00:49.400 --> 00:00:51.400]  我跟他講了一段時間
[00:00:51.400 --> 00:00:55.400]  他就叫我喝下午茶
[00:00:55.400 --> 00:00:59.400]  他就想介紹一個人我認識
[00:00:59.400 --> 00:01:05.400]  那個下午茶就改變了我和你今晚上的原因
[00:01:05.400 --> 00:01:11.400]  那個下午茶就介紹他的侄子翁偉眉導演給我認識
[00:01:11.400 --> 00:01:14.400]  男人來的翁偉眉 雖然他是眉姐
[00:01:14.400 --> 00:01:16.400]  那個翁導演我認識他的時候
[00:01:16.400 --> 00:01:19.400]  他們告訴我年紀都大了
[00:01:19.400 --> 00:01:24.400]  想著不再做任何工作關於電影
[00:01:24.400 --> 00:01:28.400]  但是他就聽到我這個主日學老師
[00:01:28.400 --> 00:01:31.400]  這個老師就是翁太 他的侄子
[00:01:31.400 --> 00:01:33.400]  翁太就跟他說
[00:01:33.400 --> 00:01:36.400]  不如你和余德淳一起合作
[00:01:36.400 --> 00:01:38.400]  做家庭的電影吧
[00:01:38.400 --> 00:01:40.400]  有得做的
[00:01:40.400 --> 00:01:43.400]  那時候我就說不如我們兩個合作
[00:01:43.400 --> 00:01:44.400]  做一齣電影
[00:01:44.400 --> 00:01:47.400]  於是我就想起做《打機王》這部電影
[00:01:47.400 --> 00:01:49.400]  這部電影是真人真事
[00:01:49.400 --> 00:01:51.400]  這個《打機王》今晚在哪裏呢
[00:01:51.400 --> 00:01:55.400]  他在墨爾本的報道會
[00:01:55.400 --> 00:01:59.400]  這個《打機王》在三年後的今天
[00:01:59.400 --> 00:02:02.400]  也帶著一齣電影在墨爾本放映
[00:02:02.400 --> 00:02:05.400]  這齣電影首先在國內清遠做
[00:02:05.400 --> 00:02:07.400]  後來就去了多倫多
[00:02:07.400 --> 00:02:09.400]  次序就是在紐約
[00:02:09.400 --> 00:02:14.400]  然後西雅圖 三藩市 澳洲
[00:02:14.400 --> 00:02:16.400]  今天就在墨爾本
[00:02:16.400 --> 00:02:18.400]  這齣電影在很多地方
[00:02:18.400 --> 00:02:21.400]  在香港我想超過過萬人看過
[00:02:21.400 --> 00:02:25.400]  佔了一些教會的中學和小學
[00:02:25.400 --> 00:02:27.400]  也有個別教會
[00:02:27.400 --> 00:02:30.400]  好像有大的銀幕放映
[00:02:30.400 --> 00:02:33.400]  不過說那個神跡是什麼意思呢
[00:02:33.400 --> 00:02:36.400]  就是說在去年
[00:02:36.400 --> 00:02:39.400]  這齣電影正是很多地方看的時候
[00:02:39.400 --> 00:02:43.400]  介紹我認識翁偉明導演的翁太
[00:02:43.400 --> 00:02:49.400]  我這個著作先生去年回了天家
[00:02:49.400 --> 00:02:53.400]  原來他一生最後的工作
[00:02:53.400 --> 00:02:56.400]  就是介紹我認識了翁導演
[00:02:56.400 --> 00:02:58.400]  然後他回加拿大的時候
[00:02:58.400 --> 00:03:00.400]  一年後就回了天家
[00:03:00.400 --> 00:03:03.400]  我相信他已經接近80歲
[00:03:03.400 --> 00:03:06.400]  人生原來最後做一件事
[00:03:06.400 --> 00:03:09.400]  是找到這個世界一個需要的東西
[00:03:09.400 --> 00:03:11.400]  自己做了第一步
[00:03:11.400 --> 00:03:13.400]  你有沒有想過第一步
[00:03:13.400 --> 00:03:15.400]  是一個很重要的工作
[00:03:15.400 --> 00:03:17.400]  你會看不到很多步
[00:03:17.400 --> 00:03:20.400]  但是上等會保守這件事的果效
[00:03:20.400 --> 00:03:22.400]  這個作功的果效
[00:03:22.400 --> 00:03:25.400]  所以今天很歡迎很多教會的下一代
[00:03:25.400 --> 00:03:27.400]  今天坐在這裡
[00:03:27.400 --> 00:03:30.400]  我也不敢說太文奏奏的東西
[00:03:30.400 --> 00:03:33.400]  希望十歲十二歲都聽得明白
[00:03:33.400 --> 00:03:35.400]  不過最難得的地方就是
[00:03:35.400 --> 00:03:38.400]  很少教會看到男生坐在這裡
[00:03:38.400 --> 00:03:40.400]  不容易的
[00:03:40.400 --> 00:03:43.400]  還要走走走的坐在這裡
