
[00:00:00.000 --> 00:00:06.000]  今日是一個非常特別的父親節
[00:00:06.000 --> 00:00:12.000]  我決定我今日會行出街
[00:00:12.000 --> 00:00:16.000]  見到年輕人
[00:00:16.000 --> 00:00:18.000]  年輕人而已
[00:00:18.000 --> 00:00:20.000]  我會擁抱他
[00:00:20.000 --> 00:00:22.000]  如果可以的話
[00:00:22.000 --> 00:00:26.000]  就算是警察
[00:00:26.000 --> 00:00:28.000]  我都會擁抱他
[00:00:28.000 --> 00:00:31.000]  如果方便的話
[00:00:31.000 --> 00:00:34.000]  香港需要愛
[00:00:34.000 --> 00:00:38.000]  香港需要父親
[00:00:38.000 --> 00:00:43.000]  今日仍然是一個撕裂的社會
[00:00:43.000 --> 00:00:46.000]  到今時今日
[00:00:46.000 --> 00:00:57.000]  仍然是一個紅、黃、藍的社會
[00:00:57.000 --> 00:00:59.000]  不幸地
[00:00:59.000 --> 00:01:01.000]  甚至可以說
[00:01:01.000 --> 00:01:09.000]  教會都分成建制或非建制
[00:01:09.000 --> 00:01:11.000]  親愛的兄姊妹
[00:01:11.000 --> 00:01:14.000]  你有你的立場
[00:01:14.000 --> 00:01:17.000]  我有我的立場
[00:01:17.000 --> 00:01:22.000]  這是可以的
[00:01:22.000 --> 00:01:25.000]  亦都是迴避不了的
[00:01:25.000 --> 00:01:29.000]  但我想站在這裏
[00:01:29.000 --> 00:01:31.000]  來告訴你
[00:01:31.000 --> 00:01:32.000]  基督教豐盛生命台
[00:01:32.000 --> 00:01:34.000]  我所認識的
[00:01:34.000 --> 00:01:42.000]  不是一個有既定政治立場路線
[00:01:42.000 --> 00:01:45.000]  依靠哪個政黨
[00:01:45.000 --> 00:01:49.000]  支持哪個政黨的教會
[00:01:49.000 --> 00:01:51.000]  你信不信?
[00:01:51.000 --> 00:01:53.000]  你同不同意?
[00:01:53.000 --> 00:01:56.000]  我們不是藍
[00:01:56.000 --> 00:01:58.000]  亦都不是黃
[00:01:58.000 --> 00:02:05.000]  亦都不是紅
