
[00:00:00.000 --> 00:00:02.000]  聽者們早晨
[00:00:02.000 --> 00:00:05.500]  開心有機會回來這裡跟大家分享近日的說話
[00:00:05.500 --> 00:00:10.500]  特別是唐主任小牧先生跟我說
[00:00:10.500 --> 00:00:12.500]  見我應該沒什麼事做了
[00:00:12.500 --> 00:00:14.500]  所以8月就編我講多一點
[00:00:14.500 --> 00:00:19.500]  其實我上次講6月的時候其實不是很久
[00:00:19.500 --> 00:00:22.500]  但不知道每次回來都好像重新再回來
[00:00:22.500 --> 00:00:26.000]  感謝給我機會跟大家分享
[00:00:26.000 --> 00:00:27.500]  可能你覺得奇怪
[00:00:27.500 --> 00:00:31.500]  既然你不是經常分享 為什麼選擇離婚的題目來講呢
[00:00:31.500 --> 00:00:34.500]  我就要先解釋一下背景
[00:00:34.500 --> 00:00:36.500]  如果大家還記得
[00:00:36.500 --> 00:00:38.500]  我一直在跟大家分享馬可福音
[00:00:38.500 --> 00:00:39.500]  有沒有印象
[00:00:39.500 --> 00:00:41.500]  如果沒有我們已經講了9章
[00:00:41.500 --> 00:00:44.500]  已經有一年多時間了
[00:00:44.500 --> 00:00:48.500]  馬可福音我上次停的地方就是第9章的結束
[00:00:48.500 --> 00:00:51.500]  即是剛剛到了一個段落
[00:00:51.500 --> 00:00:53.500]  因為馬可福音大概有一個分水嶺
[00:00:53.500 --> 00:00:55.500]  就是第9章和第10章
[00:00:55.500 --> 00:00:58.500]  在第9章中間一直到第9章的結束
[00:00:58.500 --> 00:01:03.500]  耶穌本來工作的地方是一個叫加利利省份
[00:01:03.500 --> 00:01:05.500]  就是猶太地方裡面的加利利省份
[00:01:05.500 --> 00:01:07.500]  即是在地道上大約北面的地方
[00:01:07.500 --> 00:01:09.500]  但由第9章中間開始
[00:01:09.500 --> 00:01:12.500]  祂就開始面向南面
[00:01:12.500 --> 00:01:16.500]  向猶太的城市耶路撒冷進發
[00:01:16.500 --> 00:01:19.500]  目的就是祂最後要上十字架
[00:01:19.500 --> 00:01:21.500]  完成了整個救贖工作
[00:01:21.500 --> 00:01:24.500]  所以第9章和第10章是主要分水嶺
[00:01:24.500 --> 00:01:26.500]  上次我停的地方是第9章
[00:01:26.500 --> 00:01:28.500]  我一邊思想的時候
[00:01:28.500 --> 00:01:30.500]  我想完成整個馬可福音
[00:01:30.500 --> 00:01:32.500]  所以這次接著由第10章開始和大家講
[00:01:32.500 --> 00:01:36.500]  不是故意今天無緣無故地講一個這樣的題目
[00:01:36.500 --> 00:01:37.500]  並且我想想
[00:01:37.500 --> 00:01:42.500]  如果聖經將它的教導放在這裡
[00:01:42.500 --> 00:01:44.500]  我們尊重神的話
[00:01:44.500 --> 00:01:46.500]  就應該照著聖經的啟示
[00:01:46.500 --> 00:01:48.500]  一直和大家分享神的話
[00:01:48.500 --> 00:01:51.500]  離婚是一個基督徒很敏感的題目
[00:01:51.500 --> 00:01:52.500]  就因為這個緣故
[00:01:52.500 --> 00:01:55.500]  很容易我們覺得這個題目很重要
[00:01:55.500 --> 00:01:56.500]  婚姻當然很重要
[00:01:56.500 --> 00:01:57.500]  不過太敏感了
[00:01:57.500 --> 00:01:59.500]  所以就不要講那麼多
[00:01:59.500 --> 00:02:01.500]  我猜我們很多時候都用這種方法去處理
[00:02:01.500 --> 00:02:03.500]  或者逃避那些問題
[00:02:03.500 --> 00:02:05.500]  事實上很多問題在聖經裡面
[00:02:05.500 --> 00:02:07.500]  早就教導了我們
[00:02:07.500 --> 00:02:10.500]  很多問題可能和現在這個社會的意見
[00:02:10.500 --> 00:02:13.500]  社會整個文化的表達都不相同
[00:02:13.500 --> 00:02:15.500]  因此我覺得更加需要
[00:02:15.500 --> 00:02:17.500]  我們從神的話上面
[00:02:17.500 --> 00:02:19.500]  看看上帝的心意是怎樣
[00:02:19.500 --> 00:02:24.500]  離婚在香港、在世界各地
[00:02:24.500 --> 00:02:28.500]  已經再不是一個好像很陌生的題目
[00:02:28.500 --> 00:02:31.500]  其實我相信大家所有的弟兄姊妹
[00:02:31.500 --> 00:02:34.500]  在你的朋友甚至是親人裡面
[00:02:34.500 --> 00:02:36.500]  可能都在發生這些事情
