
[00:00:00.000 --> 00:00:08.560]  剛才講的時候已經將到我們過去兩晚所講傳道書的一些很重要的訊息
[00:00:08.560 --> 00:00:11.360]  很精簡地總結了
[00:00:11.360 --> 00:00:15.840]  所以我覺得今天我們爭取時間
[00:00:15.840 --> 00:00:20.560]  將傳道書裏面還有一個很重要的課題的訊息一定要講的
[00:00:20.560 --> 00:00:22.560]  來跟大家一起分享
[00:00:22.560 --> 00:00:25.280]  大家手上可能沒有這個新譯本
[00:00:25.280 --> 00:00:25.840]  不要緊的
[00:00:25.840 --> 00:00:31.120]  如果你帶了自己的華盤聖經來我們一起打開華盤來看看
[00:00:31.120 --> 00:00:32.720]  都是揭開傳道書
[00:00:32.720 --> 00:00:36.080]  因為我可能會再揭其他的經文也說不定
[00:00:36.080 --> 00:00:44.400]  我們從第一晚就已經講了傳道書是所羅門王他經驗過人生最豐富的東西
[00:00:44.400 --> 00:00:46.400]  擁有過權力
[00:00:46.400 --> 00:00:52.720]  享受過美食、佳牛、財富、美女
[00:00:52.720 --> 00:00:56.160]  到了晚年的時候他寫的書
[00:00:56.160 --> 00:01:05.040]  在晚年裏面在傳道書當中不得不少散發出一種唏噓和很弔詭的智慧
[00:01:05.040 --> 00:01:09.920]  唏噓是他看盡人間最美麗最嚮往的東西
[00:01:09.920 --> 00:01:15.440]  發覺原來當中只是有好像傳道書重覆的兩句說話
[00:01:15.440 --> 00:01:17.440]  虛空的虛空
[00:01:17.440 --> 00:01:20.160]  一切都是虛空的
[00:01:20.160 --> 00:01:27.520]  但傳道書當然不是結論在虛空和消極放棄這個課題
[00:01:27.520 --> 00:01:31.840]  傳道書的奇妙之處就是看盡人間的虛空
[00:01:31.840 --> 00:01:37.040]  好像我們這個課題一樣看透生命的悲
[00:01:37.040 --> 00:01:40.000]  看透生命的無聊和無奈
[00:01:40.000 --> 00:01:44.000]  看透生命的不公平
[00:01:44.000 --> 00:01:52.960]  在那裏轉化出一種很弔詭但很突破性的人生的出路
[00:01:52.960 --> 00:01:55.520]  這就是傳道書的特色
[00:01:55.520 --> 00:01:59.360]  所以傳道書是一個很有智慧的書
[00:01:59.360 --> 00:02:02.160]  我們叫智慧文學裏面其中的一本
[00:02:02.160 --> 00:02:04.720]  亦有時是不容易理解的書
[00:02:04.720 --> 00:02:09.600]  所以我希望藉著這三晚我盡我自己的力量去了解
[00:02:09.600 --> 00:02:13.200]  加上人生的體會和大家一起分享
[00:02:13.200 --> 00:02:16.240]  希望大家可以透過傳道書
[00:02:16.240 --> 00:02:20.560]  一方面看見人生的虛空和荒謬
[00:02:20.560 --> 00:02:23.760]  但另一方面我們也看到在虛空和荒謬當中
[00:02:23.760 --> 00:02:29.840]  我們有神的人有上帝的人有永恆視野的人是不同的
[00:02:29.840 --> 00:02:34.320]  雖然我們的際遇和其他人並不一定有什麼分別
[00:02:34.320 --> 00:02:38.800]  但我們的人不同了我們的生命不同了我們的視野不同了
[00:02:38.800 --> 00:02:44.960]  我們生命仍然可以活得很豐富很積極很快樂很享福
[00:02:44.960 --> 00:02:47.760]  這就是我們傳道書的訊息
[00:02:47.760 --> 00:02:50.480]  今晚我們來看最後一個課題
[00:02:50.480 --> 00:02:53.840]  如果你有留意過去兩晚有來的時候
[00:02:53.840 --> 00:02:56.960]  我告訴你第一晚我們和傳道書最尾的兩章
[00:02:56.960 --> 00:02:59.120]  十一章和十二章為主調
[00:02:59.120 --> 00:03:02.480]  來講一個蕭細的生命是怎樣的生命
[00:03:02.480 --> 00:03:05.520]  這個蕭細生命提醒我們
[00:03:05.520 --> 00:03:09.280]  還有機會的時候尚未來到之先
[00:03:09.280 --> 00:03:12.080]  享受我們勞碌得來的份
[00:03:12.080 --> 00:03:15.760]  昨晚我們講回傳道書開頭的三章
[00:03:15.760 --> 00:03:21.680]  開頭的三章裡面傳道者是講盡人生的無聊無奈
[00:03:21.680 --> 00:03:24.400]  因為我們的生命只不過是定數的
[00:03:24.400 --> 00:03:28.080]  我們的生命是重重複複的沒有什麼意思的
[00:03:28.080 --> 00:03:31.520]  在這個過程當中我們發覺傳道者不是的
[00:03:31.520 --> 00:03:34.320]  生命不是就此罷休的
[00:03:34.320 --> 00:03:38.160]  如果一個有神的人從神的角度去看的時候
[00:03:38.160 --> 00:03:42.480]  我看見神的手我看見一個感恩的心
[00:03:42.480 --> 00:03:46.640]  於是我們的生命就可以在神面前謙謙卑卑
[00:03:46.640 --> 00:03:51.200]  但是可以相信神自己的美意安排
[00:03:51.200 --> 00:03:54.160]  這個我相信就是昨晚我們的訊息
[00:03:54.160 --> 00:03:57.600]  我們講了傳道書最前面和最後面的
[00:03:57.600 --> 00:03:59.920]  今天當然講中間
[00:03:59.920 --> 00:04:04.400]  傳道書中間的幾章聖經尤其是第四章到第九章
[00:04:04.400 --> 00:04:07.920]  零零星星的我們剛剛只讀了很少的部分
[00:04:07.920 --> 00:04:12.160]  我鼓勵大家這三晚起碼要讀完傳道書
[00:04:12.160 --> 00:04:14.720]  如果還沒讀完的話今天晚上再讀完
[00:04:14.720 --> 00:04:16.560]  明天再上崇拜也好
[00:04:16.560 --> 00:04:18.720]  所以就要用心看完
[00:04:18.720 --> 00:04:20.160]  能否明白都不要緊
