
[00:00:00.000 --> 00:00:06.160]  今天和大家一起去分享的經文
[00:00:06.160 --> 00:00:10.760]  仍然是出自這個約爾書的第三章
[00:00:10.760 --> 00:00:12.600]  今天會看多一點經文
[00:00:12.600 --> 00:00:15.320]  從第四節到第八節的經文
[00:00:15.320 --> 00:00:17.600]  今天所說的主題是叫做
[00:00:17.600 --> 00:00:20.080]  自作孽神追究
[00:00:20.080 --> 00:00:23.200]  好 那麼在今天開始說到這裡
[00:00:23.200 --> 00:00:25.760]  或者讓我們去給個機會
[00:00:25.760 --> 00:00:27.280]  我和大家一起去看一下
[00:00:27.280 --> 00:00:30.120]  一些有關歷史的事情
[00:00:30.120 --> 00:00:33.160]  在中國的古代裡面
[00:00:33.160 --> 00:00:36.160]  曾經有一段時間叫做三國的時期
[00:00:36.160 --> 00:00:38.760]  當時就有三個國家
[00:00:38.760 --> 00:00:43.600]  魏、蜀、吳這三個主要的國家
[00:00:43.600 --> 00:00:45.600]  當時這三個國家
[00:00:45.600 --> 00:00:49.760]  可以說在中國歷史上是鼎足而立
[00:00:49.760 --> 00:00:53.440]  於是乎每一個國家都希望能夠
[00:00:53.440 --> 00:00:55.640]  吞併了其他的國家
[00:00:55.640 --> 00:00:59.320]  而其中一個國家裡面的首相
[00:00:59.320 --> 00:01:02.640]  或者叫做丞相就叫做諸葛亮
[00:01:02.640 --> 00:01:08.120]  諸葛亮當時是蜀國當中的丞相
[00:01:08.120 --> 00:01:12.360]  他曾經有很多都很出名的一些說話
[00:01:12.360 --> 00:01:14.360]  譬如有一句說話他這樣說過
[00:01:14.360 --> 00:01:18.440]  他說 勿以惡小而為之
[00:01:18.440 --> 00:01:21.000]  勿以善小而不為
[00:01:21.000 --> 00:01:23.280]  意思就是說如果當我們以為
[00:01:23.280 --> 00:01:26.560]  一些只是小小的錯的事情
[00:01:26.560 --> 00:01:27.840]  很小的而已
[00:01:27.840 --> 00:01:30.800]  那我們就去做吧 千萬不要這樣想
[00:01:30.800 --> 00:01:35.160]  又或者不要以為一些只是小小的善事
[00:01:35.160 --> 00:01:37.360]  於是乎我們就索性不要去做了
[00:01:37.360 --> 00:01:40.400]  他也都告訴我們不要這樣去看
[00:01:40.400 --> 00:01:45.280]  不過後來有一次的歷史的發展裡面
[00:01:45.280 --> 00:01:50.960]  諸葛亮就曾經和他們的國家的一個大將
[00:01:50.960 --> 00:01:54.480]  名字叫做費維 或者叫做卑維
[00:01:54.480 --> 00:01:59.920]  視乎他的宗族源自於那個姓是怎麼讀
[00:01:59.920 --> 00:02:02.000]  可以讀費 可以讀卑
[00:02:02.000 --> 00:02:05.200]  這個大將就有一次很不明白
[00:02:05.200 --> 00:02:09.040]  就去問這位的丞相諸葛亮
[00:02:09.040 --> 00:02:12.520]  他說諸葛先生 我很不明白
[00:02:12.520 --> 00:02:18.320]  為什麼我們已經是曾經試過北征五次
[00:02:18.320 --> 00:02:22.640]  希望嘗試去真的能夠征服在北邊的國家
[00:02:22.640 --> 00:02:25.200]  但我們五次都已經失敗了
[00:02:25.200 --> 00:02:30.280]  但你仍然是要堅持要去進行第六次的北征呢
[00:02:30.280 --> 00:02:32.400]  為什麼你要這樣做呢
[00:02:32.400 --> 00:02:35.920]  那當時諸葛就這樣和他說
[00:02:35.920 --> 00:02:41.040]  諸葛亮就說人在做 天在看
[00:02:41.040 --> 00:02:43.080]  究竟他為什麼要說這番話
[00:02:43.080 --> 00:02:48.280]  我想當時也都可以反映出諸葛亮他那份的決心
[00:02:48.280 --> 00:02:51.280]  他知道一些事情是對的事情
[00:02:51.280 --> 00:02:53.800]  他必須要努力去完成
[00:02:53.800 --> 00:02:58.680]  但同樣道理 如果當一些事情做不到的時候
[00:02:58.680 --> 00:03:02.720]  或者那個後果不是真是如自己所願的話
[00:03:02.720 --> 00:03:06.520]  不要緊的 只要人是努力去做 不斷去做
[00:03:06.520 --> 00:03:08.640]  能夠做的都做的時候
[00:03:08.640 --> 00:03:13.040]  上天一定去看著 究竟我最後的結果是怎麼樣
[00:03:13.040 --> 00:03:17.840]  當然從這段歷史裡面 我們知道諸葛亮
[00:03:17.840 --> 00:03:20.960]  他在當時就不認識上帝
[00:03:20.960 --> 00:03:23.720]  但其實當我們作為一個基督徒
[00:03:23.720 --> 00:03:25.720]  透過聖經的啟示
[00:03:25.720 --> 00:03:28.720]  我們就會明白到所謂天
[00:03:28.720 --> 00:03:33.960]  其實是指那位創造天地萬物的主
[00:03:33.960 --> 00:03:36.080]  我們的耶和華神
[00:03:36.080 --> 00:03:39.680]  但是如果我們不認識我們這位主
[00:03:39.680 --> 00:03:43.320]  有這個主管這個世界的主權的時候
[00:03:43.320 --> 00:03:47.720]  人就很可能只會得到一種很虛無
[00:03:47.720 --> 00:03:50.920]  或者只是靠猜測碰運氣的心態
[00:03:50.920 --> 00:03:54.520]  今天我不是和大家去討論歷史
[00:03:54.520 --> 00:03:56.520]  當然講到的時間
[00:03:56.520 --> 00:04:00.040]  我們最重要的是看回聖經裡面的教導
[00:04:00.040 --> 00:04:03.320]  但藉著這個故事也誘發起我們去看一下
[00:04:03.320 --> 00:04:07.520]  其實今天我們活在這個世界裡面
[00:04:07.520 --> 00:04:12.320]  其實上帝在這裡不單止是看著我們這個世界
[00:04:12.320 --> 00:04:14.320]  每個人所做的事情
[00:04:14.320 --> 00:04:18.320]  並且上帝原來是有錯切的行動
[00:04:18.320 --> 00:04:22.320]  只不過這些行動看起來好像是天災
[00:04:22.320 --> 00:04:28.320]  其實背後上帝是在針對人的罪而去處理
[00:04:28.320 --> 00:04:31.320]  並且上帝有一連串的行動
[00:04:31.320 --> 00:04:35.320]  去顯明出人的罪惡是怎麼樣
[00:04:35.320 --> 00:04:37.320]  今天我們就透過這段聖經
[00:04:37.320 --> 00:04:41.320]  約爾書的第三章第四至第八節的經文
[00:04:41.320 --> 00:04:44.320]  我們一起去思想這個題目
[00:04:44.320 --> 00:04:46.320]  自作孽神追究
[00:04:46.320 --> 00:04:52.320]  在開始之前我們先讀一下這段聖經
[00:04:52.320 --> 00:04:57.320]  約爾書第三章第四至第八節
[00:04:57.320 --> 00:05:02.320]  泰爾西頓和菲利士四幾多人
[00:05:02.320 --> 00:05:04.320]  你們與我何干
[00:05:04.320 --> 00:05:06.320]  你們要報復我嗎
[00:05:06.320 --> 00:05:08.320]  若報復我
[00:05:08.320 --> 00:05:12.320]  我必使報應速速歸到你們的頭上
[00:05:12.320 --> 00:05:15.320]  你們既然奪取我的金銀
[00:05:15.320 --> 00:05:19.320]  又將我可愛的寶物帶入你的宮殿
[00:05:19.320 --> 00:05:24.320]  並將猶大人和耶路撒冷人賣給希臘人
[00:05:24.320 --> 00:05:27.320]  使他們遠離自己的境界
[00:05:27.320 --> 00:05:32.320]  我必激動他們離開你們所邁到之地
[00:05:32.320 --> 00:05:35.320]  又必使報應歸到你們的頭上
[00:05:35.320 --> 00:05:40.320]  我必將你們的兒女賣在猶大人的手中
[00:05:40.320 --> 00:05:44.320]  他們必賣給遠方士巴國的人
[00:05:44.320 --> 00:05:47.320]  這是耶和華說的
[00:05:47.320 --> 00:05:49.320]  在這段聖經裏面
[00:05:49.320 --> 00:05:53.320]  一開始我們首先要看一個很重要的題目
[00:05:53.320 --> 00:05:55.320]  就是一個無可抵賴的罪
[00:05:55.320 --> 00:05:59.320]  從第三章第四至第六節裏面
[00:05:59.320 --> 00:06:00.320]  我們可以看見這一點
[00:06:00.320 --> 00:06:03.320]  如果我們一直在聽約爾書的時候
[00:06:03.320 --> 00:06:05.320]  我相信大家也都明白到
[00:06:05.320 --> 00:06:07.320]  在上文已經揭開了
[00:06:07.320 --> 00:06:12.320]  上帝要審判整個世界的這個罪惡
[00:06:12.320 --> 00:06:16.320]  並且上帝傳召了他的子民
