
[00:00:00.000 --> 00:00:10.000]  我平身最怕有幾樣東西,第一,我最怕去非法島非法,
[00:00:10.000 --> 00:00:19.000]  看著大鏡,又不可以戴上眼鏡,夢茶茶,整個鐘頭,
[00:00:19.000 --> 00:00:25.000]  最慘是被人把頭弄了給他教飛,沒來沒去,
[00:00:25.000 --> 00:00:32.000]  有時還要做很多剪刀,我記得小時候,但已經有演出時間,
[00:00:32.000 --> 00:00:39.000]  更加糟糕,有時舊的非法店拿著剃刀在皮上磨,
[00:00:39.000 --> 00:00:45.000]  然後在臉上刮,不小心刮錯的時候,那時候就不堪設想,
[00:00:45.000 --> 00:00:50.000]  我最怕去非法,結婚後太太請救了我,
[00:00:50.000 --> 00:00:58.000]  她特意去YWCA學剪髮,從此之後,我不用再去非法島非法,
[00:00:58.000 --> 00:01:04.000]  因為我想得我太太,就算她拿剪刀剪刀,也有安全感,
[00:01:04.000 --> 00:01:09.000]  第二個我怕就是去喝,特別去到一圍,
[00:01:09.000 --> 00:01:14.000]  個個都不懂,只剩下你一支工在外面喝,你有沒有試過這些經驗?
[00:01:14.000 --> 00:01:18.000]  真的不是很好受,人家有說有笑,
[00:01:18.000 --> 00:01:25.000]  你不知道吃好就一直不在吃,又想瘦身,不想吃那麼多,
[00:01:25.000 --> 00:01:32.000]  你又不知道跟旁邊說什麼,人家又覺得有傾有講,你一個都不懂,
[00:01:32.000 --> 00:01:39.000]  真的想起以前好像呆佬敗壽,那餐飯真的難吃到極,結婚後又不同了,
[00:01:39.000 --> 00:01:44.000]  太太又請救了我,因為人請我都是合夫統整,加上生了兩個小朋友,
[00:01:44.000 --> 00:01:51.000]  飲宴的時候自己一家人在家裡,自己一家人在這裡,有傾有講,
[00:01:51.000 --> 00:02:00.000]  所以以後是不用怕,所以聖經說兩個人做什麼一個人好,第三怕就連結婚都搞不定了,
[00:02:00.000 --> 00:02:09.000]  我怕什麼?我怕坐電梯坐電梯,尤其是那些電梯是很擠迫的時候,情形就更加尷尬,
[00:02:09.000 --> 00:02:19.000]  在電梯裡面人與人的距離是幾吋,幾乎你面裡面多少暗瘡我都看得清清楚楚,
[00:02:19.000 --> 00:02:30.000]  面對面,但是幾乎好像很陌生,大家不敢直視,你眼望著你眼是一件很威脅性的事,
[00:02:30.000 --> 00:02:36.000]  所以又不敢直視,又不敢開聲,又不敢笑,又不敢打招呼,又不敢握手,
[00:02:36.000 --> 00:02:48.000]  大家好像個個呆呆地站著,個個望著上面,雖然同一膚色,同一口氣,甚至同屋共住,但是都發覺是幾個陌生。
[00:02:48.000 --> 00:02:56.000]  現在你聽到的人說了,麻煩麻煩,然後有人說對不起對不起,但是瘋瘋狀狀在所難免,
[00:02:56.000 --> 00:03:13.000]  似乎每個人都是望著電梯上面,著完一盞燈,又著另一盞燈,好像那盞燈告訴你,不得聊天,不得打招呼,不得觸摸,不得眼望望,不得有例外。
[00:03:13.000 --> 00:03:22.000]  這種情景就最慘,我不知道你知不知道坐電梯,幸好時間很快就過了。
[00:03:22.000 --> 00:03:34.000]  我想電梯這一幕是今天世界的縮影,大家都好像很疏離,是這麼陌生,又更冷酷。
[00:03:34.000 --> 00:03:44.000]  我想我們都需要接受一個現實的世界,卡摩說的那個故事,他說有一次有個人死了,就下了地獄,
[00:03:44.000 --> 00:03:53.000]  下地獄死之前受苦,受很多痛苦,又化療,又電療,又什麼療,什麼療療,一下子都已經回去了。
[00:03:53.000 --> 00:04:02.000]  他一醒來的時候,就發現自己躺在一張房間裡,一個梳化椅,很舒服。
[00:04:02.000 --> 00:04:09.000]  他問自己,這個是地獄?沒理由是地獄,地獄這麼舒服?一間房?
[00:04:09.000 --> 00:04:18.000]  不是地獄的,想起以前看牙醫,還沒進去剝牙之前,坐了一張後診室,也是這麼舒服。
[00:04:18.000 --> 00:04:29.000]  可能旁邊就是刀山又禍,管得那麼多,反正死的時候這麼痛苦,現在先歎一下,於是就歎在梳化椅裡等一等。
[00:04:29.000 --> 00:04:37.000]  等一天,沒人,一個星期沒人,一個月沒人,幾個月沒人,一年沒人。
[00:04:37.000 --> 00:04:45.000]  他多麼恨見人,多麼恨見旁邊的刀山又禍,看其他東西都比自己好。
[00:04:45.000 --> 00:04:56.000]  他突然醒悟到,原來這就是地獄。地獄這個字,在希伯來文是shill,這個字是什麼意思?是完全的家絕。
