
[00:00:00.000 --> 00:00:03.000]  各位定志妹,晚安!
[00:00:03.000 --> 00:00:05.000]  我們一起祈禱吧!
[00:00:05.000 --> 00:00:12.000]  天父,你的愛比天更高,比海更深
[00:00:12.000 --> 00:00:16.000]  主,你愛我們深到一個地步
[00:00:16.000 --> 00:00:20.000]  你不願我們沉淪在罪海裡
[00:00:20.000 --> 00:00:22.000]  主,你救不我們脫離黑暗
[00:00:22.000 --> 00:00:27.000]  由遺老之家引領我們穿過紅海進入曠野
[00:00:27.000 --> 00:00:30.000]  進入你所應許的迦南美地
[00:00:30.000 --> 00:00:33.000]  主,就是你那份默然的愛
[00:00:33.000 --> 00:00:35.000]  去到對我們的生命有所期待
[00:00:35.000 --> 00:00:38.000]  所以今天,懇求主你讓我們聽到的
[00:00:38.000 --> 00:00:40.000]  能夠聽到你的聲音
[00:00:40.000 --> 00:00:43.000]  是你和我們的生命說話
[00:00:43.000 --> 00:00:47.000]  主,讓你透過西班牙書
[00:00:47.000 --> 00:00:50.000]  讓我們能夠再次經歷你的愛
[00:00:50.000 --> 00:00:54.000]  多謝讚美主,奉耶穌基督的名祈禱,阿們
[00:00:54.000 --> 00:00:56.000]  定志妹,晚安!
[00:00:56.000 --> 00:00:59.000]  今晚就說西班牙書
[00:00:59.000 --> 00:01:03.000]  我其實很佩服教會思琴培訓中心
[00:01:03.000 --> 00:01:05.000]  因為已經說了很多年
[00:01:05.000 --> 00:01:07.000]  都繼續堅持下去
[00:01:07.000 --> 00:01:09.000]  快要脫離舊約了
[00:01:09.000 --> 00:01:10.000]  因為大家都知道
[00:01:10.000 --> 00:01:12.000]  十二少先之書都快要氣數已盡了
[00:01:12.000 --> 00:01:13.000]  是吧?
[00:01:13.000 --> 00:01:15.000]  那就應該
[00:01:15.000 --> 00:01:18.000]  對了,原來還可以大聲一點
[00:01:18.000 --> 00:01:21.000]  所以就快要到馬拉基了
[00:01:21.000 --> 00:01:26.000]  所以西班牙書真的是一卷不太熟悉的書卷
[00:01:26.000 --> 00:01:28.000]  因為我們很有可能
[00:01:28.000 --> 00:01:29.000]  回教會很久
[00:01:29.000 --> 00:01:32.000]  西班牙這個名字都可能還沒聽過
[00:01:32.000 --> 00:01:35.000]  不過我們很想透過這段經文
[00:01:35.000 --> 00:01:37.000]  不是很長
[00:01:37.000 --> 00:01:40.000]  其實就是整本書只有三章這麼多
[00:01:40.000 --> 00:01:43.000]  讓我們去了解當中的敬拜是怎樣
[00:01:43.000 --> 00:01:45.000]  我們不如去下一章,好嗎?
[00:01:45.000 --> 00:01:47.000]  下一章,對了
[00:01:47.000 --> 00:01:49.000]  一開始就有一段英文
[00:01:49.000 --> 00:01:52.000]  這段英文我本來就不太想打
[00:01:52.000 --> 00:01:55.000]  不過我就覺得他講得不錯
[00:01:55.000 --> 00:01:58.000]  所以我就放了下來
[00:01:58.000 --> 00:02:00.000]  大概他的意思就是這樣
[00:02:00.000 --> 00:02:02.000]  他就說那些小先之書
[00:02:02.000 --> 00:02:07.000]  他就記載了很多記序和他們的演說
[00:02:07.000 --> 00:02:10.000]  而那些演說就未必是按照
[00:02:10.000 --> 00:02:15.000]  他那個先知演說的時序去排列
[00:02:15.000 --> 00:02:20.000]  譬如說那先知某年某月某日講了A的那件事
[00:02:20.000 --> 00:02:22.000]  或者某年某日講了B的那件事
[00:02:22.000 --> 00:02:25.000]  譬如是1月2日講了A
[00:02:25.000 --> 00:02:27.000]  1月3日講了B
[00:02:27.000 --> 00:02:28.000]  1月4日講了C
[00:02:28.000 --> 00:02:29.000]  你明白嗎?
[00:02:29.000 --> 00:02:30.000]  這個叫時序
[00:02:30.000 --> 00:02:33.000]  時序他未必說那個先知書
[00:02:33.000 --> 00:02:37.000]  就未必記載他講話的時序
[00:02:37.000 --> 00:02:38.000]  代表什麼呢?
[00:02:38.000 --> 00:02:40.000]  代表如果那個先知書講A
[00:02:40.000 --> 00:02:43.000]  他就不代表真的是1月2日講
[00:02:43.000 --> 00:02:44.000]  可能是1月4日講
[00:02:44.000 --> 00:02:49.000]  講C也未必真的是遲過A講
[00:02:49.000 --> 00:02:51.000]  也可能是早過A講
[00:02:51.000 --> 00:02:53.000]  其實他只不過講這些
[00:02:53.000 --> 00:02:55.000]  就是說他將那個先知書
[00:02:55.000 --> 00:02:57.000]  早講和遲講
[00:02:57.000 --> 00:02:59.000]  就在那個先知書裡面
[00:02:59.000 --> 00:03:01.000]  就主題分主題
[00:03:01.000 --> 00:03:02.000]  不斷地講
[00:03:02.000 --> 00:03:06.000]  就不代表那個先知是順序時序地講
[00:03:06.000 --> 00:03:08.000]  所以他有一句這樣的說話
[00:03:08.000 --> 00:03:13.000]  他就說有時他就會skip from topic to topic
[00:03:13.000 --> 00:03:16.000]  主題就去到主題會跳
