
[00:00:00.000 --> 00:00:04.320]  福頓師妹早晨
[00:00:04.320 --> 00:00:14.840]  又是再次回來馬太福音第24章第42至第44節的經文
[00:00:14.840 --> 00:00:20.840]  Sandy也幫我們讀了這段經文的前文
[00:00:20.840 --> 00:00:24.080]  又能夠組合在整段經文當中
[00:00:24.080 --> 00:00:32.400]  我們一起去聆聽主的說話 同心而禱告 預備愛心思義烈
[00:00:32.400 --> 00:00:37.200]  父神多謝你 感謝你給我們生命有氣息
[00:00:37.200 --> 00:00:41.840]  感謝你給我們有陰晴月缺
[00:00:41.840 --> 00:00:46.560]  感謝你給我們有很多人生的經歷
[00:00:46.560 --> 00:00:55.040]  豐富了我們對人生整個在你的創造裏面的意義
[00:00:55.040 --> 00:01:02.080]  讓我們整個人生能夠變得立體化而不是平面化
[00:01:02.080 --> 00:01:09.760]  求你的帶領 我們更重要的是在你的真理裏面能夠有一個更透徹的認識
[00:01:09.760 --> 00:01:18.720]  不是單純在創造裏面經歷主你 而是在上帝的啟示裏面認識主你
[00:01:18.720 --> 00:01:26.160]  因此我們懇求你的聖靈帶領我們每一個受到主你所感召的信徒
[00:01:26.160 --> 00:01:29.200]  明白在聖經裏面的教導
[00:01:29.200 --> 00:01:34.720]  同心而禱告 奉靠主耶穌基督得聖名自求 阿們
[00:01:34.720 --> 00:01:44.960]  在加拿大我相信駕駛應該是一個必須的技能
[00:01:44.960 --> 00:01:52.640]  和類似懂得游泳我相信都是一個必要的技能
[00:01:52.640 --> 00:01:59.360]  最近我和同屋在Driveway上聊天
[00:01:59.360 --> 00:02:12.160]  我朋友想買一輛和我的車一樣的舊車給我
[00:02:12.160 --> 00:02:18.560]  我問他賣多少錢 我也很感興趣
[00:02:18.560 --> 00:02:23.040]  他說幾千就未知 但和你的車是一模一樣的
[00:02:23.040 --> 00:02:30.720]  我問他車是哪一年款 我說是2007年款
[00:02:30.720 --> 00:02:34.880]  他說很好用很好開 因為很細小很簡單
[00:02:34.880 --> 00:02:37.520]  要修理的東西他自己都懂得
[00:02:37.520 --> 00:02:41.360]  他問我車安全嗎 我說很好
[00:02:41.360 --> 00:02:47.040]  因為很簡單 要修理維修都很便宜
[00:02:47.040 --> 00:02:49.360]  而且信賴度都很高
[00:02:49.360 --> 00:02:54.960]  這輛車是日本製造的 直接從日本運來的
[00:02:54.960 --> 00:03:07.920]  質素和在加拿大製造的同款車差很遠
[00:03:07.920 --> 00:03:12.720]  雖然車子細小很多 但門和門關上的感覺都不同
[00:03:12.720 --> 00:03:20.000]  我說車最重要是安全程度
[00:03:20.000 --> 00:03:22.560]  我問他為什麼要買車
[00:03:22.560 --> 00:03:26.000]  他說因為我女兒都17歲了
[00:03:26.000 --> 00:03:32.400]  我心想我見你女兒的時候還是嬰兒抱柱
[00:03:32.400 --> 00:03:34.800]  這麼快就17歲了
[00:03:34.800 --> 00:03:37.840]  他說要讓她學車
[00:03:37.840 --> 00:03:40.400]  所以當他提到這一點的時候
[00:03:40.400 --> 00:03:45.120]  我就想起學車的幾個很重要的要素
[00:03:45.120 --> 00:03:48.720]  我記得以前我學車的時候
[00:03:48.720 --> 00:03:54.240]  師傅第一課 其實學車不便宜
[00:03:54.240 --> 00:04:00.640]  師傅最喜歡上多幾課
[00:04:00.640 --> 00:04:03.680]  我不敢說他騙了
[00:04:03.680 --> 00:04:07.840]  不過通常師傅在第一課就不教車
[00:04:07.840 --> 00:04:13.760]  叫了你上司機位以為可以開車
[00:04:13.760 --> 00:04:16.560]  原來在課堂上講話
[00:04:16.560 --> 00:04:22.240]  師傅說開車很重要
[00:04:22.240 --> 00:04:24.240]  有六大因素
[00:04:24.240 --> 00:04:26.720]  我記得幾個
[00:04:26.720 --> 00:04:31.520]  但是為了講到我再重新看
[00:04:31.520 --> 00:04:39.200]  天氣狀況很重要
[00:04:39.200 --> 00:04:42.400]  光線很重要
[00:04:42.400 --> 00:04:44.480]  所以要懂得開車頭燈
[00:04:44.480 --> 00:04:46.080]  關車頭燈
[00:04:46.080 --> 00:04:47.920]  這些東西要懂得
[00:04:47.920 --> 00:04:50.880]  現在的車就不懂得
[00:04:50.880 --> 00:04:52.640]  自動開關
[00:04:52.640 --> 00:04:53.920]  以前不是的
[00:04:53.920 --> 00:04:56.960]  要知道幾點鐘要開車頭燈
[00:04:56.960 --> 00:04:58.720]  等等的事情
[00:04:58.720 --> 00:05:01.840]  路面狀況很重要
[00:05:01.840 --> 00:05:02.880]  為什麼
[00:05:02.880 --> 00:05:05.520]  路面的情況特別
[00:05:05.520 --> 00:05:08.320]  譬如有時塞車
[00:05:08.320 --> 00:05:14.720]  有時可能是因為下雨
[00:05:14.720 --> 00:05:18.160]  開車要小心
[00:05:18.160 --> 00:05:22.640]  昨天我看到在公路上有幾輛車撞車
[00:05:22.640 --> 00:05:24.240]  為什麼撞車
[00:05:24.240 --> 00:05:27.760]  其中一輛被撞的車在那裏
