
[00:00:00.000 --> 00:00:03.560]  今天神在大家面前分享神的話
[00:00:03.560 --> 00:00:07.000]  我們今天看一段大家熟悉的聖經
[00:00:07.000 --> 00:00:09.000]  希伯來書第十一章
[00:00:09.000 --> 00:00:11.400]  我們基督徒都喜歡講信心
[00:00:11.400 --> 00:00:13.400]  如果講信心的時候
[00:00:13.400 --> 00:00:17.200]  我們最容易看的經文就是希伯來書第十一章
[00:00:17.200 --> 00:00:20.000]  問題是什麼叫信心
[00:00:20.000 --> 00:00:23.400]  我們多數人印象什麼叫信心
[00:00:23.400 --> 00:00:25.800]  就是拍拍胸口有信心
[00:00:25.800 --> 00:00:27.000]  那些就叫信心
[00:00:27.000 --> 00:00:30.400]  就是有本事有能力
[00:00:30.400 --> 00:00:32.400]  有這樣的優點
[00:00:32.400 --> 00:00:34.000]  有這樣的好處
[00:00:34.000 --> 00:00:35.600]  有這樣的本能
[00:00:35.600 --> 00:00:38.800]  通常我們就說這些是有信心的人
[00:00:38.800 --> 00:00:42.000]  信心或者我們叫自信
[00:00:42.000 --> 00:00:45.400]  似乎我們對基督教有這樣的認識
[00:00:45.400 --> 00:00:48.600]  問題就是我們基督徒是不是特別有自信的人
[00:00:48.600 --> 00:00:51.400]  我們基督徒是不是特別有信心的人
[00:00:51.400 --> 00:00:55.400]  究竟希伯來書第十一章講的信心是什麼意思
[00:00:55.400 --> 00:01:00.400]  我們今天環繞三個特別的角色去看這個問題
[00:01:00.400 --> 00:01:02.400]  看這個角色的時候
[00:01:02.400 --> 00:01:04.400]  可能大家要多點看聖經
[00:01:04.400 --> 00:01:06.400]  所以你有手機的話可以拿手機出來
[00:01:06.400 --> 00:01:08.400]  不要查看你的信息
[00:01:08.400 --> 00:01:09.400]  去看聖經
[00:01:09.400 --> 00:01:13.400]  如果你有聖經你都可以看聖經
[00:01:13.400 --> 00:01:15.400]  我發覺去不同的教會
[00:01:15.400 --> 00:01:17.400]  年紀越年輕的教會
[00:01:17.400 --> 00:01:19.400]  看聖經的聲音越少
[00:01:19.400 --> 00:01:21.400]  因為大家在看電話
[00:01:21.400 --> 00:01:23.400]  大家如果有聖經
[00:01:23.400 --> 00:01:25.400]  就顯示到希伯來書第十一章
[00:01:25.400 --> 00:01:27.400]  我們看三個角色
[00:01:27.400 --> 00:01:29.400]  都是比較困難的角色
[00:01:29.400 --> 00:01:31.400]  第一個就是阿伯
[00:01:31.400 --> 00:01:36.400]  希伯來書第十一章講阿伯是最難講的
[00:01:36.400 --> 00:01:38.400]  如果你唱歌的時候
[00:01:38.400 --> 00:01:41.400]  如果唱到阿伯都不知道有什麼好唱
[00:01:41.400 --> 00:01:42.400]  所以今天唱的那首歌
[00:01:42.400 --> 00:01:43.400]  一開始就說誰
[00:01:43.400 --> 00:01:44.400]  阿伯拉罕
[00:01:44.400 --> 00:01:48.400]  阿伯拉罕還可以恩著信離開吾爾
[00:01:48.400 --> 00:01:50.400]  阿伯恩著信做什麼
[00:01:50.400 --> 00:01:54.400]  所以我們不明白阿伯和該人的對比
[00:01:54.400 --> 00:01:57.400]  阿伯有什麼信心的問題
