
[00:00:00.000 --> 00:00:10.000]  上次跟大家開始了,說了索羅門王和舒拉默的愛情故事
[00:00:10.000 --> 00:00:16.000]  我們說索羅門王是以牧羊人的身份,來和舒拉默見面
[00:00:16.000 --> 00:00:19.000]  兩個人是彼此相愛了
[00:00:19.000 --> 00:00:26.000]  今天開始要和大家說的是,他們的感情開始有少少的障礙出現
[00:00:26.000 --> 00:00:32.000]  所以今天我叫這個主題,叫做如何排除感情的障礙
[00:00:32.000 --> 00:00:38.000]  其實雅歌是神給我們夫妻間的一部手冊
[00:00:38.000 --> 00:00:44.000]  非常非常實用,可以幫助我們能夠解決任何感情上的問題
[00:00:44.000 --> 00:00:50.000]  我今天經文是會說2章8節至到3章5節
[00:00:50.000 --> 00:00:54.000]  剛才周長老和Sally都已經幫我們讀了
[00:00:54.000 --> 00:01:02.000]  我們看看究竟他們兩個愛人之間發生了什麼障礙
[00:01:02.000 --> 00:01:05.000]  第一個障礙是實體上的障礙
[00:01:05.000 --> 00:01:11.000]  我們知道索羅門王在樹葉路撒冷的宮殿裡,在南邊
[00:01:11.000 --> 00:01:16.000]  舒拉默就在這裡北面,在樹更加利利的地方
[00:01:16.000 --> 00:01:21.000]  兩個人是相隔很遠,尤其是到了冬天這條路就很難走
[00:01:21.000 --> 00:01:25.000]  所以是有一個實體上路途上的障礙
[00:01:25.000 --> 00:01:30.000]  他們之間也可能好像有些是工作上的障礙
[00:01:30.000 --> 00:01:36.000]  我們看到索羅門王是有些公事他需要來處理
[00:01:36.000 --> 00:01:39.000]  以至他們兩個人之間好像有少少的阻隔
[00:01:39.000 --> 00:01:45.000]  最後舒拉默是准許索羅門王去處理這些事情
[00:01:45.000 --> 00:01:50.000]  但是這樣又形成了他們兩個人之間是有時空上的阻隔
[00:01:50.000 --> 00:01:52.000]  兩個人是要分開
[00:01:52.000 --> 00:01:56.000]  我們一起來看看這些不同的障礙
[00:01:56.000 --> 00:02:00.000]  第一就是實體上路途上的障礙
[00:02:00.000 --> 00:02:06.000]  如果我們記得耶穌基督曾經在馬太福音的24章20節
[00:02:06.000 --> 00:02:12.000]  他說到將來有一個嫡基督會來追殺猶太人
[00:02:12.000 --> 00:02:20.000]  他說希望猶太人逃走的時候不要預著安息日不要預著是冬天
[00:02:20.000 --> 00:02:27.000]  我們知道安息日是猶太人的節日而且是安息日
