
[00:00:00.000 --> 00:00:04.800]  各位電影姐妹 你們好
[00:00:04.800 --> 00:00:09.700]  雖然是一個很特別的下令會
[00:00:09.700 --> 00:00:16.800]  因為可能大家沒有想過會用網上
[00:00:16.800 --> 00:00:20.400]  但同樣是一個退休會、下令會的形式
[00:00:20.400 --> 00:00:24.900]  雖然我第一次來到這個會堂裏面
[00:00:24.900 --> 00:00:30.800]  見到的人不多 這裡不是一個平時聚會的情況
[00:00:30.800 --> 00:00:34.300]  雖然在這樣的環境和限制之下
[00:00:34.300 --> 00:00:39.600]  無論是同工會在準備的聚會裏面
[00:00:39.600 --> 00:00:44.300]  或者在預備的刑刊裏面
[00:00:44.300 --> 00:00:46.900]  還有在整個氣氛上
[00:00:46.900 --> 00:00:51.100]  我見到大家都很認真地進行這個聚會
[00:00:51.100 --> 00:00:54.400]  為了教會看重這個聚會
[00:00:54.400 --> 00:00:58.400]  各位電影姐妹相信都等待在主面前有領袖
[00:00:58.400 --> 00:00:59.700]  我熱誠感恩
[00:00:59.700 --> 00:01:03.200]  我都將博路神學院的文案帶給大家
[00:01:03.200 --> 00:01:08.000]  今年的題目就是「讓教會成為教會」
[00:01:08.000 --> 00:01:13.600]  我負責是今晚到星期三晚的晚堂聚會
[00:01:13.600 --> 00:01:16.100]  「神的帳幕在人間」
[00:01:16.100 --> 00:01:22.600]  今晚我們先看一個題目叫「教會離地或鐵地」
[00:01:22.600 --> 00:01:25.400]  我這幾晚都會用試堂傳的經文
[00:01:25.400 --> 00:01:28.400]  有幾段試堂傳的經文
[00:01:28.400 --> 00:01:32.600]  要和我一起思想一個很重要的教會論
[00:01:32.600 --> 00:01:35.600]  可能有部份電影姐妹都知道
[00:01:35.600 --> 00:01:40.000]  其實過多一個多星期就是港九盆年經大會
[00:01:40.000 --> 00:01:42.800]  同樣地 他們上星期都決定了
[00:01:42.800 --> 00:01:47.300]  這個盆年經大會都會用網上的形式進行
