
[00:00:00.000 --> 00:00:08.440]  我想大家想一想 假如你是教會聘募委員會的主席
[00:00:08.440 --> 00:00:12.440]  現在你的教會要招聘一個主任牧師
[00:00:12.440 --> 00:00:17.960]  你收到一封認證信 申請做主任牧師這個位置
[00:00:17.960 --> 00:00:21.720]  在他的履歷當中 他有這樣描述
[00:00:21.720 --> 00:00:24.840]  他是出身一個普通的家庭
[00:00:24.840 --> 00:00:29.640]  很小的時候就出來打工 專門幫人捉賬棚的
[00:00:29.640 --> 00:00:36.680]  後來他有機會去讀書 認識一些信仰的問題
[00:00:36.680 --> 00:00:40.200]  但他寫這封信的時候
[00:00:40.200 --> 00:00:44.400]  就是用廣東話寫的 不是書寫的文字
[00:00:44.400 --> 00:00:50.560]  在他未信主之前 他說他曾經參加反對教會的工作
[00:00:50.560 --> 00:00:54.080]  並且很積極壓迫基督徒
[00:00:54.080 --> 00:00:57.360]  後來很奇妙地信了耶穌
[00:00:57.360 --> 00:01:02.160]  但信了耶穌之後 他就獨自走到很偏僻的地方
[00:01:02.160 --> 00:01:06.000]  有一段時間沒有參加教會的聚會
[00:01:06.000 --> 00:01:09.520]  後來突然之間熱心起來
[00:01:09.520 --> 00:01:12.920]  他熱心到一個程度 到處傳福音
[00:01:12.920 --> 00:01:18.040]  甚至引起騷動 因為政府說他犯了國安法
[00:01:18.040 --> 00:01:22.640]  煽動群眾暴亂 於是就抓他坐牢
[00:01:22.640 --> 00:01:28.600]  他現在申請我們教會 他沒有戰訊
[00:01:28.600 --> 00:01:34.360]  沒有一個有名望的牧師派他寫信 沒有的
[00:01:34.360 --> 00:01:37.960]  寄來的照片看一看 其貌不揚
[00:01:37.960 --> 00:01:43.440]  而且他也曾經和教會的領袖發生過意見
[00:01:43.440 --> 00:01:49.120]  我想問一問 你收到一封這樣的認證信的時候
[00:01:49.120 --> 00:01:54.680]  你會不會考慮他作為你們教會的主任牧師呢?
[00:01:54.680 --> 00:01:59.560]  我相信大部分的人會灑手露頭 不會 不會
[00:01:59.560 --> 00:02:04.560]  你知道他是誰嗎? 他就是仕途保羅
[00:02:04.560 --> 00:02:11.160]  教會其中一個非常重要的人物 是重要的支柱
[00:02:11.160 --> 00:02:15.840]  在新約聖經當中大部分都是出於他的手筆
[00:02:15.840 --> 00:02:21.320]  或者你會問 仕途保羅怎麼會用廣東話?
[00:02:21.320 --> 00:02:23.120]  他怎麼會說廣東話?
[00:02:23.120 --> 00:02:30.840]  我們要明白 在保羅的時代有兩類希臘文
[00:02:30.840 --> 00:02:36.560]  第一類叫古典希臘文 例如巴拉圖和索菲特斯
[00:02:36.560 --> 00:02:40.800]  是用優雅的古典希臘文來寫東西
[00:02:40.800 --> 00:02:46.800]  另外就是史井之輩 平民所說的
[00:02:46.800 --> 00:02:51.400]  好像我們廣東話一樣 都不是書寫的文字
[00:02:51.400 --> 00:02:55.040]  而大部分新約聖經都是用史井之輩的
[00:02:55.040 --> 00:02:58.680]  可以說全部的新約聖經都是用史井之輩的
[00:02:58.680 --> 00:03:04.280]  所以我就用了他來比喻這封申請信是廣東話
[00:03:04.280 --> 00:03:08.440]  無論如何我想提出一個問題
[00:03:08.440 --> 00:03:12.360]  在今天這個世代 甚至在保羅的世代一樣
[00:03:12.360 --> 00:03:14.600]  英雄莫名出處
[00:03:14.600 --> 00:03:17.280]  但很多時候我們衡量一個人的時候
[00:03:17.280 --> 00:03:20.000]  就看看他的背景 看他的樣子
[00:03:20.000 --> 00:03:23.840]  看他是不是出著名門 學位是不是多
[00:03:23.840 --> 00:03:26.080]  出身是不是一個好的學校
[00:03:26.080 --> 00:03:28.960]  如果是的話我們就刮目相看
[00:03:28.960 --> 00:03:34.680]  但假如之間他是一個不見經傳
[00:03:34.680 --> 00:03:37.880]  背景出身都不知道從哪裡來的
[00:03:37.880 --> 00:03:39.880]  其貌又不一樣的
[00:03:39.880 --> 00:03:43.200]  那時候我們就打了折扣
[00:03:43.200 --> 00:03:46.600]  如果背景很重要的 是非常重要的
[00:03:46.600 --> 00:03:48.080]  我記得有一次
[00:03:48.080 --> 00:03:52.960]  我被邀請去一個特別的聚會去港島
[00:03:52.960 --> 00:03:56.400]  邀請了三個牧師一起去講
[00:03:56.400 --> 00:03:59.440]  一整天的聚會 即是一人講一堂
[00:03:59.440 --> 00:04:03.600]  主席一開始的時候就介紹我們三個港語
[00:04:03.600 --> 00:04:06.440]  一開始介紹兩位港語的時候
[00:04:06.440 --> 00:04:10.600]  就非常詳盡的講出他們的出處 背景
[00:04:10.600 --> 00:04:12.400]  他們的學位
[00:04:12.400 --> 00:04:15.200]  介紹我的時候就輕描淡寫說
[00:04:15.200 --> 00:04:18.520]  這個蘇牧師就是三藩市播道會的牧師
[00:04:18.520 --> 00:04:20.600]  我聽到有點不高興
[00:04:20.600 --> 00:04:23.400]  難道我出處比他們差
[00:04:23.400 --> 00:04:26.520]  難道我的學位比他們少
[00:04:26.520 --> 00:04:27.880]  一想到這裡的時候
[00:04:27.880 --> 00:04:31.240]  心裡面就自在 你有沒有搞錯
[00:04:31.240 --> 00:04:35.400]  為什麼你這麼看重這些虛名 這些外表的東西
[00:04:35.400 --> 00:04:39.560]  事實上不單只是今天的社會如此
[00:04:39.560 --> 00:04:43.600]  原來在昔日耶穌的社會也是如此
[00:04:43.600 --> 00:04:47.440]  在第十五節那些猶太人就稀奇說
[00:04:47.440 --> 00:04:52.680]  這個人沒有學過怎麼明白呢
